page 2	現階段歐局的分析
page 3	靈山附近發生激戰日軍分路進犯永淳
page 3	中華兒女之光陷重圍女隊員殉難藏軍火賓陽人受獎
page 3	周樂山湯增　反正自新離滬前致函汪兆銘痛斥種種欺騙醜行
page 3	黔省府加緊禁煙六月底前一律戒絕
page 3	中央鼓勵文藝作家允廢獎助金十萬元
page 3	桂傷愈官兵重上前線省抗日會贈品慰勞
page 3	汪兆銘在寧叩見西尾謝恩北平偽憲兵調寧監視汪行動偽中政會委員發表
page 3	漢奸難做褚民誼等在寧宴客妻女當場被人調戲
page 3	各界繼續通電討汪
page 3	行政院例會
page 3	楊杰抵渝晉謁蔣委員長報告 
page 3	粵教廳撥款擴大社教教師服務團經費亦增加
page 3	甘省本年度兩大要政六月底禁絕鴉片七月實行新縣制
page 3	滇發展絲業蠶桑改進所組蠶業公司
page 3	粵戰地服務隊全部返回韶關
page 3	江新偽警團官兵紛紛反正
page 3	桂教廠推進戰區內教育在日軍後方建師範學校建設幹校舉行週年紀念
page 3	台灣日兵反戰潮擴大
page 3	滬美報主筆高爾德盛讚我財政狀況謂抗戰勝券可操
page 3	群奸爭肥醜態百出
page 3	三兄弟公演記在華日人反戰行動第二個號砲
page 3	綏蒙政會五屆大會開幕沙王主席情緒熱烈
page 3	湘北我軍活躍
page 3	晉北澈底掃蕩
page 4	德義兩巨頭會晤後和平空氣轉濃教廷傳出德所提條件 
page 4	墨索里尼已返抵羅馬
page 4	德方誇張軸心國強固
page 4	美國防準備加緊邁進中兩大飛機工廠合併海軍定貨加速完成
page 4	日眾議院大演全武行議員質問有田受窘社大黨員叫罵動武
page 4	張伯倫在眾院評述德義會談英作戰初衷決不放棄述援芬經過指摘德國
page 4	美國海軍定期大演習在夏威夷群島海面舉行參加軍艦凡一百三十艘
page 4	羅外長演講決心保持中立將不以本國之資源使他國得遂其野心
page 4	英外次重申對土軍事義務如土受侵將全力赴援實行辦法仍在磋商中
page 4	出人頭地菲婦產生怪孩頭上多生一頭
page 4	英三厘公債業經認購滿額西門演講表示滿意
page 4	南京的醜劇
page 4	英議員歡呼
page 4	英法殖民地實行合作英法兩當局再會晤利用資源發展貿易 
page 4	西北回漢問題之解剖中
page 4	蘇聯對西北歐不再有領土要求盼早日與芬恢復友誼關係收回反對愛蘭島設防之議
page 4	英法主張不謀致妥協
page 5	犯三區日軍無進展小欖外圍相持中我反攻大良收穫戰果
page 5	粵北戰區善後陸續完成耕牛農具尚感缺乏
page 5	又有一批日偽俘虜解低粵北審訊
page 5	日商準備在蘇開設絲廠蠶桑事業將全被侵佔
page 5	余漢謀部力量加強補充訓練迅速完成政府撤銷前年處分
page 5	粵贛兩省經濟合作米鹽開始源源互濟東江米價陸續低跌
page 5	滬西賭窟又傳將停閉 
page 5	粵北造林紀牠們蓬勃地茁長起來象徵著大廣東的新生
page 5	滇緬行九
page 5	滬物價被操縱決依法檢舉市商會已奉令設法抑平平準會將擬訂具體辦法
page 6	日輪白銀丸在港海扣留華警鍾洪返粵結婚回港見疑經當局交涉後始行釋放
page 6	賊黨攜械圖劫警探先發制人廟街口外七人一網成擒搜出手槍兩支劍仔四柄
page 6	一憶春宵皇后平安今日起映
page 6	旅客備忘錄海防昆明夜車恢復行車之時刻近已更改
page 6	蔡先生追悼會本港假港大禮堂舉行臨時治喪會函各界一體參加並函各報是日刊行追悼特刊
page 6	紅翼東飛
page 6	經濟學讀本
page 6	世界傑作精華
page 6	港澳火柴廠商磋商舉辦聯營當局是否准許尚未可知光宇製造廠設機製線轆
page 6	西風副刊
page 6	西書精華
page 6	耶穌復活節銀行休假三日
page 6	糖商總會長期義捐二月份一萬元匯渝
page 6	香港舊書店現正裝修工竣開幕
page 6	本港播音台耶蘇復活週特約名人演講時事
page 6	長洲及坪洲發現兩鯨屍相信係被水雷炸斃居民圖利大揩其油
page 6	青年會徵友運動第一期昨晚結算成績達二萬餘元
page 6	傷兵之友徵求運動廣大員生參加
page 6	李綺年女士將赴南洋演劇下月七日出發正式落班已與邵氏兄弟公司簽約
page 6	胡百全律師在港理訟按察使昨晨批准
page 7	港澳埠際足球賽澳方戰陣排定一行十六眾定廿三夜來港廿四日下午四時開戰
page 7	世運會芬蘭定期開會討論 
page 7	滬國際杯足球賽中葡決戰前瞻從葡勝英所得的觀感 
page 7	根士頓踢人總會明天研訊
page 7	葡隊奇兵
page 7	決賽關頭
page 7	英鎊回漲港圓上騰美匯市況先鬆後緊
page 7	股票市靜穩買戶操縱市場企圖失敗賣家態度強硬價格不動
page 7	八九金市先淡後堅買賣不多價格微降
page 7	籃球聯會細則再審定日內公布
page 7	澳門記者團明晨可抵步
page 7	國際杯足球決戰中華今日選將下午七時假寰翠閣開軍事會蘇軍戰陣已產生
page 7	美國排球聯會最新排球規則四
page 7	老馬老矣
