page 2	汪兆銘的特務工作是什么
page 3	南路日軍攻勢已疲靈山城郊仍混戰中瓊崖日軍結集日機連日逞兇
page 3	晉省日軍大施毒化政策太原等十餘縣毒品充斥日兵厭戰情緒日漸濃厚
page 3	羅定公教神甫同情可感募集港幣百元匯渝贊助傷兵之友運動
page 3	桂省新律軍人陣亡六月後其妻始准予改嫁
page 3	旅美僑胞致電羅斯福籲請主持人類正義實行對日經濟制裁
page 3	南京丑會草草演畢偽組織傳月末登場阿部將攜顧問團來華與汪談判實施亡華密約
page 3	英法國聯同志會同情我國抗戰聯電表示敬仰之意
page 3	滬公共租界乙區鐵絲網定今日起開放
page 3	傷兵之友運動結果揭曉黨務軍警獲冠亞軍徵得社友六十萬餘
page 3	六年禁煙計劃已屆最後一年豫省當局決定提早禁絕
page 3	桂省當局加緊緝私設稅警總隊部 
page 3	蔣伯誠公子投筆從戎在浙東頗著功勳
page 3	美財長摩根索反對停購白銀美國向我購銀為數甚鉅
page 3	日機失事機內四人均死
page 3	國民教育原則應注重實生活蔣院長勉各出席代表須以古訓為教育方法
page 3	日汪所謂中央政治會議
page 3	武漢外圍我軍活躍晉南發動大殲滅戰
page 4	英空軍顯威風大舉飛德轟炸彈落如雨濃燄衝天德空軍根據地受創 
page 4	韋爾斯訪歐告畢已離羅馬返美相信歐戰將不至擴大蓋達撰文述義方目的
page 4	美海軍演習意義重大以夏威夷為根據向西推進美將增強亞拉斯加之防務
page 4	英眾議院辯論歐局問題首相張伯倫侃侃陳辭各反對黨皆表示擁護
page 4	工黨領袖提出質問
page 4	倍立夏主加緊封鎖
page 4	英首相答辯
page 4	封鎖德國須顧法律
page 4	援助芬蘭英具決心
page 4	政府行動未為緩慢
page 4	荷蘭失敗責不在英
page 4	法內閣辭職眾院雖通過信任案但大部議員未投票
page 4	英空軍之雄姿
page 4	韋爾斯返美
page 4	蘇聯反對芬瑞挪締約謂與蘇芬和約牴觸蘇方批准對芬和約
page 4	歐洲各地鈎心鬥角
page 4	辛克萊稱應爭主動
page 4	國民教育會議圓滿閉幕蔣委員長訓詞全文
page 4	柏林又放出聯蘇義空氣里賓特羅甫傳將赴莫斯科教廷否認德提和平條件說
page 4	陸空鏖戰情形
page 4	英機損失一架
page 5	小欖苦戰旬日我軍改守新防線南屏灣仔各鄉昨日相繼淪陷進犯中山日軍一部調防江會
page 5	國民教育會議陳教長閉幕詞
page 5	粵傷兵之友社外僑熱烈同情耿主教擔任徵求隊隊長韶關各店員將繼起響應
page 5	粵北軍民合作站普設百餘處促進軍民合作抗戰建國加強戰時平時合作業務
page 5	粵積極籌備實施新縣制劉佐人主持研究四一起分期施行
page 6	下次燈火管制嚴格執行罰款則例下月十一十二兩日舉行掩蔽車燈必須遵照規定
page 6	全港基督教徒聯合紀念復活節明日舉行受苦紀念大禮拜二十五日復活紀念大禮拜
page 6	大眾互助社春禮勞軍運動結束 
page 6	女青年會募捐成績三次報告 
page 6	商店八時收市法令警員奉令執行先予警告不遵即行票控初犯罰五十元再犯五百
page 6	汽車公會前日舉行年會工作成績良好財政充裕因汽車日多增闢停車場 
page 6	大風半月刊
page 6	九龍教育會籌備紀念兒童節昨日召集各校代表會議假普慶東樂兩戲院舉行
page 6	旅港留日學生組同學會登記至本月底止
page 6	再生旬刊
page 6	華商籌振會昨日開常委例會
page 6	中英兩國教育方針相同點國民政府立法委員夏晉麟講英國遠東情報部播送
page 6	譚啟秀代表來港徵募雨具陳尤山昨日招待新聞界擬舉辦粵劇遊藝會籌款
page 6	郵局變更辦公時間
page 7	國際杯足球決賽中華代表產生惠堂背瘡未愈德輝掛帥印實力強硬盼奪錦標歸
page 7	澳記者體育團今晨抵香港一行廿一人浩浩蕩蕩籃球義演即晚在中青
page 7	足球春秋即日開始預約
page 7	聯賽小組委會選出征越球員人選內容暫未便公佈今日審去週犯規球員
page 7	另一幕健美表演
page 7	美匯回縮市況略緊英匯黯淡申匯穩定
page 7	買戶觀望不前股票市況鬆弛半日成交僅十萬餘元股票價格多略趨下游
page 7	八九金市轉趨堅挺美匯回緊人心趨好
page 7	學界排球賽開始報名本月底止截
page 7	南華游泳場下月中開放
page 7	澳記者陣容雄厚
page 7	兩日來秩序編配
page 7	體特會籌備歡迎
page 7	美國排球聯會最新排球規則
