page 2	歐局兩點
page 3	鬱江南岸戰事轉穩我軍把握絕對優勢一週血戰各路日軍均受創
page 3	林主席嚴斥日汪陰謀心勞日拙於我無損南京將為汪之墳墓  
page 3	滬同業公會斥汪竊名義
page 3	從下水到自拔
page 3	滬美報著論再揭汪罪惡
page 3	群奸已不知人間羞恥事
page 3	英副領事羅貝在彰德被毆英使館已向日方提抗議
page 3	淩憲文顧繼武附逆有據國府明令通緝
page 3	金沙江勘測隊三批人員均溯江而上滇南馬關縣發現金沙
page 3	見義勇為國民外交協會函謝英艦官兵 
page 3	華大創辦人畢啓退休將由渝來港返美
page 3	滬槍殺案程克光被擊斃
page 3	日人亦自知汪毫無用處松本撰文敦促日人覺悟
page 3	歐戰通訊之八戰時法國的外國難民二巴黎三月十二日航信
page 3	鄂東沿江我軍活躍晉南綏西戰況激烈
page 4	法閣陣空堅強眾信可獲國會信任昨開首次閣議萊諾發表宣言政黨除最右翼外均參加新閣
page 4	蘇芬賡續談判北歐同盟兩國疆界皆為談判中之要目 
page 4	英東南岸空軍活躍英驅逐機紛紛開出德機飛襲薛特蘭島
page 4	英海軍當局駁斥德宣傳
page 4	德軍曾應用新式高射砲
page 4	日本社大黨分裂安部辭職另組新黨
page 4	九州大火焚屋八十所
page 4	英議員動議重組戰時內閣張伯倫演說博得好評貴眾兩院休假十二日
page 4	瑞典增強防務下令徵集大批貨車加緊實施強迫兵役
page 4	美民主黨候選人舍羅斯福莫屬法萊等皆無望 
page 4	日議員抨擊美遠東政策謂種種行動純為對日
page 4	美財政專家主購我白銀戰後銷路必廣
page 4	維堡交通恢復商業區域煥然一新工廠日內亦可開工
page 4	日對楊格如此判罪有期徒刑六月但准緩刑三年
page 4	美駐日大使請假回國如遇必要隨時返任
page 4	墨索里尼演說強調對德關係 
page 4	做道場說夢話
page 4	安部之脫黨
page 4	蘇烏拉山發現鑽石礦已派出專家探驗
page 4	英法土當局商軍事合作討論實施軍事協定辦法
page 4	蘇聯的煤油田下趙自強譯自經濟學人雜誌
page 4	英方傾心贊助為法國慶得人
page 4	土國官方認為大戰爆發先兆
page 5	深圳安然無恙沙頭在我固守中日偽蠢動不逞潰退南頭
page 5	蔣夫人嘉慰粵婦女會
page 5	曲江籌設海關分卡辦理稅務及緝私專宜
page 5	我國文盲估計尚有一萬四千萬人
page 5	澳門捕獲蒙面飛賊出沒市區手段敏捷犯案纍纍卒罹法網
page 5	嶺東各縣春禮勞軍收入達三萬元
page 5	粵教廳籌發省校經費本　度　具追加概算
page 5	滇緬行十一
page 5	興韶公路客車改道行駛
page 5	前山日軍調防三鄉
page 5	小欖方面災情慘重 
page 5	日窺伺鶴山我嚴陣以待反攻江會節節勝利
page 6	各大學學生聯誼會成立會明日舉行敦請該會顧問蒞場指導先行聚餐並舉行遊藝會
page 6	蔡先生追悼會連日積極籌備通告北大同學擔任招待王雲五今日播音報告蔡公言行
page 6	昨日基督教徒紀念耶穌受苦節曾葆蓀女子講道參加者甚眾廿五日舉行復活大禮拜
page 6	化學戰爭史
page 6	立法局會議
page 6	婦女俱樂部
page 6	克利蒲爵士
page 6	港督夫婦在粉嶺過復活節
page 6	中國婦女會請虎戲團義演為中山及國內難民籌款今日在利園山對面舉行
page 6	小人國
page 6	長沙灣坊眾創辦義學今日出發勸捐
page 6	勸捐緣起
page 6	紅磡僑工響應春禮勞軍今晚舉行工廠代表會議討論各項工作進行事宜
page 6	港九難童免費學校
page 6	俘虜移澳說
page 6	醫務署遷址
page 6	海軍徵拖輪
page 6	持刀傷人入苦工監粵南旅店案判決
page 6	教聯會擴大慶祝兒童節加設東西區會場
page 6	神父散振掃興而回 
page 6	四婦女團體代表今晨赴澳門散振因復活節假期藥品等不能攜帶義神父赴中山散振被阻
page 6	全港小學生作文比賽教聯會聘考試委員
page 6	中央電影場攝製趙母與趙侗即將航運本港公映
page 6	黃埔蔬菜由民船載運來港兩載已到共有三千餘擔經運商人在黃埔設專處
page 6	澳鹹水魚仍有運港
page 7	掃桿埔場刺激多東方重逢米軍雛鳳踞加山鬥洋水兵南華南渡江再戰光華
page 7	士葛摧枯拉朽五比一勝香港
page 7	中青會今晚健身表演
page 7	本港去年對外貿易歐戰影響略見減退
page 7	過去一週間股票市況鬆弛成交總值共七十八萬元
page 7	小球友誼賽澳記者再敗
page 7	學籃高級組日內開始報名
page 7	男子公開籃球賽月底截止報名報名單方式擬就
page 7	勞軍籃球義賽記者壓倒騎師五十比四十四局面緊張星島勢雄輕取澳門記者
page 7	美國排球聯會最新排球規則
