page 2	日本議會閉幕
page 3	晉南各路加緊猛攻粉碎日軍封鎖企圖綏西五家河激戰日受重創邕欽路繼續掃蕩克復那陳
page 3	江蘇省當局擴大兵役運動舉行宣傳週向民眾鼓吹蘇文化社舉辦論文競賽 
page 3	粵省各界討汪鑄奸會一切辦法今日決定
page 3	日聯隊長在浙東被擊斃
page 3	南僑慰勞團團長陳嘉庚等抵渝行都各界熱烈歡迎
page 3	演劇勞軍桂戲劇界勞軍團在前線極受歡迎
page 3	渝金融會議決定賡續維持法幣汪派破壞陰謀絕難得逞
page 3	中央振委會滇工作分站李紹鐸積極籌備中
page 3	甘青慰勞團赴綏寧前線勞軍
page 3	我在世界商務上仍為重要因素上海外僑總商會主席盛讚我自力更生精神
page 3	天津日軍幫態復萌對出入租界英僑又故意加以留難
page 3	滬偽市場開幕仍關大門菜商拒絕參加
page 3	浙省統制棉產外銷防止奸商資日
page 3	日人操縱掠奪下冀省災情慘重草根樹皮貓狗皆已吃光中央特撥巨款從事急賑
page 3	豫各界成立傷兵之友社推出理事三十二人
page 3	陳嘉庚談此行任務
page 3	中國勝利的展望美國在道義上的義務在遠東應該採取領導地位 
page 3	行都盛會孔副院長茶會招待司徒雷登
page 3	湘參議會電慰負傷將士 
page 3	桂林新市區接收竣事建設計劃及預算正待省府批准中
page 3	桂省獎勵抗戰學生屆期准予以畢業
page 3	軍政部巡迴劇團由粵抵桂定期公演
page 3	黃花崗紀念日林主席定明晚廣播
page 4	義匈談話進行中南商長赴羅京商訂新約促進貿易東南歐外交戰之又一幕 
page 4	法國各報皆予好評
page 4	美方注意經濟合作
page 4	美日談話無法恢復美報促實施對日禁運格魯大使斥惡意謠言
page 4	鷹獅之翼三
page 4	日本議會昨行閉幕禮內閣並召集臨時會議時局同志會宣布取消
page 4	紐總理逝世享年六十七歲
page 4	法蘇關係微妙蘇應法要求召回大使莫斯科宣布事件經過
page 4	加拿大選舉自由黨得勢金氏政府再獲信任
page 4	羅斯福如競選連任三屆有望
page 4	傳英將增設一裏層內閣由張伯倫等五人組成海空兩相亦有調動說
page 4	國勞大會定六月間開會 
page 4	世界白銀產量去年較前年較減
page 4	萊諾之警語
page 4	英法戰時內閣
page 4	歐戰與空軍
page 4	芬蘭努力進行恢復對外貿易德國將為最大顧客芬蘭國防部長辭職
page 4	美團體救濟難民蔣夫人特函致謝 
page 4	歐戰通訊之八戰時法國的外國難民五巴黎三月十二日航信
page 4	萊諾發表廣播演詞闡明法政府立場時機成熟即採取行動內閣遞嬗非國家之福
page 5	新鶴新開兩線仍在我軍控制中鶴山邊境日軍騷擾不逞
page 5	見義勇為上月滇越路被炸時英軍士兵救護得力
page 5	粵省財廳嚴密緝私規定查緝專員職務杜絕日貨保護稅源
page 5	中華醫學會第五屆大會定四月二日在昆明舉行由龍雲任名譽主席
page 5	粵桂公路客貨聯運辦法 
page 5	衡陽人口增加市面繁榮新聞事業極發達 
page 5	菲僑胞杜興橋愛國義賣福特夫人贈車慰勉
page 5	上海糧食煤荒情形漸和緩糧食將設統制運銷機關煤斤由開濼照成本供給
page 5	旅粵外僑一百餘人參加傷兵之友社
page 6	中國工業合作協會將成立香港單位擬籌集資金港幣六萬元在港粵設合作社四百所
page 6	粵當局解釋東江服務團被拘真相份子混雜大都係本地人假借華僑名義暗圖不軌
page 6	中國婦女會虎戲義演月杪將再舉行
page 6	本港各僑團紛紛赴澳散賑中山邑僑撥款建棚散賑廠商聯會將大規模籌款
page 6	廠聯會決往澳蓋棚
page 6	兵災會昨派員往澳
page 6	燈火管制演習下月中嚴厲舉行防空處指導遮蔽車燈辦法希望各車主司機均往參觀
page 6	南開校友會歡宴張彭春今午在金龍酒家
page 6	戰稅法案條文尚在縝密研究中今日立法局會議不付討論修訂電話條例將提請通過
page 6	警察大操
page 6	張善琨抵港
page 6	明日黃花節
page 6	新安多尼奧輪
page 6	徵募軍鞋
page 6	中美文協
page 6	重慶電台廣播
page 6	防空訓練班 
page 6	港督定期返英渡假由職務史美代理
page 6	國民戲院
page 6	太平戲院
page 6	一碗飯運動商賑會昨否決因環境關係實不能舉辦急賑避集流浮山之難民
page 6	四月開徵非來不及 
page 6	電話修訂通過一讀
page 6	龍門書局運到大批新書
page 6	女鋼琴名手姚錦新抵港
page 7	足球界一大柱石黃柏松君逝世定今日下午三時舉殯
page 7	保羅籃球隊參加公開賽
page 7	東南大戰前夜雙方嚴陣以待且看究是誰家的天下
page 7	橫禍飛來
page 7	中華提出抗議
page 7	東方泳場加緊興工建築
page 7	南華會徵求成績頗佳學生減收會費
page 7	港圓外匯價續跌對美匯市初不定後稍穩申匯英匯市況仍然穩定
page 7	滬法幣匯價昨又低跌
page 7	金條價漲昨日略有成交
page 7	股票市況疲弱買賣寥落成交五萬餘元
page 7	八九金市再趨堅挺價格續漲人心猶好
page 7	銀牌決賽門票昨已預銷一空 
page 7	大生杯排球定月底頒獎
page 7	滬國際杯足球決賽中華遭慘敗三比二葡隊得錦標十二碼球發生問題
page 7	乙組銀牌戰南華對工程
