page 2	世界和平的改造方案
page 3	犯扶南日軍又南竄在大塘附近遭痛擊
page 3	綏西民眾盡職自動救護傷兵
page 3	岳陽日倉庫被反戰份子焚毀
page 3	桂省兒童解放三天得赴戲院觀劇
page 3	鋤奸連鎖流行閩省社會
page 3	粵省新縣制明日起實施縣長待遇業已規定政費增至千餘萬元
page 3	參政會議明日在渝舉行
page 3	門戶開放偽市長獨踞頭等車外國記者被摒門外
page 3	孔副院長電唁新故主席家屬
page 3	在日人導演下汪記醜劇正式開演二十分鐘草草終場南京城內景象淒涼
page 3	陶希聖函周梅兩逆爭寵攘權不過作些賣國勾當午夜捫心未知尚自愧自艾否
page 3	日人對汪亦感失望
page 3	外部照會各友邦重申我國立場對日抗戰不中途妥協傀儡組織概不予承認
page 3	國府續令通緝漢奸七十七名
page 3	漢奸下場黃逆大偉失寵現被囚禁廈門
page 3	國府明令褒揚何燕淶
page 3	桂棉紗飛漲每包約千九百元
page 3	京滬路車迭次出軌
page 3	南僑慰勞團大隊抵昆明歡迎會擬定招待程式龍主席致書面歡迎詞
page 3	程潛主任通電討汪
page 3	上海市民群情激憤
page 3	戰時日本農村一
page 3	日本農民鬥爭的發展 
page 3	王陳兩部長歡宴陳嘉庚
page 3	中條山北積極掃蕩五家河畔展開血戰
page 4	蘇聯對西歐戰爭決仍嚴守中立最高蘇維埃會議中莫洛托夫強調聲明
page 4	西線砲戰甚烈德前哨兵進攻不逞法裏層內閣昨開會
page 4	土敘將成立友好協定
page 4	英報之讜論不僅不承認汪偽組織並斷絕對日拉攏之念
page 4	英王出巡檢閱南部防衛軍
page 4	英政府撥款平抑糧食價格造福一般貧苦階級
page 4	德機轟炸英國漁船雙方互開機槍掃射  
page 4	丹外部否認北海發生海戰德國艦隊實力脆弱難與英海軍相頡頏
page 4	羅斯福談歐局實現公正和平目前尚非其時德發白皮書攻擊美國
page 4	蘇芬賡續談判雙方不日恢復駐使國聯將助芬蘭復興
page 4	挪輪水手安抵英倫
page 4	英輪沉沒在北海觸魚雷
page 4	加拿大擁護英作戰反對派慘遭失敗
page 4	緬甸成立戰時振濟會仰光市長演說
page 4	義蘇關係問題義無意與蘇訂同盟但兩國仍繼續貿易
page 4	漢奸的下場 
page 4	日圓的危機
page 4	英鎊趨跌日貿易不振工商界甚感憂慮 
page 4	為何美應對日禁運上
page 4	英蘇商約談判困難殊多英恐蘇將貨物轉資德國蘇輪賽林加移交法當局
page 4	英法對德擴大水陸封鎖聯席會議曾有所決定北海英艦擊沉德貨輪
page 4	中蘇貿易激增去年輸出達港幣三千萬茶葉桐油鑛產等最大宗
page 5	犯大沙粉洲日軍飽掠之後已撤退石岐附近我游擊隊活躍
page 5	桂南戰局益見穩定日軍竄擾靈山遭遇重創張長官談殲日經過
page 5	孤島生活高昂哀鴻遍地東吳大學發起勸募白飯運動
page 5	增城近郊戰事仍激烈日犯潭村被我擊退
page 5	昆明第四屆集團結婚誌盛各長官親臨 主持儀式隆重新夫婦七對佳耦風光旖旎
page 5	失業教師粵教廳救濟安插
page 5	建築桂江橋今秋可完成
page 5	市長訓詞
page 5	貴陽中正公園落成典禮吳主席勉各界護園造林花溪山明水秀風景佳麗
page 5	嶺東各地米價繼續回跌
page 5	粵省戰時金融鳥瞰
page 6	港九教聯會響應傷兵之友運動通知各校員生自動捐助婦女兵災會捐國幣萬元
page 6	下月燈火管制海陸空軍與防空部合作假設敵機空襲一連數次並將舉行二次白晝演習
page 6	新界方面
page 6	參加隊伍
page 6	以前演習
page 6	白晝演習
page 6	木蘭從軍現已在渝重映經重慶當局檢查通過張善琨卜萬蒼控告馬彥祥
page 6	消防後備隊定期舉行技術競賽
page 6	先施公司縮短營業時間每晚七時收市 
page 6	蝶弄花
page 6	戴愛蓮女士之舞姿
page 6	美專美展下月三日起舉行 
page 6	華僑之光
page 6	音樂比賽今午初賽假青年會舉行
page 6	施柏堅講演化學戰爭史略在五世紀之時即曾應用可用有組織之方法禦防
page 6	港府資產
page 6	去年本港稅收增加四百餘萬元盈餘三百五十二萬餘元港府資產超過債額千餘萬元
page 6	鐵路方面 
page 6	各種燈火 
page 6	管制程序
page 7	東南大戰昨因雨誤改在今天爆發下午四時仍在加路連山場盼老天幫忙玉成斯舉
page 7	甲組聯賽獨幕戲九龍打退蘇軍二比零培爾諾士建功
page 7	兒童週年運會因雨改期
page 7	美菲荷匯牌價回縮英匯沉寂申匯穩定 
page 7	過去一週間股票市況穩靜買家給價仍低存戶堅持不放昨日成交總值僅十萬元
page 7	八九金市略轉堅峭美匯稍緊價格回漲
page 7	大生杯排球今天頒獎下午在卜公園
page 7	尖事兩則
page 7	海外拳壇
page 7	菲籃球埠際賽下月底揭幕 
page 7	乙組銀牌半決賽南華含冤莫白昨向足球總會提出伸訴
page 7	南華會中堅份子昨聯同發表宣言
