page 2	論日本農民問題
page 3	我神鷹隊揚威西北炸毀日空軍根據地湘北日軍需集中地亦中彈爆炸綏西又大捷深入日軍全擊潰
page 3	張發奎發表告後方同胞書希望出錢出力慰勞將士團結一致粉碎日汪陰謀
page 3	國民參政會舉行四次會聆取內政教育報告
page 3	粵全省舉行討汪宣傳兩週滬市學生斥汪盜用名義各省府及西藏續電聲討 
page 3	桂潯州區民眾獻款購機專作殺日之用
page 3	袁鴻鈞王雲峰函勸附逆份子清夜捫心何以對祖宗對子孫回裝是岸自新之路即在目前
page 3	顧復興部反正殺日在無錫城郊激戰
page 3	日圓控制租界滬英美僑民強烈反對主維持原有董事額雙方正明爭暗鬥中
page 3	滬西戒備突然加緊
page 3	滇省金礦大規模開採一條探採隊全部到達後即著手工作以年半為期
page 3	吳忠信事畢即由藏返渝奚倫將代吳赴後藏視察
page 3	日國內人民反戰怒潮日漸趨於激烈
page 3	桂省府鼓勵春耕派員攜款貸放
page 3	滬謀殺案兩人同宿旅館結果一死一逃
page 3	林伯渠等由延安抵渝 
page 3	鄂參議會二次大會今日開幕
page 3	粵北大風雨為七年來所僅見
page 3	豫省府召開行政會議
page 3	渝全市兒童共慶兒童節
page 3	粵省當局優待囚犯囚糧按日增加
page 3	南京醜劇旁觀記汪兆銘在南京串演醜劇舉世正義的輿論已一致予以聲討但群醜猶不自量於上月底仍招待外國記者赴寧實行其假戲真做此篇為當時赴寧實行其假戲真做此篇為當時赴寧之某外國記者所撰內容對日偽挖苦備至予以盡情的暴露原文見三月三十日出版之上海密勒氏評論報亟為譯出公諸讀者
page 3	我向小董猛進閩東克南日島
page 4	英當局強調申明堅守根本立場對汪偽組織不承認與美法採同一步調 
page 4	工黨議員提出質問
page 4	英封鎖措施縝密考慮中駐東南歐使節即抵倫敦挪威海外貿易對英增加
page 4	郭大使演講甜言蜜語難止日野心日本式和平眾所痛惡
page 4	歐戰通訊之九巴黎戰時新陣容中三月十八日巴黎航訊
page 4	英內閣局部調動增強戰時機構邱吉爾兼任海陸空委會主席掌璽大臣賀爾三度出任空相
page 4	土耳其地震水災亦極嚴重
page 4	美法輿論皆表好感 
page 4	美陸軍參謀長要求增強防務添置武器增加人員並在亞拉斯加設防
page 4	羅代表團抵英談判
page 4	我外部照會送國聯秘書長備案
page 4	民族掃墓節
page 4	西北之捷報
page 4	謹慎發言
page 4	美貿易局報告論日本經濟通貨膨漲及物資缺乏均為機構脆弱之明徵
page 4	首相官邸發表聲明
page 4	農村的革命怒火
page 4	戰時日本農村五
page 4	萊諾對美廣播重申打倒納粹決心張伯倫昨發表演講
page 4	外次解釋英使演說
page 4	英報主採鮮明態度
page 6	昨日數千小朋友熱烈慶祝兒童節港九四大戲院無一虛席遊藝節目豐富秩序井然
page 6	分區舉行
page 6	致開會詞
page 6	各會謝詞
page 6	教師聯會
page 6	兒童振會
page 6	其他團體
page 6	九龍紅磡
page 6	大亞灣海面日艦遊弋香翰屏飭屬戒備
page 6	廣州大學粵北慰勞隊出發該校總務長溫仲良等數人攜繡旗三十餘面藥品四箱 
page 6	蔣委員長嘉勉本港小販
page 6	今日清明節各校放假一天
page 6	本港外勤記者聯誼會今日成立下午三時假思豪酒店開會會章草成經港府批准備案
page 6	美艦隊司令哈脫昨未抵港
page 6	嶺大農學院積極進行內遷以連縣之可能性較大古桂芬等四月底返港
page 6	主席名單
page 7	菲中華籃球娘子軍全體名單寄到陣容整齊實力甚強橫
page 7	真光校運大會藍白榮獲冠軍
page 7	南華男徵求隊冠軍揭曉前夜正式公布
page 7	美菲荷匯價牌稍縮申匯英匯市況靜穩
page 7	八九金市略趨下游美匯回淡價格傾跌 
page 7	股票市況冷淡全日成交約達六萬元僅低價股票買賣較多
page 7	真光女中體育概況
page 7	兒童運動會成績優越按察司夫人頒獎
page 7	陳蘭芳在大同宴客
page 7	隊員錄
