page 2	今後我們應如何苦幹 
page 3	英德展開劇烈空戰參加飛機千六百架海戰英艦獲勝追入丹挪海峽
page 3	英軍迫近挪京貝爾根傳克復
page 3	德軍冒險深入挪軍節節反攻
page 3	各弱小中立國紛紛準備不懈
page 3	美中立法範圍決擴展至北歐戰區對北歐借款暫停支付蘇表示中立政策不變
page 3	美國極注視冰島格林蘭命運羅斯福曾與丹公使長談冰島政府代行丹王權利
page 3	須磨談話日本不參加歐戰 
page 3	英蘇商約問題
page 3	克萊琪未赴美 
page 3	運美黃金激增
page 3	泰樂訪問教皇
page 3	丹麥政府改組 
page 3	美度支委會通過海軍預算案美議員在議會指出日侵略夏威夷陰謀
page 3	美大選初選羅斯福佔優勢
page 3	美總商會將開會討論在華貿易上海美商分會建議對日採取報復辦法 
page 3	英駐巴爾幹使節繼續舉行會議保加利亞官方否認德提控制航運要求
page 3	德軍進退失據人民漸見焦灼
page 3	挪王發表宣言決心抵抗侵略
page 3	英海相邱吉爾演講北歐戰況
page 4	贛北我軍續進前鋒迫近南昌葉子山等要點均收復
page 4	滬工部局競選英美獲勝利正式結果即可發表 
page 4	老羞成怒滬捷克女子海斯被日人綁架無蹤
page 4	滬難民萬餘人傳將遣散
page 4	南僑慰勞團由滇抵筑即赴渝
page 4	漢奸的滋味貴為部長尚須低頭妻小受辱更其餘事
page 4	三青團召開首屆聯席會議蔣團長親出席主持
page 4	訓練僑民師資僑委會正計劃中
page 4	日人反戰同盟巡迴劇團月中赴渝公演
page 4	嚴格取締操縱厲行平抑物價參政會議定具體辦法
page 4	粵省民食省府竭力調濟前途可以無虞
page 4	敦睦中緬友誼緬甸某兩大緬文報紙將組訪問團來華觀光 
page 4	鉛質輔幣運滬分發行使
page 4	滬英商會主席抨擊日人行為摧殘第三國在華商務顯違背門戶開放政策
page 4	統一公債丙種九次還本揭曉
page 4	戴罪圖功桂囚犯一批開前線殺日 
page 4	龍雲主席鼓勵中學生將成立獎學基金注重理科及體育
page 4	滬租界競選揭曉
page 4	須磨之言
page 4	英德海戰如何
page 4	國府命令褒揚唐聚五 
page 4	參政會帝聽記
page 4	桂南痛殲日軍冀南迫大名豫北薄沁陽晉東南挺進猛攻長子城
page 5	我機械化部隊開四邑前線增防日艦窺伺騷擾斗門形勢嚴重中山義勇青年夜襲港口得手
page 5	劉侯武巡察歸來談嶺東近況民眾深明大義日偽詭謀失敗糧食恐慌亟待解決
page 5	日偽詭謀 
page 5	飢餓線上
page 5	嶺東民食
page 5	韶市簡訊民生路大火
page 5	組織鐵肩隊
page 5	電迎南僑團 
page 5	粵推行節約儲金各地成績良好組織勸銷隊擴大宣傳
page 5	川康邊區富源亟謀開發中雷馬屏娥墾務日見發達趕修公路開採西康煤鐵 
page 5	保育第三院
page 5	抗戰幾年來的經濟建設何廉在西南聯合大學講演
page 5	農業方面
page 5	粵港青年會服務團抵韶
page 5	工業方面
page 5	最感興奮
page 5	國府明令公布社教人員養老金及卹金條例
page 6	司徒雷登談內地教育
page 6	燈火管制演習昨晚三傳警報日落西山影戲院票已賣完掩卻華燈火山上依然跳舞
page 6	我當局組織戰時人才調劑協會在海防及昆明設置分站有志返國服務者應注意
page 6	紙價再漲因北歐戰事影響
page 6	荷屬華僑捐輸大批金雞納箱
page 6	粵文物展徵集學生論文揭曉
page 6	蔣總裁宣慰港僑吳鼎新日前由渝啣命返港定下週出席華商總會宣達
page 6	兩個梁美霞爭產案判結被告得直兼得堂費
page 6	港府接管丹挪商船截至昨午止已達十一艘所載之貨物皆視作敵貨
page 6	鹽價奇昂暹羅來鹽短少
page 6	中國文協香港通訊處定期舉行會員大會
page 6	日內瓦
page 6	小故事
page 6	英帝航歸併英航公司港分局日內改組
page 6	一代名花
page 6	龍宮神女
page 6	經警司銀婚紀念本港警界聯合致賀
page 6	商會昨討論徵求傷兵之友各值理均擔任一個人隊並議決暫定經費為一千元
page 6	法婦女界涵謝各界踴躍購物
page 6	曹碧霞訪問記中國文化協會主辦歌詠比賽冠軍
page 6	中華教育文化基金會十五日在港開會孟祿博士約於今午抵埠其他各董事已先後來港
page 7	南華會暗潮平息會長周文治對本報記者談四球員承認誤會收回建議
page 7	滬國際杯決賽惹出一場風波中華隊員無故橫加處罰提出抗議遭西聯會否決
page 7	麗華杯賽榮才手傷未愈均幹將替出陣
page 7	緊急小組會改期審烏烈芝
page 7	零碎新聞
page 7	滬籃球義賽第二幕強華再奏捷四一比三二滬青不敵阿奎大貓顯身手
page 7	強華出息
page 7	美菲荷匯牌價回漲英匯沉寂申匯穩靜
page 7	糖價上漲
page 7	股票市況穩定買胃較暢各股需求頗多全日成交總值廿四萬元
page 7	八九金市稍形鬆弛人心較淡價格略降 
page 7	滬青落後
page 7	銅圖說明
page 7	關於學運籌賑會願與僑胞進一言
