page 2	歐戰的新轉點
page 3	贛北前線加緊掃蕩日軍集結九江湖口滬郊游擊隊活躍租界聞砲聲
page 3	蘇聯報紙揭發日本之窘態利用汪兆銘挽救危機其結果顯然等於自殺
page 3	南僑慰勞團今日可由築抵渝
page 3	馬君武談廣西大學現況擴充校舍工程正進行中增設文史等系培植人才
page 3	振委會實行工賑先從豫省災區辦理
page 3	粵省民食當局竭力調劑並向贛湘購米
page 3	奸逆到處活動國府明令嚴拿 
page 3	綏蒙政會萬行禁煙派員赴伊盟視察
page 3	教育部注意全國民眾教育除分期調訓各省市民教館長外並制定受訓及格人員服務規則 
page 3	桂龍津等縣裁撒地政科並舉辦清鄉
page 3	旅英僑胞捐款供獻政府抗戰
page 3	蔣夫人等電唁宋家屬
page 3	北平義日糾紛偽警干涉義商戲院營業義兵趕到與日憲兵衝突
page 3	粵漢路員工踴躍參加傷兵之友
page 3	普魯特女士在美為我工合募款現已組成贊助委員會由羅斯福夫人任主席
page 3	白銀問題英日繼續交涉中
page 3	梁參政員上棟接傳副長官電謂決率同綏西軍民再接再厲續展勝利
page 3	五原大捷與綏西戰局
page 3	武寧偽警一部反正豫東偽兵擊斃日軍官
page 3	南路日軍就殲晉南分途進擊
page 4	北歐戰局開朗英軍已在挪威登陸瑞芬志願軍亦開到
page 4	法總理萊諾電賀英首相法人盛讚英艦隊戰績
page 4	英德海戰中德損失嚴重希爾上將亦中魚雷
page 4	荷前陸軍統帥勗國人準備應付全面戰爭警備精神不容稍懈
page 4	德遊客數千人紛抵南保國境義艦隊奉命集中演習北歐勝負影響義態度
page 4	緊急會議商荷屬東 印度問題儼然以保護者自居
page 4	美議員反對購銀政策認為對日有利
page 4	北歐戰事打擊日航運
page 4	再談津存銀問題
page 4	大家應做傷兵之友
page 4	英報傳出日秘密造艦建造中之無畏艦多艘傳尤大於英美現存者
page 4	孫院長談憲政重慶航信
page 4	國大選舉
page 4	大會職權
page 4	憲草內容
page 4	挪擴大兵源抵抗德侵略法總統表示盡力援挪 
page 5	石岐面目全非市內遍地皆煙賭日貨充斥商業極冷落我西江前線增強防務
page 5	三埠被炸後災情頗重大老弱婦孺疏散四鄉戒備嚴密治安良好
page 5	如日偽軍發生衝突互相火拼各有死傷風潮擴大解決不易
page 5	汪偽組織成立後泰國之態度當局表示不考慮承認問題
page 5	韶收容難童四千餘人教養院不敷容納將增設第五分院
page 5	黃河近狀
page 5	黃淮合流
page 5	汛水高漲
page 5	高堰大堤
page 5	災深禍慘
page 5	一分元氣 
page 5	閩各縣區合作社林共有二百九十餘萬株分佈縣份達二十四縣
page 5	成都的舞台
page 5	浙江文建分會設科學獎金鼓勵科學上研究發明適應國防與建設需要
page 5	黃河決口未堵沉災堪虞蘇省府令各縣認真修築　垛限五月底辦理完竣
page 5	新都影劇情報
page 5	崑崙關血戰收入鏡頭
page 5	力謀自保
page 6	中教基金年會顏惠慶獲選董事長孟祿及周詒春連任副董事長下次會議本年十月舉行
page 6	孟祿博士昨晚飛渝據談美發明代用品對抗日絲
page 6	為減租運動華人代表覆函住客聯會俟有具體辦法再行商洽明令減租事實上有困難
page 6	華民司談
page 6	輔助看護隊昨舉行畢業典禮
page 6	挪威商輪恢復自由昨有一船離港赴越南兩美輪提前離港返菲
page 6	丹僑在港財產如何處置正候英庭訓示北歐與本港電報已斷絕
page 6	丹籍商行
page 6	大北電報
page 6	時代批評
page 6	文化協進會舉行會員大會
page 6	又一貨艇被劫損失三萬餘元貨主陳泰被賊用槍擊斃另一漁船被賊將船奪去
page 6	清華同學
page 6	梅樂和抵港
page 6	英艦失水雷
page 6	中英文協
page 6	徵求傷兵之友參加僑團達六十個以上工商婦女各界分工合作
page 6	大地晨鐘
page 6	龍宮神女
page 6	書業公會
page 6	第十二軍團控告洋商得直追討防毒面具訂款
page 6	本港師範學校夏秋間可落成教育界致港督之呈文現已草竣定明日遞呈
page 6	教育界五大巨人
page 7	東方征菲第二戰大勝拉格蘭渣七比一演出八面玲瓏
page 7	學界排球賽後日開會議
page 7	世運會芬決放棄舉行
page 7	聯賽閉幕表演擬定週末舉行明天小組會討論比賽期本週內有甲組補賽多場
page 7	公開男子籃球賽開委員會議參加比賽隊伍凡卅一隊定星期五夜召開代表會
page 7	南華女徵求隊勝斯大宴郭夫人致演詞
page 7	志賢杯舉行半決賽
page 7	學運籌賑會參加踴躍今晚止截報名
page 7	美菲荷匯牌價回漲英匯沉寂申匯穩靜
page 7	股票市略堅穩匯豐銀行股價轉趨上漲昨日成交總值約九萬元
page 7	烏烈芝犯規案昨午開會研訊如何判決迄未正式發表侯澄滔亦受儆告
page 7	澳門籃球義賽雨中激戰復旦不敵星島
page 7	加山足球聯賽雛鳳重戰水兵
