page 2	如何防止資源劫奪
page 3	廣州日軍近又增加并派飛機四出偵察我各江防衛力增強積極戒備 
page 3	黨政軍機關人員嚴禁宴會國防委員會制定辦法訓令行政院頒布執行
page 3	美記者楊格由日啟程赴滬
page 3	新任駐蘇邵大使下月中旬赴任將秉承政府外交方針使中蘇邦交更進一步
page 3	艾沙一行定今日由緬抵滇將赴渝晉謁當局
page 3	顧竹軒案滬法院再度審訊
page 3	粵肅清仇貨舉辦小工業貸款俾安定人民生計 
page 3	天文奇觀永安發現彩色日暈
page 3	汪屬偽鐵道部祗存一個空名汪派仍企圖接管兩路傳逆式說先放烟幕掩護
page 3	滬盜劫案公共汽車乘客中途被盜騎劫
page 3	滬自來火公司工人怠工要求增加工資
page 3	南僑慰勞團全體抵行都各界代表熱烈歡迎
page 3	良駒贈英雄滇主席龍雲贈馬越當局
page 3	日本兵民反戰情緒漸高東京警視廳施行大檢舉晉汾城日兵焚毀彈藥庫
page 3	滬租界納稅人會已平穩渡過各項提案在默契中通過日發言人攻擊選舉制度
page 3	渝發掘漢墓續有新發現
page 3	重慶航信農貸四萬萬元一
page 3	軍委會發言人談各線戰況過去一週捷報頻傳士氣民心愈為振奮
page 4	荷蘭嚴正表示荷印前途早有準備勿煩他國越俎代謀英美密切注視日報猶圖掩飾
page 4	挪威德軍續有進展
page 4	雄獅有翼炸德機場  
page 4	張伯倫演說譴責德國侵略北歐深信聯軍必獲勝利
page 4	法總理萊諾述北歐戰果德國艦隊全部覆沒鐵苗運輸線被切斷 
page 4	辛穆勒傳被丹人搶擊斃命
page 4	荷比加緊警備嚴密檢查入境外僑盧森堡發現德遊客
page 4	東南歐之暗流德軍事代表團抵羅馬羅南匈保商訂新協定
page 4	畢德門演說德軍將被逐出挪威美國不至參加歐戰
page 4	史托克要求增撥造艦費日加緊秘密造軍艦美議員主急起直追 
page 4	荷蘭之聲明
page 4	瑞典處境難
page 4	美在冰島將設領事館
page 4	那維克德軍陷徬徨歧路中那維克展開激烈巷戰德圖誘挪王與之合作
page 5	日艦艇進擾厓西中山八區又緊張
page 5	汪偽組織開張後滬西怪現象煙館林立美其名曰談話廳各小賭窟又告活躍
page 5	被封賭窟死灰復燃
page 5	斂財方法無微不至
page 5	大批青年脫離偽校
page 5	統制木材坐收漁利
page 5	強迫居民使用軍票
page 5	宵小橫行盜匪充斥
page 5	粵糧糧食會商定調節辦法
page 5	高中以上學生參加抗戰工作教育部訂定獎勵辦法
page 5	加強戰時經濟
page 5	改進兒童保育 
page 5	登記失業教師
page 5	財部體卹民艱減低鹽稅率輕稅各區決仍維持現狀
page 5	工合的新生
page 5	獎勵辦法
page 5	參加抗戰
page 5	服務成績
page 5	軍事學校
page 5	南市視察記花會聽筒到處皆是盜匪橫行景象蕭條
page 5	花會聽筒三十餘家
page 5	多數房屋均被佔用
page 5	漢奸心勞日拙偽造消息陰謀淆亂聽聞僑胞不受所愚嚴詞痛斥
page 5	談話為名過癮為實
page 6	本港優生學會協助貧苦婦女節育設有醫務所便利節育者本月二十五日舉行年會
page 6	防止墮胎惡習蔓延
page 6	婦人子女皆受其益
page 6	防空當局謀增防空工作人員最近開辦防空班共四處希望各界踴躍參加訓練
page 6	青年會徵友總結束打破十七年紀錄
page 6	九龍區小學下月舉行學藝比賽
page 6	坳頭角村劃充寮舍建築區遷往之貧民已逾二百人當局並貸給建寮之費用
page 6	織造業與爆竹廠均受歐戰影響織造紗價漲勢甚勁爆竹原料來源日少
page 6	港當局進行大規模填海工作初步工程由中環為起點移統一碼頭闢巴士總站
page 6	產業所得稅
page 6	商振會常會
page 6	蔣夢麟講演
page 6	學生論文賽
page 6	銀冰豔舞
page 6	京劇團
page 6	日人犯法判罪川村八木旅港已有十年冒稱華僑在大酒店開房
page 6	生育過多及其夭折
page 6	張一麐返港論憲政
page 7	南華南戰和光華榮獲聯賽錦標李葉黎三將缺場惹人想念今天南華兄弟無戰事
page 7	菲中華女籃球隊昨晨平安抵步今日早上往中青練球晚間赴大同酒家歡宴
page 7	征越埠際人選今日開會決定星總會函詢東方南征事
page 7	東方明夜出戰華聯作慈善賽
page 7	傑志體育會初選職員揭曉
page 7	外匯牌價俱無變動美英申匯市況穩定
page 7	丹麥存港貨品不准出口牛奶新聞紙價格略漲
page 7	股票市況好轉匯豐銀行股價再度上漲昨日成交共十七萬餘元
page 7	八九金市昨日靜穩買賣不多價少起落
page 7	九龍學界籃球興華奏捷南華培正勝仗
page 7	真光籃球隊打勝港大軍
page 7	小球友誼賽星島勝郵匯
page 7	馬尼拉歸鴻
page 7	第一函四月十一日
