page 2	學校與學風改進教育的一個根本問題
page 3	贛北我軍克復安義前鋒直逼南昌西郊滬郊七寶黃渡等處發生激戰 
page 3	粵日軍政治陰謀將全盤失敗偽軍覺悟反正者日多淪陷區民心始終堅定
page 3	阿部一行抵滬行前發表悲觀論調請人迎其骨灰還鄉
page 3	滬西歹土盜匪橫行賭窟股東金安人家被劫財物七萬餘元
page 3	近東各國朝野一致對我同情艾沙在滇報告宣傳經過
page 3	張逆素民就滬海關偽署長梅樂和不予置理 
page 3	教育部改進女子教育師資籌設國立女子師範學院並委任謝循初等為籌委
page 3	歐戰爆發後之馬來亞二
page 3	傷兵之友運動成績超過預期孔總隊長歡宴負責人員
page 3	教部攝製教育影片短期即可完成
page 3	南僑慰勞團在渝備受歡迎渝市婦女會等獻旗致敬
page 3	武漢日偽拒絕與汪合作準備另起爐竈
page 3	俘虜生產桂當局設工廠使其參加工作
page 3	川滇桂長途電話正式開放營業
page 3	川覆舟慘劇小輪傾覆江中溺斃八十餘人
page 3	外僑返滬談日本的苦悶利用汪兆銘嘗試已失敗無法打破目前僵持局面
page 3	江南雨水勻調小麥可望豐收
page 3	參政會五屆大會蔣議長休會詞全文
page 3	誅斥敵偽
page 3	毀家紓難華僑劉浮初捐款九百鎊
page 3	犯茅津渡日軍被我全部擊潰
page 4	英國大批飛機夜襲德根據地英軍在挪陣地展開瑞典搜查納粹機關
page 4	英準備與蘇商談判基礎商約談判將可重開英方各報相當重視
page 4	多惱河國家商籌合作南外長特發表聲明匈南對此獲得諒解
page 4	駐德蘇大使遄返柏林蘇德義妥協說忽又甚囂塵上
page 4	美對日禁運案準備再行提出堀內見赫爾解釋有田宣言全國重視擴充海軍案
page 4	德機飛襲英法沿英倫東南岸偵察法高射砲擊落德機
page 4	蘿羅關係好轉雙方將舉行談判德羅商約未簽字
page 4	陳光甫謁赫爾辭行 
page 4	英陸相演說德如獲勝文明將不復存此次戰爭聯軍必不能敗
page 4	希特勒生辰美蘇均未電賀
page 4	美將再提禁運案
page 4	蘇聯之明快聲明 
page 4	美日經濟力量之比較四
page 4	法總理希望與義談判懸案義報誇陳空軍潛艇實力迫英法放棄地中海霸權
page 4	法國加緊造艦
page 5	武漢合唱團結束募款成績極圓滿約得國幣一千一百五十萬元全體團員已分批返國
page 5	蔣委員長嚴禁公務人員宴會取締詳細辦法公佈執行 
page 5	南僑總會籌備紀念七七倡議發售建國章預計可得千萬元
page 5	粵撥款五十萬購辦洋米運往南路救濟民食
page 5	羅翼群電請協助
page 5	暹羅回國華僑組織合作社在廣州灣自建社址經營工業規模頗大
page 5	英德煙民踴躍施戒達一千八百餘人
page 5	埃及的留學生
page 6	孟祿博士談中國已能自力更生對抗戰必勝自信力甚強實業建設亦有驚人發展
page 6	捷和鋼鐵廠旺角廠昨晚大火事前曾有巨響而爐鍋未破損失甚鉅警方正研訊職工
page 6	該廠專製鋼鐵用具
page 6	突告爆炸火勢飛揚
page 6	警署研訊在場職工
page 6	杜老志道難童夜校供給書籍不收學費
page 6	姚錦新鋼琴獨奏二十四日晚舉行
page 6	搶救情形
page 6	四個目的
page 6	無妄之災生鐵欄杆下墜洞穿行人頭顱荷里活道昨日發生慘劇鍾明森因傷重當即身死
page 6	飛來橫禍
page 6	渠水為赤
page 6	一人微傷
page 6	東華三院招考護士昨日舉行筆試
page 6	九龍城擇地建築公廁三所反對者可呈布政司
page 6	保良局選出下屆總理五月初旬交代
page 6	大潭水塘改用新式抽水機
page 6	港澳國貨火柴廠商聯合爭取市場成立聯營公司集中力量日本運港火柴較前減少
page 6	警探查究
page 6	聖約翰救傷隊昨演習防空救護六百餘人在港九八處舉行消防隊童子軍均動員參加
page 6	演習地點
page 6	介紹商會圖書館
page 6	第一工廠在晏架街
page 7	愉園足球表演賽南華南顯顏色二比一小挫聯隊功德圓滿羅文錦夫人頒發獎品
page 7	中華泳場下月一日開放
page 7	南華會複選職員揭曉
page 7	學運籌賑會近六百人參加南華體育會主辦之全港
page 7	今宵籃球慈善賽中華戰協會下午七時在中青籃球房雙方工力悉敵料有劇爭
page 7	橡膠需求迫切售價高漲港膠鞋業今年出口增加
page 7	德國顏料絕跡市場英美貨取而代之價格亦步步趨漲
page 7	本屆上海足球最佳陣容檢討上
