page 2	社會經濟轉變中的一個嚴重問題
page 3	開封城內巷戰激烈日司令部被我佔領蘭封以西鐵道已節節切斷淮陽朱仙鎮等地先後克復
page 3	贛北繼續掃蕩日軍傷亡慘重
page 3	日機六架窺滇見我有備遁去
page 3	雲南當局發展蠶桑決在楚雄保山設場大量生產
page 3	珍貴同情旅滇法僑賈海義參加傷兵之友
page 3	軍委會嘉將旅美僑胞捐贈三十一批藥品
page 3	粵主席李漢魂由嶺東返韶對潮梅食糧已商有辦法東北江黨務會議已開幕
page 3	汪派大失所望日人無意發還佔有財產偽鐵道部祗存一個空名
page 3	各方繼續通電討汪
page 3	日人反戰劇團由桂赴渝公演桂戲劇界將獻旗委座
page 3	阿部召見汪等訓話
page 3	粵偽省府改組竣事
page 3	天津日倉庫棉花被焚損失五十餘萬元
page 3	高師教育會議定今日開幕中正獎學金辦法已公布並聘定審查委員會委員
page 3	忠義可風王文仁子為國捐軀並呈卹金慰勞將士
page 3	朱家驊部長談推動學校黨務在各諧之環境中求發展
page 3	美芝加哥僑胞捐款十萬元救濟粵北戰區同胞
page 3	大公報號滑翔機由蓉運抵重慶日內將再表演
page 3	哈特司令談美遠東防務關島設防並非無限度菲人已明瞭自身危機
page 3	綏西復興工作積極推進中當局一面撫慰災黎一面協助人民春耕
page 3	晉南血戰聲中中條山中一戰士
page 4	挪威中部激戰瑞典邊境又見緊張傳德將侵芬奧蘭群島
page 4	二十六萬萬鎊英二屆戰事預算已向眾院提出西門願全國人民肩此重任藉以迅速結束對德之戰事
page 4	英外相晤邁斯基傳談商約以外問題
page 4	名古屋大火棉織廠被焚損失五百萬
page 4	美議員提議視察日本代管島嶼如日拒絕此項要求足證日已設防無疑
page 4	聯軍召開最高軍事會議準備應付地中海局勢德仍極力慫恿義參戰 
page 4	羅斯福接見加總理
page 4	南捕德僑德提出恫嚇謂將引起嚴重事端南前內長被判監禁
page 4	義經濟代表團行抵柏林
page 4	西線砲戰頗見活躍
page 4	傳日擬以軍火交換羅油並傳將舉行經濟談判
page 4	挪威戰事形勢 
page 4	東南歐低氣壓
page 4	蘇聯的遠東政策二 
page 4	英議員質問伊煤油運日此舉雖屬商務性質惟予美以惡劣印象
page 4	雙方空軍猛施轟炸
page 4	納粹報紙抨擊瑞典
page 4	去年支出
page 4	上次大戰
page 4	戰爭七月 
page 4	西門又謂
page 4	關稅問題
page 4	收入項目 
page 4	購買稅
page 4	所得稅率
page 4	紅利分派
page 5	我軍嚴密監視下東江南岸趨穩定控制莞城殘日已被包圍
page 5	西北建設現況這裏需要資金需要幹部更需要整個的經濟計劃 
page 5	工業建設
page 5	今後西北
page 5	江會戰事沉寂西江對峙中三埠公益已恢復常態
page 5	財廳貫澈實施本年度計劃顧廳長勗勉屬員淬勵工作各縣稅收俱見增加
page 5	李主席在興寧開糧食會議籌謀調劑獲得圓滿解決首批湘米運往東江
page 5	四邑同鄉救濟糧食
page 5	西康日記七五第四編康定及其附近西康風俗概述
page 5	世界紅　字會籌組廣東分會
page 5	合作事業
page 6	留港挪威商輪英政府已令放行航線有限制多艘已離港挪領事談英挪已訂協定
page 6	中國文化協會舉辦話劇比賽第一期限學校團體參加今日開始報名五一截止
page 6	防癆影片將在本港公開放映 
page 6	拘留本港德僑業經遷移他處地點當局並未宣布德僑眷屬均獲隨行
page 6	盡忠報國
page 6	新西線無戰事
page 6	龍宮神女 
page 6	蝴蝶夫人
page 6	意中人
page 6	聖保羅女校昨日銀禧紀念會李作禮及林護公子捐款港督夫人代讀港督演辭
page 6	祝壽典禮
page 6	開紀念會
page 6	商賑會昨議決續匯勞軍餘款財部二萬元粵府萬餘元
page 6	議決要案
page 6	九江中學前日八週年紀念
page 6	美艦兩隊由菲來港將赴煙台演習
page 6	抗戰中的祖國與華僑 
page 6	本港防空處下月遷新署辦公
page 6	洋務工會昨開兩週年紀念會
page 6	本港春季出入口貿易統計較去年同期增加百分四二五三月份增加百分三四六
page 6	港督演說
page 6	聖馬利亞堂舉行慈善賣物會 
page 6	劉景清函
page 7	昨晚中青人氣熱菲中華隊初敗二十三比二十七不敵港星表演賽星島勇克南華
page 7	東方足球征菲隊昨午奏凱回健兒精神飽滿江善敬先返澳此行成績甚佳僑胞熱烈歡迎
page 7	足球補賽雛鳳贏南華南
page 7	東方在菲最後一戰痛擊依拉聯軍三比零李四阿滔立功
page 7	美菲荷匯牌價略縮英匯沉寂申匯穩靜 
page 7	桐油略跌上月運港五萬餘擔歐戰影響外銷呆滯
page 7	股票市況穩靜昨日成交總值八萬餘元
page 7	八九金市仍然穩定人心趨好價格略起
page 7	南華女子部徵求成績揭曉 
page 7	桂勞軍籃球賽各場表演精采
