page 2	發揚五四精神鞏固抗建基礎
page 3	皖南我軍出擊獲勝先後克復青陽南陵我神鷹隊又飛鄂中一帶助戰
page 3	淪陷區一切被壟斷殆盡日汪狼狽為奸無孔不入第三國權益被排斥無遺 
page 3	甘介侯在桂演講日矛盾外交北進碰壁又圖南進妄想在歐戰中混水摸魚
page 3	桂林行營本月半結束改設辦公廳
page 3	經濟部對日偽加強反封鎖通令全國商人凜遵
page 3	吳忠信由拉薩抵江孜候晤安欽暢談
page 3	美潛艇抵青
page 3	汪派無聊行為綁架上海舞女疑為擔任間諜工作傳已移交日本軍部
page 3	內政部禁煙會議定六月三日舉行
page 3	台淡建國紀念台灣革命團體聯合會在渝設茶會招待各界
page 3	愛國小學生獎金捐獻國家
page 3	漢奸又少兩個
page 3	滇婦女界推定國代候選人羅衡等十九人當選
page 3	滬物價又漲租界當局布告嚴禁市場情形仍未寧靜
page 3	滇越路被炸法向日抗議
page 3	趙老太太慰問事畢返渝
page 3	鑄風驅毒機許林森設計成功 
page 3	滬綁殺風盛行
page 3	渝市成立一週年市府定五六兩日慶祝
page 3	我國西南各省農村極有進步羅氏基金發表上年報告
page 3	南僑慰勞團一部抵蓉稍留即轉赴前線
page 3	保衛祖國領空的華僑空軍勇士六
page 3	晉東南進薄長壺豫南日蠢動受創
page 4	地中海氣壓愈低英法增強實力一部兵艦由北海調回義使謁美總統談話
page 4	張伯倫眾院報告獲普遍同情英國決不輕視挪威軍事長期戰略方為獲勝因素
page 4	土羅開始商務談判土代表起程赴羅京
page 4	荷對挪威戰局正密切注視荷比兩國準備不懈
page 4	聯軍調整戰略退出挪威中部瑞典處境將更趨困難
page 4	美國商會響應滬美僑要求政府設法制止美商所受差別待遇
page 4	寒雅訪有田討論美日關係 
page 4	美國正建造無匹大海軍為求保障本身安全必須有堅強的艦隊
page 4	蘇瑞與德瑞開始經濟談判英蘇商約希望不絕如縷
page 4	菲國會通過限制移民案日本竟表示遺憾
page 4	美國陸長明春決定退休
page 4	磕頭使節 
page 4	北歐戰事一段落 
page 4	日人在華北的大失敗二
page 4	東南歐各小國紛紛準備自衛
page 5	日圖控制鶴山江佛路戰雲瀰漫中山沿海商船迭遭騎劫
page 5	日軍野心畢露經營瓊島工事並計劃明年底完成環海鐵道嘉積美僑奉命落艦返國
page 5	電白演習空室清野遷移沿海物資限五月底完畢
page 5	西康日記八三
page 5	劉海粟在爪哇舉行畫展籌款呈獻中央
page 5	救濟失業教師廣東兒教院舉辦登記省振會派員來港招致
page 5	徐聞新劃定安全商港利便商船貨運
page 5	滬市醃臘業營業遭打擊價格飛漲銷路滯減日偽剝削捐稅奇重
page 5	漲價原因
page 5	備受剝削
page 5	營業衰落
page 5	澳門各學校分別遷徙省立一職奉令遷韶臨時聯中暫設粉嶺
page 6	今日各青年團體慶祝五四青年節學賑會假孔聖堂舉行參加者共有十數學校
page 6	利威洋行劫案事主傷重斃命警方懸紅通緝在逃兩匪被捕之匪曾被同黨槍傷
page 6	匪手槍傷
page 6	警方談話
page 6	香港舊書店遷移新址
page 6	駐港簽證處重申請領護照手續
page 6	長沙會戰昨日突被禁止放映
page 6	崇正總會救濟鯊魚涌難民古瑞庭許道純均捐鉅款該會擴大組織增聘顧問
page 6	九龍區小學學藝比賽今日起開始舉行 
page 6	美戲曲家抵港愛本港山水將停留寫作並為歌女一片物色主角
page 6	中青團
page 6	王先生與包租婆
page 6	九龍碼頭將為禁區未獲特許不得擅入
page 6	英國人的生活和思想
page 7	嶺南長人龍啟熙高跳驚倒四座一公尺八二接近全國紀錄今午競賽結束即頒獎閉幕
page 7	東方會足球隊決定二次南遊明日出戰海軍作義賽中華隊南征恐難實現
page 7	南華體育會女子部新職員產生
page 7	申匯市況續鬆弛其餘各匯牌價均無變動
page 7	股票市仍呆滯買賣不振勢有續淡之虞昨日成交總值僅四萬元
page 7	八九金市略形堅挺人心趨好價格上漲
page 7	國幣續跌粵桂幣亦下降
page 7	體育行政人員考試在渝舉行 
page 7	公開棒球賽開始報名十四日止截
page 7	跑跳道上
page 7	義賽點將
page 7	前夜會議 
