page 2	邱吉爾新閣成立
page 3	豫鄂日軍全部瓦解我軍正加緊掃蕩中日軍遺棄屍體及兵器無算 
page 3	晉南克茅津渡豫北襲擊安陽
page 3	越南華僑服務團現在桂南宣傳團長陳鵬由渝抵桂將返越招二批團員
page 3	挪威英機隊屢襲貝爾根兩天油池著火焚燬德跳傘隊降落挪北
page 3	土艦隊演習包括潛艇多隊
page 3	保官方否認英保接近
page 3	英親閣正式成立反對黨領袖分任要職
page 3	義反英運動英代辦已提出抗議義賡續加緊建軍艦
page 3	西門賀爾被擯閣外
page 3	英國各報熱烈擁護
page 3	羅新閣成立閣員無大變動
page 3	蘇南商約成立貨物交換議定書亦簽字
page 3	美當局加緊促成海陸空準備要求議會追加預算一般預測可獲通過
page 3	芝沙丹尼由港赴滬途中突然奉令折回
page 3	赫爾促各國注意美對荷印態度傳美準備派艦留駐新加坡英法軍隊將開赴西印
page 3	皖南宣城繁昌日軍完全肅清
page 4	荷比軍隊節節抵抗德軍顯無重要進展英法大批飛機積極參加援助西線薩爾區一帶戰事亦轉猛
page 4	法城市多處遭德機襲擊 
page 4	桂行政保安會議在桂林開幕省主席黃旭初出席致詞
page 4	貴陽中央醫院慘遭日機轟炸死護士長等四人傷數人沈克非談今後將益奮勉 
page 4	粵新縣制南雄始興兩縣下月一日實施
page 4	日人暴行陸戰隊在浦東逞兇竟任意侮辱我同胞
page 4	粵省當局加強反對鎖計劃交財建兩廳合擬中
page 4	章元善將赴滇商平抑滇物價昆明官商籌設市立銀行
page 4	日扎幌大火車站郵局醫院均被毀
page 4	于斌主教日內由筑赴桂桂林準備歡迎
page 4	行都各界熱烈歡迎日反戰同盟工作團
page 4	德軍之攻勢
page 4	義大利動盪中
page 4	醫神的禮讚
page 4	嘉慰抗戰將領加拿大僑胞所贈毛毯由蔣夫人分配各戰區
page 4	法總理萊諾將赴比訪問
page 4	山雨欲來的巴爾幹四
page 4	馬斯特里轍被德軍佔領
page 4	英大批空軍轟炸德機場
page 5	我軍向江會推進新鶴路發生激戰
page 5	豫戰時財政開源節流已有盈餘擴大對日經濟戰爭 
page 5	檢查各省市農倉儲糧內部將派員出發
page 5	洋米三千包運抵粵南已分發各縣具領
page 5	粵南海面日艦動態
page 5	推進地方自治之基本義務蔣總裁對川行政幹訓班訓詞
page 5	一般民眾
page 5	急公向上
page 5	負起建設
page 5	訓練目的
page 5	政治道德
page 5	鄉鎮保甲
page 5	粵充實抗戰物資積極發展工業在安全區域廣設小工廠並設法扶助推廣手工業 
page 5	小學教員桂省提高待遇
page 5	廣州近狀市中心區游擊隊活躍米荒嚴重秩序益混亂
page 5	西康日記八九
page 5	第四編康定及其附近西康風俗概述
page 5	邕欽戰事膠著日軍謀鞏固出海路線南路各縣積極備戰中
page 5	西江走私路線嚴密封鎖由沙扒港起至坪岡止
page 5	財部派員抵韶籌設海關對外貿易辦事處短期內亦將成立 
page 6	學賑會進行改選原有會員學校重新登記改選委會各部人選決定
page 6	音樂欣賞會昨紀念黃自中央戲院演奏黃氏遺作各界踴躍參加盛況空前
page 6	妻妾相爭一刀傷三命大婦行兇妾侍傷重斃命八十五歲家姑及幼子均被殺
page 6	捕兇繳械
page 6	張忠仁返國港童軍領袖昨歡送 
page 6	圖書旅行團昨日正式陳列
page 6	騙收廣告費陸連根昨日被捕今晨將控之於案
page 6	三區小販聯合分會昨舉行成立典禮
page 6	改善渠溝港當局在計劃中
page 6	赤柱監獄囚犯印刷部結束
page 6	利舞台
page 6	國民戲劇
page 6	太平戲院
page 6	港九教聯會主辦論文比賽昨舉行男女生二百廿五人參加試卷交由葉恭綽等評閱
page 6	文化協會續辦巡迴演講
page 6	大小吵罵
page 6	一家六口
page 6	黃君生平
page 6	閨秀劇團之女兒肩在排演中香港中國婦女會主辦下月在太平戲院義演
page 7	東方會改用新陣二比一擒水兵澳洲足球表演賽諧趣橫生十四比七雜衣隊戰勝藍衣
page 7	四川省黨教合作籌備健康比賽公布辦法通令各縣市遵行五一五為兒童健康檢查日
page 7	港九小球隊昨晨組師征澳
page 7	體育在廣州灣
page 7	荔枝角中青泳場舢舨傾覆慘劇四人中三人幸獲生還一男子竟被波臣召去
page 7	荷印與本港貿易概況年來貿易日增關系密切歐戰範圍擴大前途堪虞
page 7	南華游泳場通告租衣櫃者
page 7	八桂禺山籃球組隊攻澳
page 7	學界排球賽英皇逢皇仁
page 7	學界籃球決戰培正出兵迎抗美爾頓
