page 2	歐洲大戰發人深省
page 3	豫南鄂北加緊掃蕩信陽日軍大部被殲反撲棗陽殘日又被我擊潰我神勇空軍飛臨鄂北助戰
page 3	何部長對戰局作詳細之報告 
page 3	廣州被拉民伕受盡日人虐待逃出者談目擊慘狀
page 3	日機襲川受創被我擊落六架
page 3	汪派在漢練兵至今尚為忘想柴山大權在握不肯讓步葉逆赴漢懇求尚無結果
page 3	歡迎開發西南遷桂工廠聯合會報告湘桂各地之生產情形
page 3	全國美術協會舉行首屆年會
page 3	我政府闢謠和謠全係漢奸散播陶德曼亦無來華訊
page 3	滬綁架案兆豐公園一男子被日方綁入華界
page 3	滇緬鐵路工程正加緊進行中五銀行共投資五百萬元
page 3	魏剛和希特勒
page 3	希特勒的戰略
page 3	魏剛的戰略
page 3	魏剛與希特勒
page 3	皖南攻入貴池鄉寧日軍潰退
page 4	聯軍刷新陣容魏剛出任統帥瓦茲河區戰況仍猛烈德軍進攻銳度已減低
page 4	德覬覦聖昆丹聯軍已有準備
page 4	英國轟炸機隊深入德境投彈
page 4	麥克諾特主張擴大海陸空軍對日本應施行禁運
page 4	蘇聯有意維持東南歐現局勢南國對邱吉爾演說印象深刻義大利當局徘徊瞻顧 
page 4	傳德向瑞典提假道要求俾能接濟挪北德軍雙方談判在進行中
page 4	羅斯福闡明美經濟政策世界和平繫於自由主義孤立繁榮實為荒謬之論
page 4	美墨邊境發現間諜注視美軍事行動
page 4	是誠何心
page 4	訴諸常識
page 4	魏剛上陣
page 4	美國民眾熱烈贊美
page 4	英法向美購轟炸機約值五千萬元
page 4	日致德牒文迄未得答覆日發言人強自解嘲
page 4	吾人必須戰勝不願國族蒙羞邱吉爾首相首次廣播  
page 4	馬奇諾線
page 4	敵裝甲車
page 4	愚笨之舉
page 4	空軍方面
page 4	機械部隊
page 4	重轟炸機
page 4	欲求勝利
page 4	繫於此戰
page 4	永不屈服
page 4	抗戰到底
page 4	野蠻荼毒
page 4	英法空軍活躍德交通線被毀
page 4	法坦克車反攻克復重要據點
page 5	大批日軍結集西江我軍已嚴加戒備肇慶情形穩定市面治安良好江會戰況沉寂厓門兩岸鞏固 
page 5	國民教育師資粵著手訓練定期舉辦訓練班三個月第一期名額定為一萬人
page 5	黨部與社教加強聯繫教部訂定應注意事項
page 5	汕頭日軍收購土產當局決嚴密防範
page 5	偽銀行與偽法幣
page 5	三日圓集團華中除外論
page 5	四簡單經濟原理的喝破
page 5	渙附近省校已分地內遷
page 5	粵省幹訓團正式上課劉佐人代理團主任職
page 5	滬工部局糧食會有重要決定即將採取各種有效措置疏通來源取締囤積
page 5	扭獲米蠧將受懲處
page 5	黃主席致閉幕詞會議圓滿結束
page 5	桂行政保安會議討論教育問題樹立教育百年事業觀念體察各地情勢實事求是
page 5	高中學生加緊軍訓頒發軍訓工作大綱舉辦中正軍訓獎金
page 5	西康日記九三
page 5	一○六二道橋
page 6	本港義僑不願義大利參戰助紂為虐於義並無好處且反有被納粹控制之虞
page 6	孫夫人談赴渝觀感人民信念甚為堅定生產建設與日俱進
page 6	英學生來華服務團昨招待新聞記者該團行程將分兩路入內地組運輸隊為紅會運送藥品
page 6	中山青年會舉行會舉行會員大會
page 6	本港去年死亡多於出生出生四萬六千六百七十五人死亡四萬八千三百一十七人
page 6	顏福慶赴美
page 6	聯青社聚餐
page 6	朱友漁抵港
page 6	陸品芹返港
page 6	星期五公假
page 6	比總領事籌募救濟基金
page 6	曦皇台斬殺案關麗珍昨晨提堂先被控謀殺林蓮桂一罪沙副警司親自監視落案
page 6	港府再申令禁帶書信發信人帶信人同罰
page 6	來華旅費
page 6	不拘儀式
page 6	該團工作
page 6	香港不畏襲擊
page 7	東方足球南遊隊人選大致擬定明日將趁飛剪機遠征菲島體協會中止南遊另具原因
page 7	學界排球比賽修正秩序公布昨因雨阻原定比賽改期 
page 7	焯雲杯賽明日頒獎
page 7	美粵林匹克會議決在美舉辦世運會紐約及洛杉磯要求舉行預選各員須合奧林匹克原有水準
page 7	漢奸極事獻媚派員參加醜會
page 7	外匯牌價申匯略縮英美匯市況均穩靜
page 7	昨國幣價格先漲後稍降
page 7	八九金市依然堅穩 
page 7	昨日股票市況仍然極度疲弱市場供過於求價再傾跌
page 7	岷埠各界歡迎籃球選手凱旋
page 7	九龍高級學籃開代表抽簽編配程序
page 7	小球友誼賽震寰戰青年 
page 7	學界籃球星期六頒獎品
page 7	中華體協會改期開代表會
