page 2	歐戰中的美國動態
page 3	鄂北開始緊縮包圍棗陽西北進行聚殲前線士氣振奮民眾協助作戰
page 3	粵省府當局注意行政效率議決組行政效率促進會顧財廳長誥誡所屬守法 
page 3	南僑慰勞團行蹤
page 3	桂當局貸款興辦農田水利分期進行完成二十七處
page 3	南洋僑胞子弟返國入伍被阻昆明將及一月僑務局電當局請示
page 3	桂當局設立糧食管理處統一全省運銷儲
page 3	村婦深明大義勸夫從戒殺日報國粵李司令呈請嘉獎
page 3	政務視察團西北西南兩組因事暫緩出發
page 3	汪偽組織無能尚靦顏掩飾溫逆宗堯在滬偽報著文向日人撒嬌向國人欺朦
page 3	暑期各院校招考仍由教部辦理報名手續日期地點已定
page 3	緩西秩序完全恢復商民均返籍春耕照常田趙等漢奸已被正法
page 3	對荷印問題日本自討沒趣德方認有田為神經過敏日本對荷印野心仍不死
page 3	美貨運淪陷區受日人留難美商要求美政府採適當步驟
page 3	林語堂抵渝
page 3	陝西下月起實施新縣制
page 3	南僑與中茶公司合設橡膠廠總廠在渝另設滇筑分廠國產茶葉將向南洋推銷 
page 3	歐戰通訊之十一荷比被侵與巴黎反應上
page 3	鄱陽湖東岸激戰中晉南我軍全線猛攻
page 4	魏剛下令猛烈反攻企圖突破包圍法軍進至剛伯萊附近邱吉爾飛法有所會商
page 4	美議會加速增強太平洋防務將與英談判島嶼問題改良關島正在設法中
page 4	英機大隊出發轟炸德裝甲車隊受重創
page 4	巴爾幹風雲日緊羅國再召後備役入伍蘇聯注視義大利態度
page 4	英進行外交攻勢頗有意緩和蘇義
page 4	蘇石油停止運德德蘇關係漸疏遠
page 4	日代表對義阿諛備至兩方互相唱和
page 4	聯軍對德加緊經濟戰嚴密封鎖德佔領區電油糧食皆感缺乏
page 4	英法所購美機飛渡大西洋派輪赴歐載僑民返國德認美終難免參戰
page 4	英情報部長向帝國廣播演辭現時局勢雖極嚴重各人應具堅強信心
page 4	日軍人主張設經濟企劃院
page 4	到那裏去哭
page 4	鄂北戰事激烈
page 4	英議院通過擴大緊急授權案政府隨時徵收物產使用勞役藉以維持社會安全保衛疆土
page 4	土總統發表談話決維持近東現狀
page 4	英議員關切愛爾蘭安全認為有被德國侵入可能 
page 4	美兩院通過國防撥款案明年度國防計劃費將達到四十萬萬元
page 4	魏則將軍親臨前線鼓勵士氣積極反攻
page 5	北竄日軍紛紛潰退我各路掃蕩奏捷進犯良口日軍不難全部肅清街口雞籠岡牛牯嶺均已克復
page 5	昆明加強空防召開聯席會議撥款一萬五千振濟災戶計劃增設大量防空壕洞
page 5	浙推進國民教育限期掃除文盲第一年設立短期小學六千班廣設國民學校訓練失學民眾
page 5	加緊實施義務教育 
page 5	桂林疏散委會辦理結束未完工作由市府接辦
page 5	廣州灣防務日臻鞏固駐軍舉行野戰演習
page 5	認真辦理民眾補習
page 5	粵積極改善傷兵生活注重正當娛樂加緊宣慰工作
page 5	西江沿岸勢成對峙中山交通局部開放
page 5	南路各縣糧荒解決續擬鉅款辦米入口土米價格漸告穩定
page 5	不列顛博物院閱覽室蘇芹蓀寄自倫敦
page 6	本港保良局昨日選舉新董事羅棟勳霍寶材等十二人膺選顏成坤述去年局務概況
page 6	顏成坤報告局務 
page 6	華民司致詞訓勉
page 6	粵救護委會港分會舉行常委會議劉慶萱任副主任委員高卓雄捐國幣一千元
page 6	新董事共十二人
page 6	古瑞庭日前由星返港募得三萬餘元
page 6	粵財政廳整飭稅務風紀特令各局所暨所屬機關營私舞弊者決加重治罪
page 6	美艦來港係普通性質
page 6	梁謙武案傳已注銷
page 6	英國國慶運動必列地士盧子爵之宣言
page 6	瑞士小姐
page 6	名探之子
page 6	金絲蝴蝶
page 6	富勵士昨解釋婦孺登記用意普通預防措施不應驚異嗣後每三個月通告一次
page 6	挪威僑民紛赴領館登記有不少超過軍役年齡者挪領館未接到當局訓令
page 6	廣華書店開幕大廉價
page 6	我教部通令請授領袖言論能否奉行定為考核標準失學學生登記今日截止
page 6	領袖言論講授項目 
page 6	港失學生報名延期
page 6	粵教育廳頒訓導證
page 7	東方南遊足球隊今晨乘機飛岷徐亨統領一行兵馬十六人劉顯漢賈幼良先赴星歸隊
page 7	九龍學籃頒獎賽男女表演三場明日下午三時開始舉行門券收入撥送賑濟難民
page 7	聯賽管理委會今午召開會議
page 7	青年的健康問題
page 7	港圓價格昨日回漲英匯美匯市況靜寂 
page 7	八九金市昨市況穩靜
page 7	股票略轉穩定昨日成交八萬九千餘元
page 7	昨國幣市況漲風稍戢
page 7	香港小球聯會今晚開會選舉下屆職員
page 7	華人旅行團遊石梨背水塘
page 7	星島南遊隊六月下旬出發
page 7	圻港乒乓義演秩序正式排定
page 7	高級學界排球皇仁巧勝漢中
page 7	關於港籃裁判我的一些意見 
