page 2	六三禁煙紀念
page 3	鄂北日軍猶圖蠢動施放毒氣強渡襄河我軍沉著抵抗予以迎頭打擊
page 3	日圖犯大榭島我奮勇迎擊中
page 3	粵中仍激戰中北犯日軍後路被我控制竄擾派潭日軍亦被包圍
page 3	賀新涼弔張自忠將軍
page 3	僑慰第三分團慰勞空軍將士
page 3	中山縣長由林卓夫繼任南路實施新縣制
page 3	日軍續築邕欽鐵路
page 3	浙寧紹兩屬米荒頗嚴重滬甬同鄉會正設法救濟
page 3	于斌主教等向余漢謀獻旗已離韶赴湘鄂前線勞軍
page 3	滬法租界下月增捐
page 3	蘇聯報紙評論日本的矛盾對華戰事欲結束而無望又想在歐戰中混水摸魚
page 3	黔企業公司舉行週年紀念展覽各種出品
page 3	國內外團體紛電祝捷
page 3	培植戲劇人材國立戲劇學校改為專科本年七月成立招收新生
page 3	政務視察團由耒陽赴安仁茶陵
page 3	滬我政府機關維持標準時間既為我國領土不能隨便更改
page 3	桂參議會第三次大會定六日開幕
page 3	渝當局改善防空辦法集中管理救護工作
page 3	中美文化協會向美國呼籲日機炸渝文化機關暴行惟有實施禁運始能制止
page 3	暴風雨前的英國一劍橋五月十三日航信
page 3	全國定期舉行慰勞空軍將士慰勞總會徵求榮譽紀念物品
page 4	海峽大戰瀕於結束聯軍即將撤盡在海空嚴密掩護下開萊堡壘尚未放棄
page 4	英日正進行商務談判郭大使訪英外次表示我關懷此事
page 4	立國防部長將赴莫斯科此行係應蘇方邀請
page 4	愛總理廣播呼籲正視現實中立自救難期生效籌劃抵禦實為要圖
page 4	巴爾幹國家開經濟會議羅外長加芬料辭職傳內閣亦將有變動
page 4	義人民預料義國參戰期近聯軍已採取必要步驟法義談判亦中止進行
page 4	英軍官認為義不堪一擊
page 4	美國料德義採和平攻勢
page 4	駐比英使宣告失蹤
page 4	美陸軍參謀總長縱談國防問題畢特門謂納粹黨羽在南美洲極形活動
page 4	納粹當局禁捷貨運蘇蘇方定單亦被取消
page 4	美戰鬥艦下水排水量三萬五千噸尚有六艘在建築中
page 4	慰勞空軍
page 4	一致禦侮
page 4	美海軍機將飛菲島為數達十五架
page 4	西軍事代表團經義國赴德馬德里學生數百人向英使館舉行示威
page 4	德轟炸機屢越瑞士領空被擊落三架
page 4	北方回教回胞的抗戰情緒七
page 4	德軍攻勢稍衰英兵奮勇衝殺
page 4	德機不計犧牲轟炸鄧苟克港
page 4	德機空襲法國馬賽亦被投彈
page 5	泰京僑商創設樹膠工業製造廠規模宏大資本二十萬銖處用當地原料積極發展
page 5	樹膠生產
page 5	創設新廠
page 5	粵軍管區嚴防逃避兵役
page 5	中順散失官兵決盡量收容重新編配加強抗戰力量
page 5	粵謀增加生產提倡畜牧在連縣開闢牧場
page 5	中山各地糧荒嚴重江會戰事我佔優勢
page 5	海康遂溪兩縣消弭水患著手疏濬特侶塘
page 5	浙注意國民健康樹立保健制度本年內設省縣衛生隧卅三處製造應用藥品研究國產藥材
page 5	貴陽鱗爪
page 5	省振會救濟越華報員工
page 5	朱為珍在粵談視察役政觀感最近三年內大有進步日內將離韶轉赴桂省
page 5	西康日記九八
page 5	第四編康定及其附近西康風俗概述
page 5	膠鞋市場
page 6	學生振濟會第四屆代表年會通過本屆會章改選職員吳公虎等昨日到會指導
page 6	登記會員
page 6	如儀開會
page 6	議決要案
page 6	選舉結果
page 6	崇正救濟難民會昨舉行第三次會員大會增婦女常務委員十六人
page 6	工作方針
page 6	世界語學會昨舉行五周年紀念大會艱苦奮鬥努力開展世運四講習班昨日開始授課
page 6	募糭慰勞孤軍各界人士極表同情徵求中環代收地點
page 6	婦女節制會籌開初夏遊藝展覽會籌備以來極得各方面贊助定今日下午舉行聯席會議
page 6	港府加速完成預定防空計劃防空總監解釋追加預算原因防空處新署戰時可作救傷院
page 6	東華三院總理日前歡宴官紳李耀祥致詞謂病房不敷希望能築新院救彼災黎
page 6	稽核會費
page 6	街童的旅行
page 7	加山兩幕棒球戰中華輕取南華十八三雙方同意賽五局港啤強橫工程遭慘敗
page 7	溫布爾頓網球賽本屆暫停舉辦因歐戰影響未順利參加待戰事勝利後擴大舉行
page 7	東方遠征隊函請救兵敦促阿牛成行
page 7	中華體協會同人敘會本月中旬舉行
page 7	華人游泳會舉辦水藝會
page 7	九龍學界籃球
page 7	港印貿易概況過去兩年內顯見增進受歐戰影響前途堪虞
page 7	出口貨品
page 7	進口貨品
page 7	東方新泳池昨午揭幕徐繼莊剪彩繩
page 7	足球鐵門包家平掛起足球鞋南山豹隱在星不玩球
page 7	青支籃球義演星島贏培正戰況激烈上半時成平手福成兩記遠射奠定勝局
