page 2	日本想走那一條路
page 3	豫南我軍三路進攻武漢外圍醞釀大戰鄂北棗陽附近殘日繼續南潰竄入襄陽日軍已被我軍擊退
page 3	贛北奇軍深入殘日不難就殲
page 3	晉城外圍激戰同蒲交通中斷
page 3	越南東京僑胞電蔣委長祝捷迭克名城建空前之戰績痛殲頑日立勝利之始基
page 3	緬甸佛教徒贈我當局禮物彫金佛像及舍利金塔日內由太虛法師呈獻
page 3	雙七獻金運動贛抗日後援會發起慰勞前方抗戰將士
page 3	滬鋤奸案季逆天壽被擊斃
page 3	輪流受訓陳逆公博等已返寧丁逆默　又將赴日
page 3	抗戰文藝展覽文藝獎助金管委會已推定負責人進行 
page 3	日本新黨運動漸見具體化政友民政俱表贊助近衛亦有就黨魁意
page 3	教部主管人稱畢業總考制各校分別辦理使學生對專門科目有綜合系統的了解
page 3	西藏僧俗竭誠擁護中央吳忠信由拉薩抵昆明談蒙藏會將在藏設辦事處
page 3	滇開發礦藏設地質礦產調查所聘請專家研究勘測
page 3	上月滬市場波動華商損失甚鉅總數約在三萬萬元左右棉紗商號倒閉七八十家
page 3	滬美法當局斥日偽造謠所謂談判全係虛構
page 3	僑慰三分團赴綏西勞軍
page 3	羅斯福上校歡宴于領事
page 3	禁煙委員會首次常會閉幕通過要案四十七件
page 3	蔣委員長接見美學生代表
page 3	湯淺辭職與日本政潮
page 3	粵中乘勝南進我軍續克要地
page 4	美禁運已開始日本所受打擊最大
page 4	美國防計劃範圍及太平洋參院授權海軍部建機一萬架畢特門提議召開泛美洲會議
page 4	法向義示意要求重開談判塔布衣夫人預測義國條件義國態度將繫於此項談判 
page 4	英法將更調駐蘇聯大使法擬以賴邦繼任大使莫洛托夫表示不反對
page 4	蘇報評義大利目的在巴爾幹
page 4	松末沿線德軍發動猛烈攻勢
page 4	法機報復炸德工業區巴黎空襲死傷竟達千人德煤油倉中彈起火
page 4	遠東危機日亟菲審慎提防奎松將仍留菲坐鎮
page 4	德國代表抵保加利亞擬訂文化協定
page 4	英組鐵軍防衛英本部現正分區組織小部隊配有機械及重級武器
page 4	匈經濟代表團赴莫斯科推進蘇匈貿易
page 4	鄂北又一勝利 
page 4	美加緊擴軍
page 4	邱吉爾演說決抗戰到底海峽之戰損失雖大全國上下絕不自餒
page 4	英大使在美呼籲援助納粹野心並無止境美國必須速援英法
page 4	美總統競選民主黨可獲勝芝加哥及康州民主黨一致贊成羅斯福參加
page 4	美海長辭職已獲總統批准
page 5	中大戰地服務團在星洲募醫藥費僑胞熱烈贊助約得五十萬元捐輸最踴躍者多為勞苦大眾
page 5	四聯積極籌佈全國金融網第一期已設立分行一百餘處第二三兩期計劃明年底完成
page 5	華茶銷蘇在躍進中價格高漲形成求過於供亟待改良泡製增加生產
page 5	西康日記一○一
page 5	余副司令報告從花殲日經過我軍預佈戰局出奇制勝二次攻克良口斬獲甚眾
page 5	良口以南
page 5	有利地勢
page 5	韶關設站登記失業教師
page 5	我克復古井全區日偽狼狽潰退俘獲軍需槍械無算
page 6	本港政府組織運輸服務輔助團徵求汽車司機千五百名昨召汽車公司代表會議
page 6	港督在星發表談話香港防衛措置均有準備中日戰事尚無結束象徵
page 6	記者圖書館募款小結束共約二千餘元
page 6	糭子勞軍頗得各界贊助
page 6	本港廢鐵大部輸日出入口署統計數量驚人二月份以後數字未發表
page 6	英國人的生活和思想三英國的青年上
page 6	真光女中徵求傷兵之友成績共得國幣七千餘元
page 6	廿世紀書店二周年紀念大贈品
page 6	學生振濟會昨舉行執委會議選出常務委員二十三校
page 6	教師節改在孔聖誕日舉行
page 6	以挪荷為前車之鑑港府限令敵僑離境德奧籍民不分男女老幼指定不准赴澳門或廣州
page 6	香港政府公報譯判第一期現已出版
page 6	各界振聯會改星期六招待學界
page 6	華商籌振會積極籌備演劇籌款
page 6	官立醫院贈診新規定
page 6	白晝防空演習九日晨在中環舉行
page 6	臨時中學遷港記百折不撓的戰時教育
page 7	高級學界籃球戰九龍贏得太險四十八比四十七擊退拔萃頭台戲英華氣走復旦
page 7	昨夜公開籃球戰培英克精武卅三比廿八局勢緊張康元奮勇贏太古
page 7	體協會開執委會議
page 7	學排暫息兵戎十三繼續開賽
page 7	美青年游泳家夏萊梅脫稱雄四百接力創世界紀錄被譽為韋斯穆勒第二
page 7	美國名拳手湯美化被秘書控欠薪
page 7	外匯牌價俱無變動申匯市況略見好轉 
page 7	滬外匯市昨復趨穩定
page 7	國幣價格漲後微降但人心仍多趨好
page 7	八九金市先穩後靜
page 7	全港單車賽月底舉行
page 7	廣州灣朝思鼎籃球賽是是非非 
page 7	全星乒乓義賽功德圓滿收場售券所得約六千餘元
page 7	股票市況疲弱歐戰嚴重買賣形寥落
