page 2	日本新黨運動內幕
page 3	巴黎市區不再設防外圍仍將堅強抵抗英法強調否認單獨媾和謠言魏剛認局勢距嚴重之途尚遠
page 3	德軍主力部隊已抵達佛爾能 
page 3	蘇聯鞏固東北歐藩籬對瑞典將假予援助在立德邊境駐重兵
page 3	美眾議員多反對參戰惠勒在眾院演講
page 3	駐美蘇使訪赫爾國務卿
page 3	日南進野心益見表面化不斷製造奇怪消息預為將來侵略口實
page 3	邱吉爾由法返抵倫敦 
page 3	南非向義宣戰傳土國務會議有重要決定英空軍再炸義軍事根據地
page 3	義布署水雷截斷地中海
page 3	英泰成立不侵協定法泰協定亦成立
page 3	英國進行安定英美匯價擬與美國銀行合作設法廢除英鎊黑市 
page 3	東南歐各國對歐戰態度土耳其為全局焦點各國均願置身事外
page 3	德犬遭殃因食糧關係將全被格殺
page 3	天津問題解決英日將簽訂協定
page 3	歐戰通訊十二血戰中的法國一九四○年六月四日本報特約駐法通訊員孝隱寄自巴黎
page 3	德軍全力進攻志在速戰速決
page 4	漢宜路西端鏖戰中我空軍飛宜昌以東重創日軍浙東連日激戰我軍圍攻蕭山
page 4	邵大使會晤莫洛托夫後十一日呈遞國書 
page 4	日機瘋狂轟炸下行都情緒熱烈民眾甚鎮定救護工作進步空軍英勇建功尤令人感奮
page 4	川省檢查禁煙成績督審處下月成立定兩個月內畢事
page 4	僑慰一分團離洛續赴前線勞軍
page 4	前日共擊落日機七架
page 4	日人殘暴行為強同胞打啞針中學生葛明情述身歷情形
page 4	加強對日經濟戰全國各戰區分設經委會粵桂區設韶關日內成立顧翊群兼主任由渝抵桂
page 4	滬日偽散播謠言圖搖惑人心進出口貿易受歐戰影響若干紗布廠已準備停工
page 4	昆明地震
page 4	日本政潮暗流松野去留問題影響頗大米內仍力圖維持其命運 
page 4	日閥對越南野心暴露
page 4	巴黎之圍
page 4	蘇對日暴行表示憤慨
page 4	平津魔影一
page 4	湘鄂贛我出擊進迫岳陽南昌陽新等地
page 4	晉城在圍攻中衝過日防線猛攻東南關
page 5	我控制增城外圍日軍北犯受創積極換防補充韓村社舖各地被劫一空
page 5	教部通令各省扶助回民小學務須化除畛域切實補助
page 5	粵省黨部發動工作競賽運動以黨部小組黨員為單位規定競賽種類獎勵辦法
page 5	競賽種類
page 5	桂南前線軍民合作
page 5	獎勵辦法
page 5	菲島洪門分會號召僑胞團結集中一切力量貢獻國家粉碎日偽挑撥離間陰謀
page 5	福建大學近況法學院合併於廈門大學醫農學院仍免膳宿各費
page 5	江會日軍增援
page 5	三埠情形安謐
page 5	中山日軍防務空虛我軍準備反攻
page 5	加強南路軍政奧桂劃設邊區將由蔡廷鍇擔任防守各部隊亦將重新編配
page 5	賓陽駐軍協助耕耘武鳴鄉民募款慰勞
page 5	粵各界慰勞團已抵達前線分發慰勞金舉行聯歡會參議會電余司令官祝捷
page 5	粵北二次血戰如末
page 6	萬方多難中本港慶祝英王壽辰昨晨檢閱駐軍莊嚴隆重招待各領事授勳禮改期
page 6	代督史美電英致賀 
page 6	昨晨舉行閱兵儀式
page 6	閱兵典禮簡單隆重
page 6	昨午招待各國領事
page 6	僑港立案中學畢業考試分區舉行參加學校共五十間監試委員均已聘定
page 6	廠商聯合會等將合辦義賣救濟中英傷難推出小組委員會同籌備徵求傷兵之友成績尚佳 
page 6	港澳振濟會等聯振中山難民三個月需國幣十六萬元電請中央及粵省府撥助 
page 6	郵政司公布由美轉寄空郵辦法帝航歐亞班將闢新航線
page 6	婦女節制分會展賣會明日舉行各項遊藝節目極為豐富昨日各委員作最後商討
page 6	由美轉英
page 6	另闢新線
page 6	工程師學會參觀建生磚廠
page 6	敵產管理官宣布對敵產措施與敵人有關之財業須舉報
page 6	從越歸來
page 6	參加儀式之各部隊
page 7	南華會不願搬家向港當局陳情並請四華人代表協力幫忙
page 7	陳倉暗渡
page 7	聞名球國
page 7	客隊陣線
page 7	東方軍聯之戰下 
page 7	高氏宴客
page 7	緊要新聞
page 7	美國拳壇
page 7	我國棉紗外銷暢旺較之去年同期激增三倍
page 7	國幣回淡外匯八九金市昨均停市一天
page 7	滬生活費指數五月份又增高匯價回長物價未見回跌
page 7	小球義演昨日正式開鑼伶星踴躍參觀
page 7	英網球總會舉辦萬國網球比賽賽期凡兩天將於本月杪舉行英著名男女選手均樂予參加
page 7	學界排球
page 7	俱臻妙境
page 7	換防再戰
page 7	春秋之筆
page 7	採取攻勢
page 7	東方在星第二戰打和星聯二比二張金海陳來泉建殊勳全程緊湊刺激多
