page 2	巴黎退出後之歐戰
page 3	德軍昨晨侵入巴黎英國保證全力援法萊諾致書羅斯福呼籲援助羅馬傳法義邊境開始接觸
page 3	法國政府行都改遷往波爾多
page 3	日無風作浪東京以漁船被搜為名向荷印政府提出抗議
page 3	紅海西南岸義軍開始進攻阿比西尼亞土著紛紛起義英巡邏隊突擊里比亞義境
page 3	蘇聯陸次視察波羅的海
page 3	西國別具用心向英施用壓力收還直布羅陀
page 3	美兩院授權總統禁軍需品出口但得將剩餘物品售予聯軍美應萊諾呼籲將速予援助
page 3	土決仍守中立英法德義代表不斷與土商洽 
page 3	日對西代表盡拉攏能事成立日西協會 
page 3	旅英義僑乘輪赴葡京法蘭西銀行亦他徙
page 3	歐戰通訊十二血戰中的法國續
page 3	法軍孤苦奮鬥損失相當重大
page 4	宜昌市郊血戰未已荊門當陽東南我軍加緊包圍遠安克復深入日軍益陷困境 
page 4	桂省新建設黔桂鐵路柳懷段已敷軌各種實業正積極推進中
page 4	日機迭襲重慶損及美僑財產美向日提抗議赫爾對日機濫炸平民暴行亦公開發表宣言予以斥責
page 4	滬日憲兵無賴竟強奪商米店主休業反被拘押
page 4	發現金礦建廳准礦商開採
page 4	行都人心鎮定機關照常辦公
page 4	整頓銓政銓敘部令各機關應限制僱員地位
page 4	大義滅親易抱真憤其父失節聲明脫離父女關係
page 4	奧參議會七屆大會閉幕
page 4	軍風紀巡察團由耒陽赴贛北
page 4	桂林各界日內勞軍
page 4	慈幼治療院蓉法醫師募款建造大體完成下月開幕
page 4	美遠東政策費爾德須對日本強硬田伯烈英應平行行動
page 4	滬農民喜雨
page 4	傀儡學舌
page 4	遠安克復
page 4	滬法總領事否論驅逐義僑義王名路牌忽不翼而飛
page 4	僑慰一分團由豫南抵鄂北
page 4	蓉市記者協會電慰友邦同業
page 4	平津魔影二
page 4	粵中我克從化桂南日軍繼續竄擾
page 4	湘北進迫岳陽蕭山城內烈燄衝霄
page 5	清寒優秀學生中正獎學金發表規定新生與在校生各二百名教育部覆核完竣已通飭施行
page 5	新生二百名
page 5	在校生二百名
page 5	韶關市內發現霍亂現正加緊撲滅中
page 5	羅翼群陸幼剛返抵南路召訓各界勸勉潔身自好嚴防漢奸活動杜絕走私
page 5	韶州關成立後稅收狀況數日間已逾四萬元大部份屬進口貨稅
page 5	九月一日起試行新縣制
page 5	桂夏令防疫實施普遍注射改善環境衛生疾病減少現狀甚佳
page 5	英國戰時的行政機構三五月十五日牛津航訊
page 5	中山縣長林卓夫請辭職
page 5	龍泉睦洲我再度收復江會危急日軍調兵增援石岐市內日商紛紛停業
page 5	國立西北工學院積極擴充中實習工廠將與建廳合作並擬增設機械電機專科
page 6	國民大會即將舉行香港昆明設通訊處港方由周雍能郭泉負責現正籌商辦法即可成立
page 6	婦女節制分會遊藝展賣會今日開幕歡迎各界共襄義舉地點在九龍青年會
page 6	展賣部
page 6	遊藝部
page 6	刺繡展覽會繡品精緻今日開幕
page 6	大學生學業競試七月底舉行覆試考期科目均經規定由各區招生會兼理
page 6	廠商界將舉行義賣救濟浙東米荒推出主任委員負責進行二批平糶白米昨日運出
page 6	中國國貨宣傳社在港成立出版國貨指南國內外名人均題詞贊助
page 6	文協漫協明晚舉行晚會
page 6	華人游泳會今晚舉行遊藝會籌款救濟中英傷兵難民記者百公尺泳多人參加
page 6	李耀祥解釋東院增租減租係與住客磋商並非迫遷住客不滿可交當局估價
page 6	海軍船塢警衛處賀爾斯威爾任長官
page 6	戰時儲糧二期計劃決定
page 6	清邑青年籌組清邑青年會
page 6	中等學校教師暑期講習會我教育部決在本港舉辦委派許地山等主持一切
page 6	陳慶雲奉派出國籌設航會海外支會僑委會函僑團協助
page 6	利威首飾行劫案職員供被劫情形該嫌疑犯當時共發五槍案情未畢押候今日續審
page 6	食品部
page 6	蔣夫人言論集中宣部未派人在港兜售
page 7	今天棒球精采戲中華大戰港啤下午二時半在加山場  
page 7	五路前鋒
page 7	今晚公開籃球星島迎戰中青
page 7	戰事概評
page 7	小球義演
page 7	美菲荷匯牌價稍縮申匯市況略再趨淡
page 7	股票轉趨下游人心益淡股價不支
page 7	國幣堅穩
page 7	八九金市昨轉趨鬆弛
page 7	九龍學籃拔萃鑰智贏仗
page 7	零碎新聞排球籃球乒乓
page 7	東方在星慈善賽四比一勝馬華聯
page 7	單騎直入
page 7	奔出救駕
page 7	檸檬啖後
page 7	東方最後一戰遭全星毒手一比二澄滔一球判無效來泉祺祥相撞受傷離場
