page 2	歐局感想
page 3	我軍奮勇攻入宜昌扼守要衝圍殲殘日襄東我軍向鍾祥以北挺進
page 3	粵省慰勞團抵從化前線民眾紛紛回鄉秩序漸復
page 3	撤退重慶外僑日本無理要求各國均置不理美駐日大使格魯致牒有田表示美國不能贊同之態度
page 3	于斌由桂飛渝王曉簌抵桂視察
page 3	孀婦捐屋興學桂省府特授予獎狀
page 3	滇興辦水利八縣成立水利合作社
page 3	中央黨部紀念週蔣委長訓詞歐戰演進於我有利嘉勉空軍以少勝多
page 3	滬投機家虧折極鉅損失千萬以上者竟有五六人之多
page 3	汪偽組織內鬨白熱化周陳兩派暗鬥極烈傀儡內部又醞釀變化
page 3	饒神父返法滬難民問題亟待解決
page 3	清寒僑生回國升學考期地點已定
page 3	在華朝鮮人將組軍隊抗日戰工隊在陝西演劇勞軍
page 3	陳嘉庚等赴豫北前線勞軍
page 3	國大代表證書遺失補領辦法
page 3	我政界人士論法求和日本將感到失望對越南無從藉口
page 3	昆明又地震 
page 3	貴州銀行黔省府議決籌設
page 3	桂省參議會通過重要議案嚴禁鄉鎮村街長貪污限期設立縣合作金庫
page 3	行政院例會通過組織戰時公債勸募委員會設立中正大學及褒揚方旭 
page 3	留波士頓學生通電討汪
page 3	陝黨政各界歡迎陳立夫等政務巡視團視察已畢事
page 3	蓉市紳耆再函美總統籲請切實對日禁運 
page 3	七七三週年統一紀念辦法中央已明令國內外遵照舉行
page 3	皖南我克貴池綏東攻百靈廟
page 4	德義巨頭會於明興對法將提苛刻條件法表示決不接受可羞的和平
page 4	英法兩國艦隊或有聯合可能
page 4	英曾向法建議組織英法聯邦
page 4	蘇軍源源開進愛拉立國境蘇艦停泊泰倫尼港
page 4	歐局瞬息萬變美監視日行動艦隊繼續駐守夏威夷美以更大努力完成國防計劃軍艦噸數將增加百分之二二
page 4	英國報紙主張忍痛作戰到底德國在法業經使用最大力量今後一切端賴英國堅定意志
page 4	南美發現納粹陰謀冀由阿根廷進奪烏露圭 
page 4	英嚴厲改組經濟陣容工業巨頭被排斥
page 4	我軍攻入宜昌
page 4	羅馬尼亞之焦慮
page 4	英法義駐蘇大使同日抵蘇京
page 4	法向德求和後加澳重申決心戰爭決不因此告結束而為最悲痛階段之始
page 4	羅極感焦慮恐蘇提出收復領土要求
page 4	邱吉爾演說堅決繼續作戰法國行動對英無影響
page 4	法外長明確聲言將拒絕屈辱條件
page 5	粵北我軍繼續南進神岡方面激戰中日軍反撲和睦已被痛擊潰退我圍攻獅嶺收穫戰果 
page 5	桂甘棠民眾捐款勞軍軍民合作站工作努力 
page 5	各地分站組服務隊
page 5	上林軍民舉行聯歡
page 5	南非華僑愛國情殷響應傷兵之友募款六百餘鎊
page 5	桂臨時參議會通過重要議案嚴懲貪官污吏包運私貨教員公務員免收緩役金
page 5	西康日記一○四
page 5	第七次會
page 5	粵慰勞團出發戰區分路慰勞散振
page 5	四行撥款千萬在粵舉辦農貸第一期劃樂昌等七縣為貸區其他各縣則與省行通力合作
page 5	粵籍戰區學生領受貸金辦法省府擬定章程通過施行
page 5	第六次會
page 5	桂地方行政幹訓團定八月間正式成立
page 5	龍泉睦洲三度被侵擾白蕉北卡等地連日戰事亦烈袁帶已赴中山就職
page 6	駐港法總領事談希望仍繼續抗戰即使德佔全法亦不屈服法國海軍勢力並未消失
page 6	否認軍火經越運華
page 6	推銷蔣夫人言論集曹震有偽冒嫌疑蔣夫人吳部長均予否認婦慰會乃報案將之拘留
page 6	三文化協會現代畫展明日截止收件
page 6	挪輪昨擬赴越港府拒發出口紙須請示英政府始能決定傳與法軍向德求和有關
page 6	郎靜山來港攝影界今日歡迎  
page 6	新醫藥學院贈醫施藥救濟貧病
page 6	大學聯誼會昨開首次籌備會
page 6	青山的特產磚
page 6	南華戲劇院學員將出洋奏技 
page 6	潘光迴飛港
page 6	試放警報機
page 6	聖約翰同學
page 6	旅港美僑 
page 6	筲箕灣小學
page 6	市政衛生局
page 6	華僑學院
page 6	美學生代表
page 6	糖商總會 
page 6	各界振聯會
page 6	僑校畢業會考停止舉行有礙本港行政權且抵觸教育細則
page 6	香港戰稅與會計問題下
page 7	今晚公開籃球賽廣大迎戰華僑乙組晨鐘對青職繼之上演聯會定每週增加比賽兩場
page 7	健美寶鑑
page 7	澳女跑美鐵餅同創世界紀錄 
page 7	東方傳來捷報三比零勝星空軍全隊離星轉戰怡保仰光七月中再返星洲作義賽 
page 7	汪記班選手死人
page 7	港圓價格昨略低跌申匯市況續趨好轉
page 7	八九金市昨漲風復熾
page 7	股票跌風復熾歐局惡化人心頹喪
page 7	西貢紙跌價
page 7	國幣市況昨略轉堅挺
page 7	中青水藝會廿三舉行
page 7	華人游泳會象棋表演定廿二起開始
page 7	星島南遊足球隊將於下月初成行
page 7	爬山運動談
