page 2	粉碎日本的最後幻想
page 3	空軍出動襄西助戰宜昌殘日受創甚重大洪山我軍續獲重大戰果鄂南崇陽近郊我猛烈進攻 
page 3	日艦隊一部已開往海防檢查人員今日赴越日向英提同樣無理要求
page 3	滇越鐵路貨車已停駛客車有照開
page 3	美盡力維護在遠東權益
page 3	中央撥款補助粵國民教育全省劃六經濟區以促進建設
page 3	汪記特務機關凱覦滬法租界偽軍已在土山灣區佈崗滬西特警署即可成立
page 3	政務巡視團一組在粵視察一組由陝赴甘
page 3	滬華美晚報又被勒令停刊
page 3	新青學生由築赴渝受訓
page 3	教部盡力維持學術文化機關希望社會各界予以贊助
page 3	江南喜雨滬米價略回落
page 3	縣政計委會週年紀念孔副院長以三進相勉
page 3	日機續襲渝被擊落兩架美大使館參贊柏美德談英法使館被炸係出有意
page 3	大量日軍集中瓊島廣州
page 3	滬暗殺案陳國犧被擊重傷
page 3	野村將赴菲轉道視察各代管島
page 3	浙淪陷區經濟在我控制中黃主席紹竑抵桂林談稱統制民食實行計口授糧
page 3	荷印前途的展望  
page 3	安義被我包圍武寧城郊激戰
page 4	義法停戰協定簽字德方下令停戰歐陸戰事告一段落
page 4	法國民委員會高爾將軍表示萊諾亦將參加
page 4	波爾多的高調謂要自主外交不受德義支配
page 4	波總理廣播誓與英國比肩作戰在法波軍撤抵英倫
page 4	邱吉爾在眾院論法單獨媾和繼續作戰英早具決心德機襲英範圍極廣闊
page 4	近衛新黨運動米內冷眼旁觀政友會兩派已準備解散右派團體公開主張政變
page 4	美建艦計劃順利進行中海長愛迪生作臨別談話 
page 4	希特勒發表告人民書誇耀對法戰績
page 4	美共和黨全國大會開幕候選人問題意見未一致塔虎脫威爾基呼聲最高
page 4	泛美會議下月舉行對美洲前途所關甚重要
page 4	有人向美建議取得法艦隊以為償還戰債之一部
page 4	美魚雷快艇停止售予英國因與法律違背
page 4	貝當學不像
page 4	蘇南恢復邦交
page 4	歐陸停戰以後
page 4	義轟炸機襲馬爾泰
page 4	蘇南同意恢復外交關係雙方並已派定使節
page 4	美國對日軍火貿易三年來的清算上
page 5	我軍源源增援日軍攻勢已頓挫犯沙頭角日軍被殲四百餘名淡水坪山仍在我手中
page 5	廣九中段戰事穩定
page 5	日機濫炸東江各地
page 5	馬來亞政府加緊外匯統制匯款至非金鎊集團國家必須獲得政府當局核准
page 5	田禾被割餵飼軍馬
page 5	李漢魂報告粵政中心工作加緊消弭糧荒救濟義民切實根絕煙賭肅清漢奸
page 5	荷印孟加錫華僑日報被令停刊八日
page 5	以工代振
page 5	桂新聞界慰問重慶同業
page 5	各省旅桂兒教團積極改善中注意健康增進生產技能經營農場本年已有收穫
page 5	第二七區專員變更經過各區政續尚平穩
page 5	禁售禁吸
page 5	先天病源
page 5	西康日記一一○
page 5	日艦窺伺澳頭霞涌
page 6	本港當局否認日曾向本港提抗議謂殊難找出抗議之理由中英邊境昨仍安謐如常
page 6	撲逆迷離之同盟社消息
page 6	沙魚涌小輪仍照常來往 
page 6	港寶安小輪昨中途折回
page 6	立法局會議
page 6	七七賣花
page 6	藝術欣賞會
page 6	越滇貨運 
page 6	紅會音樂會
page 6	本港法僑
page 6	　海峽
page 6	西報募戰費
page 6	移民委員會
page 6	省救委會港分會振款藥物統解總會支配下月遷婦女兵災會辦公
page 6	現代服務社運到大批新書 
page 6	關聆判後神色自若
page 6	救命呼聲出自林氏
page 6	麥司指導判案意見
page 6	晏大律師力為致辯
page 6	致辯三次其詞均異
page 6	自承砍妾七十一刀
page 6	羲皇台慘殺案關麗珍被判處死刑晏大律師力為辯護無效趙作聆判當即愴然退去
page 6	新生公司前程萬里開拍多日成績極佳
page 6	白蛇傳歌伶歌姬義演
page 6	婦女運輸輔助隊陸軍當局徵求隊員本港陸軍當局為適應環
page 6	寶安商會昨日招待新聞界陳炳松報告淪陷前後情形陳鑑坡分函各界呼籲救濟 
page 7	體協會昨晚改選下屆職員產生莫慶蟬聯會長胡阿好副之六團體退出議決去函挽留
page 7	今晚籃球好看培英巧逢鐘聲另一幕甲組中青對華僑
page 7	港星和和杯賽舉行遙遙無期
page 7	英國名拳師湯美化控案被判敗訴
page 7	中華游泳場定期開水藝會
page 7	外匯牌價俱無變更英匯沉寂美匯趨淡
page 7	八九金市沉寂金條成交亦少
page 7	股票跌風仍盛匯豐銀行續低七十五元人心沮喪市況益形不振
page 7	國幣略跌
page 7	中國網球家許承基在爪賽球助振
page 7	談談體操
