page 2	論我們的民族適應力與環境條件
page 3	神勇空軍再度出動轟炸宜昌附近殘日鄂東我軍向平漢路花園進襲岳陽外圍桃林等處戰事猛烈
page 3	川訓練團畢業蔣委長訓詞應處處以作戰精神從事地方自治建設
page 3	渝第三國領館已全被炸毀我朝野精神愈堅定
page 3	楊虎特派員電賀史諾兩氏唯望早仗正義之劍實際遏止侵略狂燄
page 3	穆逆時英被槍殺案汪偽組織借題發揮向公共租界提無理要求
page 3	日本報紙盡恫嚇能事對日主要求英尚未答覆英法遠東政策一致不變
page 3	滇越快車業已恢復
page 3	英大使在滬向英僑廣播勸告深自抑制為國盡力
page 3	兄弟服役佳話
page 3	政務巡視團陳立夫等抵蘭州
page 3	宋子文抵達華盛頓將晤美當局
page 3	鄂中的鐵雨
page 3	贛北各路激戰皖南我軍出擊
page 4	蘇羅間任何妥協德義均願接納匈保要求或將擱置
page 4	羅國下令動員應付匈保壓迫
page 4	英義空戰中巴爾波殞命義部隊下半旗誌哀
page 4	羅斯福總統將晤威爾基交換外交問題意見麥克那萊任副總統候選人
page 4	日社大黨定期宣布解散
page 4	日南進野心遠及南美洲
page 4	法國民委員會英已正式承認但未斷絕對貝當關係近東法軍司令正式下令停戰
page 4	葡建國紀念我派顧大使致賀
page 4	有田之長篇夢話自稱為東亞安定勢力警告列強勿侵入範圍
page 4	美艦隊行蹤羅斯福拒絕披露
page 4	日強迫荷印供日資源包括煤油鐵鎳等
page 4	蘇芬簽訂最惠國條約規定第一年貿易額
page 4	有田之口語
page 4	勿自相驚擾
page 4	如此降傘隊
page 4	萊諾覆車受傷惟不甚嚴重
page 4	聚利亞宣布停戰土增強邊境軍力
page 4	旅滬德僑一部被召集服務
page 4	論經濟設計院
page 4	蘇軍開入羅境並未遭遇抵抗
page 5	沙頭角續遭受侵擾邊境日軍增至六七千人東江我軍進薄沙灣
page 5	龍崗各地災情慘重
page 5	沙魚涌輪昨日復航
page 5	廣州灣貨運入停頓狀態各貨堆積如山商民損失重大日機一度侵入赤坎上空
page 5	南路局勢緊張各地空襲頻仍遂溪廉江梅菉均遭轟炸欽縣日軍趕築鐵路機場
page 5	第　集團軍招待南僑慰勞團王俊報告粵戰三年經過明恥教戰我軍越打越強
page 5	桂教育研究所委員五人業經政府聘定本年度預算十八萬餘元
page 5	我軍反攻兩路推進
page 6	憲報號外公布強迫疏散英國婦孺先送往馬尼拉或轉澳洲第一批將於明日晨前往
page 6	任何警官有權令飭離港 
page 6	軍人眷屬將第一批疏散
page 6	七月五日全部離港赴菲
page 6	澳洲政府表示願意合作疏散計劃將分三步實施
page 6	港府昨發表儲米新辦法超過指定額應納雙倍稅儲米償金每擔一角八分
page 6	假期取銷銀行明日照常辦公
page 6	本港各界今日追悼孫寒冰下午二時在港大鄧志昂學院舉行杜月笙錢新之等為主席團
page 6	深圳日軍增加鯊魚涌日軍已撤退
page 6	日領作如是稱日軍不犯香港亦未勸告日本僑民離港
page 6	遠東風雲險惡中各地交通情況開廣州灣輪　可恢復港鯊貨輪定兩日內復航　
page 6	大夏大學秋季在港招生
page 6	四華人代表發表談話港府商討疏散華人辦法有功華人家屬先行考慮
page 6	日降傘隊有二人降落深圳
page 6	粉嶺兒童保育院昨舉行開幕典禮麥基利哥爵士主持剪綵來賓數百人極一時之盛
page 6	美總領事等候港府通知
page 7	今晨兩幕棒球戰中華再逢香港工程隊對岷甸奴先打頭場十四比一港啤勝南華
page 7	南華慘敗
page 7	東方隊在怡保勝霹靂聯詳記
page 7	為一比一告終上場
page 7	再戰聲中
page 7	港圓外匯牌價回縮美匯趨緊申匯穩定
page 7	國幣漲價暗盆到達二六五
page 7	八九金市昨日略見好轉
page 7	過去五個月內糧食進口統計雞鴨麵粉生豬俱告銳減米石及洋糖則略有增加
page 7	股票跌風稍戢好友乘機企圖大量吸進惟因給價尚低成交不多
page 7	九龍高級學籃南華奏捷打退美爾頓
page 7	星島足球南遊下月十八出發昨已獲馬來亞足球總會批准港總會將予通過
page 7	東方泳場今晚歌樂大會
page 7	車水馬龍 
page 7	昨宵公開籃球賽星島克鐘聲五十比三十七局勢緊張乙組廣大輕易打走銀紅
