page 2	英國接收法艦事件
page 3	龍州附近戰事猛烈日軍企圖偷渡左江廣州日軍萬餘開往粵南增援鄂北繼續掃蕩圍攻洋梓鍾祥
page 3	魯東繼續痛殲中皖南日軍中地雷 
page 3	本港獻劍代表晉謁滇龍主席
page 3	渝市文化機關又遭日機濫炸中大重大等校損失均重
page 3	美使詹森中止北上避暑
page 3	華北蘇使領館全部停閉 
page 3	皖教廳長方治出巡視察各臨時中學
page 3	僑慰二分團宣告結束陳分團長表示此行印象極佳
page 3	滬日本憲兵搜查法租界徐懋棠徐永祚同時被捕日方派警員長駐法捕房
page 3	津法日雙方仍賡續談判將成立廣泛性質之協定
page 3	粵省各界七七獻金情緒極為熱烈
page 3	我存滬卷宗被移交日偽
page 3	口汪談判一時難有結果
page 3	日本國內股票慘跌
page 3	福建省當局歡迎僑胞投資特選聘各屬僑務顧問以便利僑胞接洽諮詢
page 3	政務巡視團西北組赴寧夏
page 3	浙輕重工業均建立基礎伍廷颺氏過桂赴渝談話
page 3	湘省民眾踴躍服役
page 3	遺產稅之實施
page 3	洞庭湖日艦出擾不逞我乘勢猛攻岳陽外圍
page 3	晉西北我軍克復河曲黃河沿岸均被我控制
page 4	英覆牒已發出日方預料不能滿足緬甸當局態度強硬 
page 4	英國收管法艦美國表示同情美東岸安全感從此可釋懷艦隊更無調往大西洋必要英法當局尊重越南法艦隊
page 4	英貴院報告必須待英國戰勝後法國始能獲得自由
page 4	義國的解嘲謂對法艦緩不濟急發出廣播對英挑戰
page 4	法政府態度向英提出嚴重抗議貝當考慮與英絕交
page 4	法艦隊之一部
page 4	邱吉爾演說英國奪獲法艦大部地中海控制權益穩
page 4	蘇彜士運河埃報傳法德義訂有秘密協定
page 4	羅親德派組成新內閣新閣宣言申明政策閣員名單正式發表 
page 4	美專員賽雅論野村赴菲此行大可不必
page 4	美國慶祝獨立紀念議會休會三天
page 4	甘雅前線義軍進攻不逞亞力山大港被襲義機被擊落九架
page 4	愛總理發聲明中立政策不變
page 4	法新憲法將提出討論
page 4	荷親王檢閱荷軍艦重申作戰決心
page 4	德義貨運大為增加煤與糧食互易
page 4	還要嘴硬
page 4	預料之外
page 4	英眾院秘密會議歷六小時有半
page 4	有田訴苦再向畑俊六陪罪
page 4	英機大舉晝夜襲歐陸德荷比法皆遭轟炸歐戰將步入新階段
page 5	邊境形勢略見和緩日偽軍一部撤退我決乘機反攻加緊肅清殘餘梧桐山沙灣一帶已滿佈我軍
page 5	江會各線均有接觸日犯玉洲大肆搶殺
page 5	南洋惠僑向李漢魂獻旗
page 5	泰國僑胞匯款改由輪船寄遞銀信局公所議決二日起實行第一批已定十一日寄出
page 5	發明簡單油印機
page 5	預防夏令流行病
page 5	西康日記一一六
page 5	桂省肅清文盲推廣文化運動在各縣鄉鎮設立民眾圖書館編印通俗圖書介紹基本知識
page 5	桂林籌備七七紀念遊藝部節目排定
page 5	南僑總會發售七七建國章全數二十萬枚
page 5	重慶被炸難胞積極扶助救濟突襲服務聯合辦事處撥巨款辦理小本借貸
page 6	二批英婦孺昨撤退艙位少旅客多擁護不堪當局催促留港婦孺登記
page 6	一部美僑今日離港
page 6	葡僑亦將覓地疏散
page 6	西報向港府提出問題均係有關疏散之事項輔政司表示不能作答
page 6	國立各院校統一招生照常舉行外傳停止在港舉行說關係方面未接得通知 
page 6	東區遊樂場今日起陳列大怪魚
page 6	華僑來往百數十人過港返國
page 6	留英公費生暫留國內實習八月四五兩日舉行考試因歐戰影響辦法略更改
page 6	七七僑團分別紀念實行素食一天
page 6	財部頒給愛國紀念章鼓勵僑團募債勸捐
page 6	中山海外同鄉會再撥款返邑振難委員黃日明等今日往澳處理振濟澳門難民事宜
page 6	拒收金鎊
page 6	農村福利會 
page 6	深圳日軍
page 6	分配九區振款數目
page 6	三委員定今晨往澳 
page 6	柯立芝總統輪歸僑捐款振難陳劭南發起均踴躍輸將共得國幣一萬二千餘元
page 6	嶺南大學未得教部訓示目前照常辦理
page 6	林主席獎學金招考留美生暫定考選鍊鋼科一名港報名處在東亞銀行大樓
page 6	義演大會祗有今晚一場  
page 6	梅蘭芳將赴菲律賓馮耿光同行
page 7	今日棒球聯賽香港重戰美兵狹路相逢預料有劇爭
page 7	高級學界排球竟有兩個冠軍
page 7	昨夜乙組賽長虹虹慘敗
page 7	泛美奧林匹克會改九月舉行代替一九四零年世運會大會地點大致在洛杉磯
page 7	中華今晚水藝會
page 7	南華泳場開七七抗建會
page 7	夏令籃球賽初級名單昨夜正式公佈
page 7	抗建紀念日中青泳場收入撥充善款
page 7	高級學籃
page 7	乒乓義演
page 7	外匯牌價一致不動美匯穩靜英匯呆滯
page 7	八九金市依然疲弱
page 7	股票微露生氣香港形勢穩定人心轉安好友乘機吸進買賣增加
page 7	人心趨好國幣堅穩
page 7	記者游泳團明日開始訓練
page 7	住聯籃球隊今日戰記者
page 7	中青會游泳團舉行成績測驗
page 7	論營養問題
page 7	今晚籃球好戲培英逢星島另一幕中青甲戰鐘聲乙組勵行對紅鷹
