page 2	英對日答覆以後
page 3	黃陂城郊繼續血戰日軍增援又受重創武漢空氣紊亂日偽異常恐慌宜昌渡河日軍大部被我圍殲
page 3	滬日憲兵被拘事日借題大做除向美抗議並危言恫嚇滬日報更乘機鼓動反美 
page 3	日本艦隊繼續南駛
page 3	英輪由津抵滬被日艦搜查英海軍當局正調查真相
page 3	林蔚在桂演講日本的窘態人力損傷甚重兵源枯竭飛機濫炸重慶徒自消耗
page 3	渝英使公館被日機炸毀
page 3	包頭日憲兵捕殺無辜
page 3	戰區經委會開首次會議商討中心工作問題顧翊群談粵省財政現況
page 3	阿部與汪兆銘亡華條款談判現正對細目逐項討論中
page 3	北伐誓師日各地開會紀念
page 3	模里斯僑胞電林蔣致敬
page 3	古巴僑胞捐款勞軍蔣委長特予嘉獎
page 3	蔣廷黻在桂談三省視察情形日內轉赴桂西一帶視察
page 3	銓敘部建立澄清吏治基礎以後公務員任免獎懲一律依現行法律辦理 
page 3	行政院例會呈請國府褒揚雷嗚遠任命農林部各司司長
page 3	滬日方人員繼續捕人
page 3	堅定意志健全人格
page 3	蔣委長告青年書
page 3	三民主義主國之基
page 3	晉西隔河砲戰
page 3	豫南出擊獲勝
page 4	美國政策不變赫爾解釋羅斯福宣言日閣討論英國覆牒倫敦態度甚為鎮定
page 4	英覆牒兩要點
page 4	英積極準備應府閃電戰術陸軍已重新改編力量充實飛機日夜出動炸德根據地
page 4	路易喬治將被邀入閣新聞紀事報測驗結果選民主張排隊除妥協份子
page 4	法主力艦大部已受罰李察流號被擊重傷
page 4	蘇土新醞釀蘇大使突乘輪返國兩國談判或將重開 
page 4	日新黨運動米內擬派石渡探詢近衛意見
page 4	匈總理德里基晤德義外長商用和平解決方式調處羅匈領土糾紛
page 4	法放棄民主政治模仿獨裁政制將以勞工家庭祖國代替自由博愛平等拉弗爾在幕後操縱一切
page 4	德外長見佐藤東京受寵若驚
page 4	赫爾重要聲明
page 4	法國與法西斯
page 4	抗戰中的工業合作運動二
page 4	美海軍之動向
page 4	日本報紙鼓噪
page 5	粵北日軍圖謀反撲進犯五和被擊退我克復南埔神山掃蕩殘餘花縣我軍一度攻入龍口墟
page 5	日偽增兵睦洲白蕉古井斗門形勢又緊
page 5	睦洲增加圖犯古井
page 5	小托失守斗門略緊
page 5	南路各縣迭遭空襲雷州港死傷多人
page 5	粵省農貸工作進展順利農村合作社達三千餘所已貸出款項六百餘萬元
page 5	戰區政治部遷桂工作丘譽由渝返韶
page 5	粵中界慰勞團業已全部返韶戰區散振工作尚未辦竣良口一役張師戰續彪炳
page 5	桂省初級中學改為完全中學各省中招生班數決定
page 5	省行獎勵儲蓄提高利率各項存款年見增加
page 5	粵兒教院發起認養義童運動認養一名月給費用十四元按認養多寡當局分別獎勵 
page 5	新會俘虜分批解抵粵北
page 5	桂陣亡將士公墓舉行奠基典禮建築費約需二十餘萬元全部工程一年後可完成
page 5	李煦寰蔡勁軍聯袂赴渝
page 5	二埠輪渡無法通航
page 5	西康日記一一八第五編由榆林宮到梭坡
page 6	華商總會請當局准予組織保衛團由各商店團體派員擔任並請當局發給團員槍枝
page 6	推行節約儲蓄運動
page 6	孔誕紀念改用國曆
page 6	組保衛團維持治安
page 6	國立院校統一招生港分處開始辦公古文捷由滇抵港主持一切提前本月十二日開始報名
page 6	酒樓茶室
page 6	七七售花素食賑聯會成績報告共得港幣一千七百餘元酒樓茶室售花得款百元
page 6	中大實行遷校粵北
page 6	各救護隊負責人舉行會議
page 6	輪船秘密禁止宣洩港當局發出警告
page 6	援英會會議討論籌款辦法擬辦戰爭彩票尚未決定出席人數過少從長計議 
page 6	疏散男子並非強制港府昨日公佈
page 6	德奧藉難猶昨被拘捕並送往集中營
page 6	待運貨物
page 6	颶風過台灣
page 6	發現浮雷
page 6	本港法僑
page 6	帝航機
page 6	汎美機
page 6	義勇軍護士
page 6	婦女團體徵求傷友總結束得款二十五萬餘元徵求人數共達二十萬名款由中行匯往重慶總社
page 6	後備警察
page 6	寶安商會
page 6	救傷藥品當局將禁止出口
page 6	中文協會巡迴演講本期成績美滿
page 6	諾爾頓來港尚無確期
page 6	海外僑生從寬取錄
page 6	祖國偉大陳忠戇團長暢談觀感
page 6	十二日起開始報名
page 7	今晚公開籃球賽星島出戰華僑另一幕培英上陣迎鬥銀紅乙組賽記者對抗悠悠
page 7	尖事兩則
page 7	願充足球裁判紛向總會登記
page 7	李氏健身學院派員參觀港大 
page 7	世界體壇
page 7	滬合眾杯籃球賽滬青勝群毅上半時群毅鋒芒畢露最後十分鍾滬青超出
page 7	群毅領導於先
page 7	四屆夏令籃球南商洪流告捷
page 7	蘇聯游泳選手創造世界紀錄 
page 7	外匯牌價俱無變動英美匯市仍乏生氣
page 7	八九金市昨日價格平穩
page 7	股票漸趨堅穩市況有繼續好轉可能
page 7	國幣穩定
page 7	東方在庇能再捷破全檳選手二比一文奎金海建功門守劉顯漢屢救危球
page 7	滬青苦戰獲勝
page 7	九龍書院球員發生問題今日學籃兩場 
page 7	論營養問題
