page 2	文化之接種與培養
page 3	襄西展開大殲滅戰日兵傷亡近九千人宜昌近郊血戰三日赫赫戰果
page 3	滬美日軍官作直接會商糾紛勢將和平解決日報反美論調漸趨和緩
page 3	韶關各界獻金結束共得三萬元
page 3	政務巡視團西北組赴青海
page 3	蘇聯官方痛斥日本虛偽宣傳蒙邊衝突日機損失重大
page 3	蔣總裁全會閉幕詞勗勉同胞自立自強
page 3	精神基礎
page 3	門羅主義
page 3	歐洲劇變
page 3	威嚇世界
page 3	一概不顧
page 3	三民主義
page 3	他的原意
page 3	歐亞公司加闢新航線昆桂港間直接通航
page 3	共同有關
page 3	侵略越南
page 3	擴軍不止
page 3	川參議員任期延長一年
page 3	日本海軍當局派員赴廣州灣擔任監視貨物過境事宜
page 3	徐懋棠等仍押法租界經手救國公債餘款日方正設法逼索中
page 3	浙省日軍強拉農民逼修滬杭公路
page 3	川省當局平抑米價照市價減低百之二五 
page 3	空國奮戰的第三年二
page 3	青年會服務團澠池分部工作努力煤礦公司捐煤贊助
page 3	全國各地偽軍紛紛反正抗日粉碎日以華制華迷夢奠定我最後勝利基礎
page 4	英使再訪有田或已遞交二次覆牒日對美試探顯已失敗
page 4	太平洋美艦無調開必要
page 4	美眾院通過擴大海軍案
page 4	法公布新憲法元首總攬政府之大權緊急期間並操立法權
page 4	德里基抵匈京談對希特勒之印象對德內部備極恭維
page 4	德機猛烈轟炸英東南沿岸被炸災區範圍遼闊德機被擊落二四架
page 4	美財長邀請英財次赴美商兩國財務問題
page 4	日新黨運動近衛大賣氣力
page 4	羅斯福競選眾認極有望此次主要競選政綱或將側重外交政策
page 4	英外次報告英蘇關係好轉土議會通過對蘇政策近東巴爾幹外交活躍
page 4	歐戰之展望德在荷比丹挪駐重兵英報認德難大舉進攻
page 4	日方的人渣宣傳
page 4	英蘇關係
page 4	英國向美大量購買飛機購買數目毫無限制每日耗費一千萬元
page 4	日本對美的威脅一 
page 4	羅當局著令登記油公司股票此為油業國營初步傳蘇擬購英人股票
page 5	粵路我軍克蓮塘從化方面進迫神岡
page 5	江會日軍增援圖犯背坑小托均被擊退古井斗門各地形勢穩定
page 5	蔣廷黻在桂林暢談沿途觀感各省工作精神均極良好困難之處尚待迅速改善
page 5	偽組織肆意恫嚇另有暗殺名單法租界當局態度軟弱馬元放崔步武被綁架
page 5	冀黨政軍機關加強軍民合作組織民運督導委員會成立工作人員訓練所
page 5	桂省政聞彙誌桂林十日航訊
page 5	改善防空防疫
page 5	朱學範將抵桂
page 5	桂林檢查煙毒
page 5	廣東省立文理學院招考各系新生
page 5	始興慰勞榮譽軍人
page 5	航空委會設立空軍幼年學校第一期招初中一年生三百名所有膳宿書籍悉由學校供給
page 5	警備司令訓話
page 5	教師投筆從戎
page 5	設鄉村衛生所
page 5	西康日記一二一第五編由榆林宮到梭坡
page 6	考選清貧公費僑生聯同統一招生辦理周雍能談委託考選原因國立院校招生報名者五十餘人
page 6	教育新例影響各校將增收費用學生家長紛紛請求減免各校當局日內共同商議
page 6	三藩市衛生局長稱讚本港衛生行政管理難民得法防疫成功各處宜效法保公共健康
page 6	義皇台血案兇手關麗珍十五日受繯首刑開埠百年第一宗
page 6	新界山頭警匪鳴槍互擊擒傷匪一名餘匪逃遁警察方面並無一人受傷
page 6	象牙玉器業大受打擊西婦衣店營業減跌
page 6	新疆土產羚羊角將大批運港
page 6	葡僑登記
page 6	港撤退人士
page 6	國貨義賣會
page 6	南會大學舉辦短期職業訓練班教育心理及商學經濟兩班學費三十元定二十日開課
page 6	中國飛剪號
page 6	售花成績 
page 6	未雨綢繆加緊保衛治安商店自衛銀號提早收市市面極安靜入夜遊人多
page 6	商店領槍裝設鐵閘
page 6	紀念張寶樹教授免費學額招生青年會等八團體發起聖保羅書院學額一名
page 6	坤伶金素琴
page 6	搜捕歹徒鞏固治安
page 6	防護人員開始服務 
page 6	訓練兒童躲避空襲
page 6	周雍能函唁澳督屬家
page 6	惠屬水患港韶交通困難貨物多滯留鯊淡一帶鯊淡路鄉民組護路隊
page 6	洋務工會貯糧維持失業工友
page 6	輔政司否認日本三條件不滿西報擅予發表 
page 7	總會昨舉行年會下屆職員產生代督史美蟬聯會長黃家駿初任主席報告一年來工作概況
page 7	一年來工作
page 7	東方在怡保義賽五比四贏霹靂隊
page 7	職員題名
page 7	今晚公開籃球乙組三場舉行昨夜記者勇克長虹虹晨鐘精勵同時奏凱歌
page 7	今日學籃
page 7	其他事項
page 7	學籃昨開委會球員鷹鼎拔萃提出抗議
page 7	銀聯上球賽明日爭冠軍
page 7	港圓外匯牌價再縮英匯呆滯美匯趨緊 
page 7	八九金市昨日復形堅挺
page 7	股票略趨堅穩匯豐銀行宣佈上半年股息昨日成立總值十一萬餘元
page 7	國幣堅穩
page 7	西青會今晚游泳對抗 
page 7	東方泳場舉行音樂大會
page 7	乒乓聯會辦初級團體賽
page 7	今日棒球聯賽南華迎戰工程
page 7	各項比賽經過 
