page 2	米內內閣又倒了
page 3	日本政潮突表面化米內內閣被迫辭職軍部支持新體制畑再度奏刀近衞匆促返京傳將奉命繼任
page 3	魯省偽軍六千人投誠現正改編待命抗日
page 3	中英庚款留英學生改赴加拿大攻讀一部已由滇來港
page 3	本港獻劍團已由昆明飛抵重慶
page 3	滬義駐軍傳將調往天津
page 3	蘭市獻金達十六萬餘元
page 3	政巡團滇黔組蔣作賓等抵滇蔣氏談行都之興奮氣象
page 3	吳其倫案顧竹軒被判無罪
page 3	洛陽發現漢代古碑
page 3	日艦砲轟鎮海向杭州灣開始侵擾
page 3	上海申報館被暴徒投彈共傷十九人一人已斃命
page 3	西藏地震同時大水為患遇難者二百人
page 3	昆明銀行籌備　緒定期開幕
page 3	滬美日糾紛案已商得結果共同聲明日內可發表
page 3	豫鄂會戰影片現已寄渝沖洗即可放映
page 3	四行發行準備檢查結果公佈
page 3	聚昆路探礦隊分七組出發開始工作預計三個月內可完成
page 3	滬槍殺案一死兩人受傷
page 3	論經濟作戰一
page 3	日機又襲渝被我空軍擊落多架
page 4	郭大使訪英外部提出嚴重抗議要求重申條約態度華盛頓懷疑瓊斯言論赫爾表示美政策不變
page 4	封閉緬甸公路英方附有建議
page 4	倫敦方面所傳美國如此態度
page 4	英機不斷猛炸德機場飛機工廠油廠皆被轟炸德機夜襲英國南部
page 4	英輪損失最近一週內計達十三艘
page 4	　德大使已抵渝說不確　　　
page 4	英國對義澈底封鎖將開始肅清義沿岸海面預料將引起激烈之海戰
page 4	美民主黨大會開幕羅斯福獲熱烈擁戴
page 4	拉弗爾操縱政權排除異已份子將組織一單獨政黨驅逐人民陣線人員
page 4	奎松要求議會賦予大權以應付經濟困難
page 4	駐法美大使即行返美或將不再赴任
page 4	雅納爾向工合演講
page 4	盧森堡女大公有離葡赴美說
page 4	申報被炸
page 4	義大利飛機轟炸巴勒士丁甘雅義軍佔領要點
page 4	英義海戰經過公佈
page 4	大會開幕典禮
page 4	班克海之演辭
page 4	美國立場堅定並無讓步模樣
page 4	齊亞諾將再赴柏林與希特勒作重要會談蘇德義有舉行會議說
page 4	英方期待繼續談判
page 5	艱苦階段先後渡過最後勝利漸接近七中全會後擴建工作更努力中委崔廣秀過桂一席談
page 5	七中全會
page 5	偉大人口
page 5	法幣基礎
page 5	濫炸行都
page 5	國共磨擦
page 5	新嘉坡的七七獻金百萬元永定河畔連演三晚越南僑胞通電討汪
page 5	渝市鱗爪前日起清查戶口定空襲餐食辦法
page 5	清查戶口
page 5	蘇怡抵渝
page 5	空襲之餐
page 5	閩省府新委衛生處職員三人
page 5	興寧稅務局長貪污被扣
page 5	贛北某總部青訓班上月底舉行結業
page 5	教部主辦之抗建論文比賽入選學生姓名全部發表中央大學鄭士鎔得第一
page 5	浙省糧荒舉行糧食會議要求贛米接濟
page 6	國立院校統一招生報名者已達千餘人廿日開始考試一連三日聘名流百人任監試委員
page 6	本屆報名人數略減
page 6	考試日程經已擬定
page 6	當局加緊進行海空防禦設施沿海設鐵絲網即將興工重要建築物髹以防空色
page 6	歲寒社第三次畫展今日開幕一連三天
page 6	市政衛生局昨例會垃圾問題下次答覆推舉四人組織小組委會處理廣告條件下申請案
page 6	檀香山飛剪
page 6	七七花款
page 6	魯班師傅誕
page 6	港府於必要時封用商輪疏散華人按目前情形尚無此必要疏散赴菲英僑將運澳洲
page 6	飛渝民航機險遭襲擊昇高萬尺卒能避過
page 6	振聯會追認常務會議議決案撥第三戰區國幣五千元省救護會購藥款一千元
page 6	人才調劑協會舉行失業救濟貸款俾在就業前能維持生活就業後按一定比例償還
page 6	商行大廈空防設備
page 6	沿海將敷設鐵絲網
page 6	開始建築防空壕塹
page 6	大建築物鬆防空色
page 6	聘請名流蒞場監試
page 7	星島足球隊定明日啟程南遊在星比賽三場節目業巳排定全隊十七人泰半係南華舊人
page 7	發展身體各部肌肉方法
page 7	夏令籃球惡戰美爾頓克強敵在延長時間中壓倒南洋高級組賽精武勇挫鮀江
page 7	三游泳會水上競技第一次定三十一日
page 7	港澳埠際乒乓比賽定九一八舉行
page 7	美菲荷匯牌價回漲申匯市況一度趨緊
page 7	昨日股票市況漲風漸熾一般投機買戶紛欲吸進存戶堅持不放成交尚少
page 7	八九金市昨日先靜後堅
page 7	和謠影響國幣上漲最高價二六二
page 7	中華體協會後日開會商討各部副主任備案
page 7	伯齡杯水球比賽二十一日截止報名中華體育會不球部主辦
page 7	網球國手許承基將赴星表演門票收入撥充援英基金
page 7	公開籃球今晚乙組兩場
page 7	英國輕中量拳擊比賽羅得烈克保持王位
page 7	下屆聯賽銀牌賽決照常舉行較為次要比賽或放棄舉辦
