page 2	讀蔣委員長聲明
page 3	對滇緬路運輸問題蔣委員長發表談話抗戰非任何脅逼所能搖撼
page 3	東京英日談判獲得正式妥協
page 3	行政院例會
page 3	青年報國機會統一招生考試落第者可轉入軍事機關受訓
page 3	日機前日襲渝被我擊落三架飛將軍丁籌康捨身報國
page 3	滬美日糾紛尚難解決日僑三千人開會仍要求美方道歉
page 3	藥作物與橡樹滇省積極提倡種植
page 3	贛省委劉體乾逝世
page 3	鎮海砲戰猛烈日軍在附近海島登陸廈門東北海灣亦被擾
page 3	工業合作協會二屆會議閉幕共通過議案八十件
page 3	滬大美晚報當局發表嚴正聲明編輯方針絕不受人干涉今後仍將保持原有態度
page 3	論經濟作戰二
page 3	美國務卿發表聲明反對封閉貿易路線美遠東政策巳踏入積極的階段
page 4	近衛奉命再起組閣松岡及白鳥均有外相呼聲美國注視日新閣外交動向
page 4	美訂立大批軍需品合同為數約達八萬萬元汎美會義展期開會
page 4	德國設法調停羅保匈糾紛談判正分別舉行中蘇聯向羅嚴重抗議
page 4	布列特乘飛機返美
page 4	勞工部長發表演說
page 4	法閣開會討論行政經濟問題
page 4	歐戰與星象月亮開始團圓德國發動攻英
page 4	齊亞諾將赴柏林歐局傳有新發展
page 4	英機炸德集中大船
page 4	奎松發表演說倡設新式民主政治主張放棄政黨鬥爭
page 4	土伊鐵路全線通車
page 4	美商務部報告對華貿易輸出輸入皆有增加
page 4	西智斷絕外交關係
page 4	近衛再登台
page 4	英法關係極不明朗法要求賠償軍艦損失英政府對此正商討中
page 4	直布羅陀被炸起火
page 4	馬爾泰島發生空戰
page 4	蓋達著文侈談新歐洲德義將為歐洲核心原料必須重新分配
page 4	高斯履新澳洲甚表歡迎
page 4	競選政綱即可通過
page 4	民主黨大會屆緊張階段羅斯福發表聲明無意在黨內作候選之競爭擁護羅斯福運動開展極速法萊嘉納有意與羅氏競選
page 5	廣州灣市況蕭條人心仍動盪不定日檢查員在西營監視貨運後商業受大打擊各商家多辦結束赤坎法軍官毆傷華人
page 5	法機失事經過
page 5	法人狎妓闖禍
page 5	整理市容
page 5	經濟反封鎖大亞灣派隊加緊緝私
page 5	灣仔日軍射擊客艇
page 5	中山日兵總數不滿三百新鶴路我襲擊獲勝偽國反正形勢混亂
page 5	中山縣長加緊動員
page 5	江門偽軍被日繳械
page 5	韶港匯兌深圳被侵暫告停頓
page 5	粵貿易管理處處長易人張景人調桂關伯平接任
page 5	菲律賓的七七通電慰將士抗戰到底僑胞致敬　
page 5	粵省行政會議下決議案加緊實施省府獎勵華僑開發省內實業注重戰時行政治本治標兼施
page 5	建設方面設水利示範區招收難民開礦辦小規模工廠
page 5	其他方面充裕本省糧食便利運購食鹽改善兵役待遇
page 5	東潦退落電訊恢復
page 5	教育方面大學遷回內地收容戰區兒童印發小學課本
page 5	訓練義民
page 5	國際勞工代表朱學範抵桂報告國際勞工運動情形指出今後工運努力方針
page 6	國立院校招生考試室昨日編定遲到逾廿分鐘不准與考考選公費生今日起報名
page 6	試場規則
page 6	選公費生
page 6	省振會派員赴鯊魚涌視察調查旅途情況用費若干擬定具體計劃指導實行
page 6	陳炳權返港談出席參議會印象議決救濟米荒緝私等案各方甚望留港各校內遷
page 6	胡藻斌畫展將於本月底舉行
page 6	本港美僑疏散者少今晨有數人離港
page 6	七七花款
page 6	獻燈成績
page 6	汎美機離港
page 6	商振會例會
page 6	合義慈善社
page 6	寄菲郵件
page 6	兒童書院本學期開始創辦
page 6	當局在香港仔設漁業試驗場委出主任場址經已覓得首期研究費為十六萬元
page 6	淡水行
page 6	監委注意
page 7	域多利游泳會第一次水上競技邀請勵進團出場對抗已決定下月三日舉行
page 7	馬來亞籃球界實力相當雄厚往昔國內名將今皆流浪海外高長明尹鴻祥亦做了南洋客
page 7	新加坡足球賽現狀甲組空軍雄踞首席
page 7	高級學界籃球球員問題拔萃提出抗議鑰智表明態度
page 7	夏令籃球賽今日有兩場
page 7	聲勢顯赫
page 7	外匯牌價俱無變動申匯市況略轉趨淡
page 7	八九金市昨日續趨鬆馳
page 7	股票市況好轉各股價格繼續上漲
page 7	國幣仍穩
page 7	昨晚公開籃球培英輕取晨鐘國民棄權悠悠不勞而獲勝
page 7	星島足球隊今晨跨海南征一行二十人軍容甚盛
page 7	錦上添花
page 7	先開紀錄
page 7	馬來亞埠際足球森美蘭奏捷二比零力克馬六甲星洲空軍亦獲勝利
