page 2	應當怎樣堅定我們的自信心 
page 3	浙東陣地恢復原狀鎮海殘日完全肅清附近洋面仍時有日艦出沒上海寧波間交通復航有待
page 3	我軍猛攻隨縣城內火光燭天
page 3	滬檔案移交偽方外部向關係國再提抗議此項舉動係屬違法不發生法律上效力
page 3	僑慰三分團赴中條山勞軍
page 3	政巡團蔣廷黻等視察完畢返渝據談各地人民生活一致好轉各省當局勵精圖治需才孔殷
page 3	粵綏署槍決漢奸三名
page 3	南京杭州日偽鼓動反美風潮韋爾斯表示美注視上海局勢滬領團今日舉行會議
page 3	紀念雷神甫軍委會華北服務團特組織委員會籌備
page 3	駐歐使館已有多處封閉
page 3	黔省注重民眾健康擴充衛生機構
page 3	滬暴徒橫行搶奪巡捕手搶連日發生兩起
page 3	蘇聯雜誌論日本弱點戰事愈持久內部愈困難
page 3	非常時期治安維持國府頒布緊急辦法
page 3	滬大美報昨起宣佈停刊華美晚報重行恢復
page 3	院校統一招生蓉區已考竣
page 3	戰區巡迴審判制度已有七省實施人民稱便
page 3	天津日偽又凱覦電話局偽市府提出接收要求租界當局正鄭重考慮中
page 3	桂當局調整救濟區組織
page 3	中日戰爭三年來美國遠東外交的檢視一
page 3	晉西晉南激戰日軍動彈不得
page 4	近衛發表內外政策一篇陳腔濫調對任何國家調整邦交處理事變精神不變
page 4	英財相伍德提補充預算案戰費消耗每週達五千餘萬鎊收支不相抵約二十二萬萬鎊
page 4	汎美會議賡續開會小組會正起草計劃管理法荷美洲屬地
page 4	薩爾斯堡德羅將有會談傳將討論匈對羅要求加芬科有赴莫斯科說
page 4	韋爾斯發聲明責蘇歸併鄰國
page 4	達拉第等被迫離法貝政府下令取消彼等國籍
page 4	蘇聯關心遠東問題尊重中國地位
page 4	傳蘇向芬提復員要求芬蘭已予接納
page 4	克理浦斯訪蘇外次
page 4	文生力主在關島設防將請將議會授權興工馬斯主張立即進行
page 4	邱吉爾晉謁英王談話歷半小時
page 4	日民政黨內訌有志議員紛紛脫黨
page 4	近衛說大話
page 4	英承認捷克
page 4	關於西北交通三
page 5	桂林區高等考試典試監試員宣誓黃旭初訓話高考為拔取真才劉侯武答辭照中央法令做去黃氏並述七中全會情形
page 5	高等考試分區舉行
page 5	驛站會議後萬輛板車本年內完成代替汽油車
page 5	自力更生專心抗戰
page 5	七中全會重視經濟 
page 5	贛省壯丁自動請纓師管區請嘉獎
page 5	日軍犯鶴山橡皮艇被我擊沉日官兵十餘人盡遭滅頂偽軍以暴易暴又要收行水
page 5	二十萬元貨物在澳被劫澳港警探會同破獲
page 5	泰國雜景
page 5	西康日記一二七第六編貢噶紀行
page 5	國民大會如期召開
page 5	革命聖地中山淪後記一
page 5	粵省政府更動定安萬寧縣長三個中學校長易人
page 6	昨晨我軍數百人襲邊界外日駐軍日軍放射火球請求援兵新界方面可聞清晰槍聲
page 6	日軍騎兵曾竄入羅湖
page 6	日領謂並未命令撤僑
page 6	僑民教育函授學校港學員接到講義並頒學員證及學習須知畢業後僑委會予以保障
page 6	商振會演劇籌款週末在太平戲院
page 6	立法局今日例會葡籍議員質問疏散事宜財委會討論追加預算案
page 6	卓還來昨日放洋履新
page 6	失業失學員生第六批審查完竣登記合格員生二百餘人省振會辦事處將發旅費
page 6	大學聯誼會明日舉行演講會地點在般含道女青年會葉啟芳講美國外交政策
page 6	印多爾王子由美過港返印領導印人協助英國抗戰印鋼鐵廠訂購大批機件
page 6	林馬島海面貨艇觸雷被炸艇上十五人十一人斃命餘均受傷兩人經已出院
page 6	汎美機離港
page 6	王正廷抵港
page 6	限制酒商提運後港府尚無意增稅對本地製啤酒取消優待兩個月內有增稅之可能
page 6	崇正救難會施米第一日馬草　難民皆面有喜色工作由晨至暮秩序井然
page 6	施米雜寫
page 7	星島隊初顯身手遭遇勁敵陸軍聯結果一比一未分勝負門守張榮才搶救有功
page 7	泗水男女籃球舉行籌振義賽遠征中西爪哇所向披靡募得振款約有四五千盾
page 7	全白男子隊
page 7	美國網球母艦苔能女士小史力格斯與瑪博均出其門下
page 7	米杜息足球隊約戰華僑今日在深水埗舉行 
page 7	體壇瑣聞
page 7	公開乙組籃球康元力克保羅結果三十二比二十七另一場青乙大勝精勵
page 7	東方水球隊今晚戰海軍
page 7	外匯牌價昨無變動美匯沉寂申匯仍穩
page 7	國幣堅穩
page 7	八九金市昨日無成交 
page 7	股票市堅挺投機買戶益見活躍低價股票價格趨漲
page 7	高級學界籃球鑰智正式退出亞軍賽循序今日重編
page 7	夏令籃球今日鷺星對僑星
page 7	誌於左勵志女子隊
page 7	徒手全身鍛鍊法
