page 2	經濟行政與地方行政
page 3	浙東創造光輝戰果蔣委員長特電嘉勉定海日艦結集似圖繼續蠢動
page 3	戴古與西原作首次會商越南當局力謀維護自治對華運輸目前完全停頓
page 3	和謠絕對無稽蔣委員長迭有明白表示決不考慮任何和平建議
page 3	蓉市上空激戰來襲日機被擊落一架十餘架受傷狼狽逃遁
page 3	滬煤氣公司職員罷工當局改僱外籍人員形勢已逐漸嚴重化
page 3	政府當局注重發展社會教育教部調查經費分配情形
page 3	步槍擊落日機甘鶴林獲獎兩千元
page 3	日人的新險謀企圖在華南造成第三勢力俾與所謂南進政策相呼應
page 3	蘇省新縣制決定分為三期實施江蘇銀行正積極恢復中
page 3	滬又一綁架案化學工業社總理方液仙被匪徒等強行綁去無蹤
page 3	羅斯福夫人主張維護中國經濟安全
page 3	台灣革命運動力量愈集中兩團體加入聯合會
page 3	現任法官繼續調訓自明年一月起
page 3	談抗戰外交
page 3	天津白銀提出十萬鎊救災其餘則予以封存
page 3	滇省公路局擬定兩年計劃限期完成幹支線三十條
page 3	滬領團開會討論維持租界治安對開斯威制止恐怖行為案將不顧日方反對促其實現
page 4	波譎雲詭之東南歐羅總理赴薩爾斯堡會後將應邀赴羅馬蘇羅關係漸入正常化
page 4	羅國委出專員監視英方油業
page 4	赫斯特預料美將參戰日期在一年以內
page 4	汎美大會完成第一階段西半球防務問題將有充分討論赫爾提經濟計劃著生自由貿易
page 4	蘇政府闢謠否認英國向蘇購機並未向羅提出要求
page 4	日外務省次官易人谷正之辭職松宮順繼任
page 4	達拉第等被羈維希政府將予審判越督兼任遠東艦隊司令
page 4	美國提出建議反對領土轉讓
page 4	巴黎市面漸見恢復各娛樂場中雇德語招待
page 4	日內閣大本營將開聯席會昨閣議審查基本國策要綱草案已同意四項
page 4	巴拿馬謠言突熾傳水閘發生爆炸
page 4	亂髮一頭之新體制
page 4	歐洲之謠言攻勢
page 4	美禁本國輪船運油接濟德義開赴西班牙兩美輪業已奉令中止出發
page 4	中日戰爭三年來美國遠東外交的檢視二
page 4	美陸軍當局要求增撥經費國防方案支出不敷改良關島要求日亟
page 5	一幅爭骨圖順德偽軍謀抽禾票日軍犯沙圍已被我擊潰呂逆又欲火併白蕉偽軍
page 5	南雄商會主席發狂自殺
page 5	拱北分關未被利用
page 5	勒收行水值百抽十
page 5	桂省改組義民救濟站原有八站撤銷改設五站桂南各縣劃立兩救濟區
page 5	日炸清遠死傷十餘人
page 5	日分隊長被俘威風何在到了此種　境地纔想自己也有家庭
page 5	滇臨時參議會決開發交通礦產已有公路各縣籌設獸力車輛鐵路附近煤礦開發以應時需
page 5	中央撥鉅款救濟粵米荒總數七百五十萬元同鄉會請撥款購糧
page 5	中大四學院遷回粵省文學院等仍留滇
page 5	貴州省防疫奏效省會會迄未發現霍亂
page 5	西康日記一二八第六編貢噶紀行
page 5	重慶空襲救濟發放救濟金三十餘萬元
page 5	革命聖地中山淪後記二
page 6	立法局會議代督及輔政司答覆疏散問題係奉戰時內閣訓令執行非官議員反對疏散撥款
page 6	非官議員提出質問
page 6	政府解釋疏散步驟
page 6	諾爾頓少將下月初可抵港前日已由印度抵曼谷將由星加坡乘輪前來
page 6	疏散撥款遭受反對
page 6	追加政費皆獲通過
page 6	港九教聯會主辦中學生論文賽頒獎初中組高中組各五十名下月一日頒發並無儀式
page 6	廠商聯會例會閩貿易公司徵本港出品參加福建省展覽會
page 6	胡藻斌畫展明後兩日舉行地點知用中學
page 6	婦女團體傷友委會限期清繳善款迭次去函催促仍屬無效如仍滯留即將姓名公布
page 6	售花統計
page 6	娛樂消費
page 6	迫悼張似旭
page 6	寶樹學額
page 6	復旦海浴會 
page 6	省振會駐港處發表護送港僑回粵步驟欲返內地可即前往登記旅費供應問題日內決定 
page 6	各項議案一致通過
page 6	代督史美致詞釋辯
page 6	港物業價值高漲增加最多者為新九龍區應繳差餉價值創新紀錄
page 7	東方隊中止赴爪哇昨日已離星返港爪哇限制華人入境交涉無效和和杯慈善賽行將停止舉行 
page 7	夏令籃球賽僑星勝鷺星
page 7	今日足球總會商討聯賽大計星島能否參加尚待討論砲兵隊亦請求加入甲組
page 7	國際棒球比賽共五國參加岷甸奴將代表美國出席週末聯賽秩序略有更改
page 7	蘇格蘭恢復足球比賽八月十日起開始
page 7	諾米退休之後麥奇迎頭趕上一萬米打破三十分大關可謂青出於藍而勝於藍
page 7	高級學界籃球猶有餘波九龍會再提上訴
page 7	外匯牌價昨日回漲美匯微淡申匯穩靜
page 7	股票轉趨活躍人心興奮買戶紛紛吸進昨日成交達十三萬餘元
page 7	八九金市昨日仍無交易
page 7	國幣價格昨日仍堅穩
page 7	乙組籃球今晚比賽秩序
