page 2	幾點基本認識
page 3	美國對日實際打擊汽油廢鐵禁止出口華盛頓認此為答覆緬甸封鎖
page 3	外次仍未定松宮係暫代
page 3	檀香山當局覊留日郵船因未獲得華盛頓核准載運廢鐵棉花等出口
page 3	粵新縣制省府積極推進派員分往指導
page 3	鍾師長靈柩由渝運桂安葬
page 3	揚州日偽軍發生火併任逆援道鎮壓無效一部偽軍實行反正 
page 3	滬英軍偽警忽發生衝突滬西一帶形勢嚴重領團下月一日再開會議
page 3	蔣委長嘉獎蓉防護人員
page 3	中央決定褒卹張似旭
page 3	法政府與日偽進一步妥協企圖保全其在遠東利益天津老西開將交予日偽
page 3	陳立夫由蘭州飛蓉就醫
page 3	財政金融高考初試業已竣事及格人員受訓後須再試
page 3	晉南三勇士捨身成仁從容就義
page 3	魯偽軍趙益增率部通電反正
page 3	僑慰第三分團在洛備受歡迎日內即赴前線勞軍
page 3	艱苦奮鬥中友情的慰藉郭大使投函泰晤士報申謝各方面之同情美意
page 3	粵省當局獎勵邊區教育將選送傜民入學校攻讀桂省府設戰地師範學校
page 3	滿蒙劃界雙方所組委員會下月在赤塔開會
page 3	黔傷兵之友徵求結束成績頗為優異
page 3	花少錢打硬仗我戰費僅及英百之一日十之一
page 3	戰時儲蓄的獎勵方法
page 3	將設參政官作為智囊團
page 3	日新閣政策通過強化軸心刷新對美蘇外交確立新體制擴充人的資源
page 4	閩海防務鞏固犯三都澳日軍擊退
page 4	歐洲交戰國加緊封鎖戰德機不斷轟炸英國航運英決擴大對德義之封鎖
page 4	汛美會議將有新成就殖民地問題擬發宣言經濟合作亦可望成功
page 4	薩爾斯堡會談開始檢討德匈羅保關係
page 4	野田等卅九人退出民政黨國民同盟宣布解散
page 4	歐戰的展望英國已有縝密防備閃電戰術勢難得逞
page 4	海峽上空激戰空前
page 4	美允盡力接濟英國飛機建築新廠由英償付代價明年起每月出機三千架
page 4	美國需要行動
page 4	伯特勒之信心
page 4	中日戰爭三年來美國遠東外交的檢視三
page 4	桂南日軍出擾不逞晉西我軍進擊臨汾
page 4	德土兩國簽訂新商約東南歐外交戰活躍
page 5	中山偽軍火併未已婆蘿島商民遭劫三十餘人無順民證被槍殺地方秩序混亂日軍增援前山
page 5	泰國在亞蘭新豎界柱鐵柱一根面對越南上有人鳥怪獸國徽
page 5	黨政會祕書長徐景唐由渝抵粵改就某集團軍副總司令徐氏暢述重慶市民戰時情形
page 5	江蘇教育學院暫不由桂遷蘇蘇北將設分院一所院長高陽詳談經過
page 5	韶關空前大火損失廿餘萬焚燬店舖三十餘間延燒六小時始撲滅
page 5	化學年會下月中在峨嵋舉行注重報告川康建設
page 5	西康日記第六編貢噶紀行
page 5	革命聖地中山淪後記三
page 6	英人將聯名入稟請送回疏散婦孺得立法局非官議員贊助羅文錦請查究岐視事件
page 6	羅文錦公開信
page 6	八月三日港文化團體紀念魯迅誕辰儀式擬定上午九時舉行當晚七時上演阿Q正傳
page 6	廣州大學決遷台山已派員前往佈置
page 6	福建貿易公司舉辦國貨陳列館徵求本港廠商參加展覽已將徵求辦法轉送各廠
page 6	皇家重砲隊招募新兵定二十九日報名
page 6	葉蘭泉等視察新界難民能否建棚收容即可決定
page 6	考試院舉行普通考試考選會計統計人員九月中在曲江舉行
page 6	厲行教育新則例一部分學校停辦因距新例衛生標準太遠當局已派人赴各校視察
page 6	專科以上學校學業競試今日舉行三大學共五十七人地點擇定西南中學
page 6	聖約翰同學游泳會明日在南灣舉行
page 6	統考落第生善後辦法准入軍事機關受訓
page 6	歐亞公司港桂滇定期班開始
page 6	木刻展覽徵集出品
page 6	港省振處負責人談疏散僑胞可獲實現東江各地設站護送歸僑周哲將來港視察各分站
page 6	聖約翰看護派瑪利醫院實習
page 6	登記者眾
page 6	設護送站
page 6	歸僑統計
page 7	香港足球總會昨召開委員會議各項小組委員業已全部選出本屆新入會者六隊獲得批准
page 7	公開乙組籃球昨有激戰勵行勝康元相差僅一分
page 7	夏令籃球今日比賽兩場  
page 7	三角游泳賽第一日秩序
page 7	美網球選手被受處分因違反業餘規則
page 7	中華體協會發表宣言對六團體退出有所說明
page 7	外匯牌價昨無變動美匯沉寂申匯穩定
page 7	八九金市昨日仍乏生氣
page 7	國幣穩定價格起落甚微
page 7	今年上半年度本港貿易激增較去年同期增加一萬七千萬六月份貿易亦有增無減
page 7	股票漲風稍挫昨日成交總值六萬餘元
page 7	今日棒球聯賽南華對工程下午二時半嘉山相會
page 7	全菲網球十傑小安邦躍登第一位
