page 2	松岡之傑作
page 3	宜昌近郊又起激戰我軍冒雨夜襲獲勝
page 3	我游擊隊活躍平郊晉省日軍仍圖蠢動 
page 3	滬日人搜查租界又逮捕八人現暫押捕房未引渡日方法租界又發生炸彈案件
page 3	報國情殷南洋幼年僑胞一批返國抵滇投考航校
page 3	陳嘉庚等離渝赴滇視察蔣委長代表等熱烈歡送
page 3	陳光甫由渝飛抵昆明
page 3	桂各界定期公祭鍾毅
page 3	日機散發反戰傳單
page 3	蘇聯真理報評論美禁運根本係對日本而發
page 3	桂稅收旺盛所得稅及過分利得稅半年徵得五百餘萬元 
page 3	各地偽軍繼起反正
page 3	英使卡爾由滬赴威海衛
page 3	義代辦抵渝訪晤徐外次
page 3	上海情形日非商業遠不如昔物價高漲民生益艱
page 3	粵省府召開人事行政會議商定確立全省人事制度提高效率使省政現代化
page 3	如此繁榮滬南市開放後煙賭盜賊橫行
page 3	滬法租界郵件檢查日方定今日開始
page 3	皖政彙聞
page 3	韋爾斯再發聲明重申美國態度決不與汪偽組織作任何談判美使詹森暫不離渝他往 
page 3	清華留美考試延期舉行俾便利本港學生
page 3	六學術團體聯合將在滇舉行年會
page 3	滇商會請中央開放公倉以救濟滇省民食
page 3	航建會川分會獻機運動限三個月內完成
page 3	錢鴻業遺體今日大殮
page 3	混水摸魚我積存海防報紙被日人運往日本 
page 3	凱撒的時代
page 3	日本侵華三年國內窘態畢露
page 4	倫敦等待克萊琪報告內閣討論對策輿論促重開滇頃路日陸軍省發表悖謬談話
page 4	羅馬尼亞同意與匈保謀諒解談判原則大致已決定
page 4	美艦演習完畢駛返檀香山為數共十艘
page 4	西葡簽訂不侵協定
page 4	德義兩國期望維持和平現狀
page 4	德國主要目的顯在對付英國
page 4	羅斯福函請議會通過軍訓案法定之軍事訓練時間實不足以應非常需求
page 4	美飛機產量秋季後可大增
page 4	英停止提款蘇提出抗議英方正考慮中
page 4	墨索里尼寧靜渡過生辰義王亦在致哀中紀念登位四十載
page 4	近衛內閣政綱又定明日發表
page 4	卓別靈的大獨裁者本週將宣布映期
page 4	蘇海軍實力仍不斷加強中
page 4	有志的幼年僑胞
page 4	美國對遠東的姿態
page 4	蘇聯的海軍
page 4	貝當政府大興獄訟萊諾甘茂林等皆在被控之列
page 4	備海陸軍結集法北港口英沿岸空戰異常激烈
page 4	巴爾幹之變幻關鍵仍在蘇聯
page 4	汎美大會閉幕全體國家簽訂哈瓦那協定組美洲國際委會負責執行美國提案大半獲順利通過
page 5	發展戰地交通為目前迫切問題需要系統組織發動人力獸力某君自戰地歸渝對本報記者談
page 5	韶關槍斃漢奸李伯虎林劍秋兩名
page 5	日兵增援大小梅我軍冒雨攻江會衝入佛子坳車站會城動搖日強拉民伕築路準備退卻
page 5	高秉坊談川土地陳報四十縣已先後舉辦隆昌實驗區十月內辦竣 
page 5	西江下游戰事沉寂
page 5	龍泉鄉日偽軍逃走
page 5	桂林點滴
page 5	桂林記者公會正式成立莫寶堅等二十四人當選執監委員
page 5	經濟抗戰在廣東下記五座經濟堡壘
page 5	西康日記一三三第六編貢噶紀行
page 5	四邑一帶陣線加強
page 6	街坊保衛團計劃已大致擬就總計二千人由警局訓練華商總會未奉正式通告 
page 6	保衛團經著手組織
page 6	分區進行團員二千
page 6	警政設備益臻完善
page 6	關麗珍今日執行環首
page 6	九龍邊境新界前線巡禮
page 6	本港新代督諾爾頓少將抵星係由曼谷換乘飛機前往大約將由該地乘輪來港
page 6	華商總會昨日大會
page 6	留日同學赴韶服務趕辦登記
page 6	衛生局例會答覆垃圾問題傾棄方式仍須加以改善下年增置手曳車二十輛
page 6	要求收回疏散成命禀章已轉呈代督施露華律師送代輔政司署名者僅得三百五十人
page 6	普爵士發表意見
page 6	上海霍亂
page 6	疏散僑胞辦法一週內可發表粵省振會訓示昨已到港葉蘭泉經從事規劃手續
page 6	發現浮雷 
page 6	東華售花
page 6	防空監視員
page 6	馬來亞未許入境
page 6	施律師附函解釋 
page 6	業主減租發還差餉辦法本港政府昨日再度公布詳情可向估價官署詢問
page 7	東方遠征歸來技術上獲益良多在星作戰時觀眾達二萬餘人滬濱三劍客此後將留港助陣
page 7	個人球藝俱有長足進展 
page 7	雖敗三次藉此可資借鏡 
page 7	和和杯賽只得中止舉行
page 7	滬合眾杯籃球友聯苦戰獲勝梁溪先盛後衰功虧一簣 
page 7	學界籃球今日亞軍決賽光華對抗思思
page 7	球壇瑣聞
page 7	港圓外匯牌價稍縮美匯市況略轉趨緊
page 7	八九金市略呈生氣
page 7	國幣市價昨日先穩後疲
page 7	股票市況沉寂東京事件英日關係緊張一般投機買戶觀望不前
page 7	公開籃球今晚比賽秩序
page 7	華人水藝會昨改期舉行 
page 7	三角游泳競技今晚在南華游泳會舉行女子百米將有劇烈爭奪
