page 2	八一三紀念回顧上海
page 3	八一三三週年紀念蔣委長告淪陷區民眾 
page 3	人人努力盡職抗建大業必成
page 3	淪陷區同胞們受著三重壓迫
page 3	明日空軍節行都各界將盛大紀念三年來擊落日機八百四十八架
page 3	八一三三週年滬民眾熱烈紀念遙祝早日完成抗戰建國大業兩租界各地區戒備益形回嚴
page 3	孫科辭職說絕對不確赴莫斯科說亦無稽
page 3	兩廣監察使劉侯武出巡赴桂東粵西為期兩月
page 3	粵省政治日在進步中蔣委員長深表滿意驛站運輸處下月初成立 
page 3	日人對越南盡壓迫能事美記者之忠實報告 
page 3	日機前日襲渝被擊落五架另六架受重傷恐難飛回日機三隊昨又襲川
page 3	統一招生考試月底可民發榜考生總數約一萬九千人
page 3	荷印安謐人心漸定當局積極加強防務
page 3	襄西繼續殲滅戰海門日軍被擊退浙海日艦仍到處騷擾
page 3	論緬甸路的封閉
page 3	應該奮起自救增強抗戰力量
page 3	屈服絕難倖存奮鬥纔能求生
page 4	日本全國各城市再燃反英狂燄東京舉行示威大會會場僅懸德義國旗 
page 4	上海日軍企圖進駐英軍防區
page 4	美對日南進企圖採強硬態度兩國關係將有重大發展美國注視日本海軍動靜
page 4	大橋忠一抵日現在返東京途中
page 4	日新體制運動具體組織問題須候軍部意見
page 4	英國議會作短期休會邱吉爾將有聲明
page 4	日對歐局尋覓機會東條訪謁近衛注意英德空戰
page 4	颶風襲擊美東南岸查理士頓損失重大
page 4	東非英義軍主力遭遇戰英軍戰略不在死守而在消耗義軍供養
page 4	英德空戰愈白熱化德機連日大擧襲英一般認為德空中閃電戰開始德機被擊落六十餘架
page 4	清華留美生考試展期便利遠道考生
page 4	桂南大水邕寧城外已成澤國
page 4	法軍局部復員將集團從事農業工作各鐵路交回民政當局
page 4	我們的紀念
page 4	日閥可憐
page 4	海峽上空大戰昨日繼續展開
page 4	阿爾巴尼亞土人傳與義軍衝突反抗義國武力徵兵
page 4	土報被停刊因載親德文字
page 4	義開始建造水上機場墨索里尼親自主持 
page 4	印總督聲明反響殊冷淡尼赫魯表示難接納印度事務大臣演說
page 5	旅川學術專家利用暑假期考察分赴西南西北各省觀光黃建中等六人抵桂待發
page 5	古井團隊獲勝入龍泉搜索日軍狼狽退回睦洲
page 5	馬君武靈柩在桂舉殯中央代表黃旭初等均皆親自參加執紼
page 5	華振中談嶺東戰局我日爭奪桑浦山政治經濟戰正在加緊中米荒問題現已稍獲解決
page 5	粵各界加緊籌募寒衣下月開始擴大運動
page 5	西康日記一四四第七編由梭坡到九龍
page 5	會計人員考試粵三考區主考人員派定
page 5	四行桂分處大量放款總額二千五百萬元改進生產收購物資 
page 5	日本反戰同志演出東亞之光誓為人類正義呼籲發表自願演出誓言
page 5	浙建廳和伍廷颺十一日由桂返浙
page 5	川滇行紀續完
page 6	今日全港僑胞鄭重紀念八一三聯合大會六十團體參加分別舉行獻金售花　　
page 6	商會暫定獻金日期
page 6	四大公司設獻金台
page 6	小販義賣中止舉行
page 6	港學振會開會紀念
page 6	港行政局舉行特別會議立法局非官議員均被邀討論者係疏散費用問題
page 6	三大舞場茶舞獻金
page 6	九龍商會設獻金箱
page 6	中華郵政總局將招考機工監事須對汽車裝置有相當經驗中等工業學校畢業者合格
page 6	通訊隊徵用電單車應徵者定期檢驗
page 6	華僑經濟建設協會港方由陳丕士負責
page 6	崇正總會在鯊魚涌修防空洞
page 6	華北風雲今日在中央公映
page 6	英皇獎學金業經頒發容何二人獲得
page 6	新年將至，願你在一生中有，有用不完的，以後的日子風和麗，風調順，偶爾有人，平時經常有人給你送，有人逗你，生氣時想誰就誰，你永遠有個最(，你最需要的時候有，沒事時聽聽，寂寞時和朋友，有時間時和朋友一起..... 還要記得常常，有個的身體，遇事別，這樣你就會永遠！ 返粵僑胞未能啟程葉蘭泉談原因
page 6	粵各大學分別遷回省府補助遷移費用 
page 6	元培紀念圖書館中英庚款會撥助一萬元紀念基金將於月底結束
page 6	越南氣象局停播氣象原因無法探悉
page 6	婦女五百名准免疏散自謀生活婦女亦留港
page 6	艾黎演講工合情況在海倫那梅公所
page 6	便宜書店今日開始營業
page 6	新任駐土公使張彭春日內離港赴任
page 6	防空
page 7	本屆足球聯賽華人隊景象蓬勃比賽秩序明日可見分曉
page 7	東方遠征追記
page 7	怡保雙勝 
page 7	南華足球隊力謀整頓下週開始練習
page 7	青支會舉辦會友籃球賽定今日開始報名 
page 7	星島威震檳城三比一再勝巫人隊
page 7	滬合眾盃籃球豈凡冷門突出勇挫友聯打破鴨蛋紀錄
page 7	體壇瑣聞
page 7	外匯牌價昨無變動英匯沉寂美匯仍緊
page 7	國幣市況略見好轉
page 7	股票略見起色昨日成交三萬餘元
page 7	八九金市依然堅穩
page 7	南華水藝會今夕舉行
page 7	星島對全星之戰一比二雖敗猶榮
