page 2	英國政策的一個難題  
page 3	美國注視上海局勢哈特抵滬參加會議各國司令今日開會商防區事
page 3	八一四空軍節行都熱烈紀念全國各地同時慶祝慰勞空軍
page 3	桂林中正橋大致完成已可通行
page 3	建設西北西北建設促進會籌備會在陝成立
page 3	英輪遇盜在福建海岸被海盜騎劫
page 3	高普考失業人員中央力予救濟銓敘部重修正救濟辦法
page 3	桂文化供應社出版物展覽黃主席等均蒞臨參觀
page 3	上海租界戒備仍嚴 
page 3	張嘯林在滬被保鑣擊斃門生吳建臣亦同時被殺
page 3	政府當局嚴禁走私囤積行政院已通過限制辦法
page 3	日水兵一名向我投降不願再受其軍閥欺騙 
page 3	陳嘉庚抵筑
page 3	粵政彙聞
page 3	滇續發現金礦蔣委員長飭令積極開採硫酸廠開工產量增加中
page 3	桂汽油進口一律免稅三月為期
page 3	日汪將訂契附有秘密條款
page 3	浙海日艦繼續騷擾桂南我向綏淥進擊
page 3	論驛運問題一
page 3	法日對越南問題談判範圍極廣泛哈里法克斯曾向郭大使表示英美對越局發展正保持接觸
page 4	柏林空襲警報英機大舉出動反攻希特勒召開軍事會議
page 4	英德爭奪制空權
page 4	德機轟炸目的在機場及商船
page 4	溫哥華市政會議議決對日報復日如虐待加拿大加對日僑決不寬貸
page 4	貝當廣播演說政府遷返巴黎尚難實現法閣討論遠東問題
page 4	東非英艦隊砲轟義軍英軍連日反攻獲勝義集中實力圖再逞
page 4	法最高法庭檢舉失職人員委出預審推事三人進行偵查所犯罪狀
page 4	我教部捐贈羅國圖書二十四史及十通各一部
page 4	大橋忠一昨訪松岡商外交人員調動
page 4	德國對土一籌莫展納粹宣傳失敗
page 4	日本西部發生地震
page 4	澳閣員遇難英表示哀悼
page 4	愛總理表示決堅守中立力足抵抗任何侵略愛人民無意援助交戰國 
page 4	蘇報評論日新體制運動勢必引起國內尖銳衝突近衛放棄一黨政策
page 4	日對荷印加緊經濟侵略積極擴充日貨市場
page 4	近衛感冒三相會議延期
page 4	英外相的聲明
page 4	滬租界防區問題
page 4	日本大毒窟製造毒物運至外國美揭發後捕人了事
page 4	美入口白銀八月初週以日本為最多其中不少係在華攫奪者
page 4	日又神經過敏想出種種方法提防間諜活動
page 4	美參議員向議會提援英計劃准加拿大歸附汎美集團美應以驅逐艦售與英國
page 4	從技術上的問題談加強西北公路運輸二
page 4	蓋達撰文抨擊希臘義將向希提出抗議希不放棄英國保證 
page 4	義國北部遭空襲
page 4	英南岸傳被砲擊
page 5	我軍增援中山八區斗門正醞釀大戰日軍侵各沙圍犯斗門
page 5	澳岐交通又傳開放
page 5	睦洲日軍調動頻繁
page 5	鰲魚沙仍在我手中
page 5	中央軍政各校在曲江辦理招生粵青年團亦招學員
page 5	黃麟書視察粵東國民教育
page 5	江西公路處改良交通發售贛湘聯運票
page 5	陳立夫過蓉談西北在進步中禁烟成績斐然難能可貴望實業家投資建設西北 
page 5	乍配林談郵資加價加價復亦屬低廉越緬信件仍可通
page 5	西康日記一四五第七編由梭坡到九龍
page 5	梅縣電省呈請公務員支國幣薪八月分起照額付足省務會議已予通過
page 6	紀念八一三獻金運動成績可觀金銀貿易場達十三萬元華商總會仍將繼續捐輸
page 6	華商總會
page 6	金銀貿易場
page 6	廣聯商會
page 6	婦女兵災會
page 6	義務擦鞋
page 6	粵省振會辦理僑民歸國登記者已查訖
page 6	澳洲發生飛機慘劇代督電澳總理致唁
page 6	九龍增設兩防癆贈醫所尖沙嘴設英童書院舊址深水埗則設官立醫局內
page 6	國府特種考試粵會計人員考試分曲江開平香港三區舉行香港區委廣託州學代理
page 6	雲南省府訂定僑胞入境規則通告海外各地僑胞知照俾便入境時稽查及招待
page 6	紀念空軍節推行航空教育學振會昨未能開會紀念響應組織模型飛機協會
page 6	防空當局建防空壕修頓遊戲場已動工
page 6	基督教團體節建儲運二期成績良好共得四十五萬三千餘元三期結束在九一八紀念
page 6	四大公司
page 6	華北風雲義演獻金
page 6	國貨公司
page 7	本屆足球聯賽第一週失序排定球迷眼福不淺星島巧逢東方南華集中實力僅派一隊參加
page 7	水上運動活躍本月下旬西青四角競技勵進團定期再戰域多利
page 7	星島足球聯在檳全勝前天力克選手隊昨日移師仰光
page 7	東方遠征追記 
page 7	昨晚三角游泳中青獨冠群英南華搶得亞軍華人屈居第三男子二百米接力創全國紀錄
page 7	外匯牌價申匯略漲英匯黯淡美匯穩靜
page 7	股票市況堅穩賣戶堅持成交尚少 
page 7	八九金市依然靜穩
page 7	金銀出口上半年統計
page 7	國幣市況仍屬平淡
page 7	鐘聲二次水藝今晚八時開始
page 7	南華對抗港大
page 7	東方二次水藝
