page 2	所謂上海防區問題
page 3	滬租界防區新分配中區決由美軍接防
page 3	日方失望之餘圖以大言恫嚇 
page 3	傳日向泰國提出新要求內容與向越南提出者大致相同泰將派代表團赴日
page 3	交通部存滬材料被日人搬走
page 3	日機五十餘架昨飛瀘縣肆虐自貢市加醫院中彈被毀
page 3	滇省婦女團體電羅斯福夫人申謝竭力主張援華制日
page 3	日四監視團員由越返日攜回大批經濟材料
page 3	桂南我加緊掃蕩龍州西日軍肅清 
page 3	行政院重申前令嚴禁囤積居奇違者依法懲治決不寬貸
page 3	粵省當局組訓婦女俾參加抗建工作
page 3	滬自來火公司工潮解決已定今日復工
page 3	曲江人口物資實行澈底疏散商店均已遵令依時停業
page 3	論驛運問題三
page 4	德機出動兩千架空戰入新階段英宣布把握制空權秘密武器試用有效 
page 4	英首相邱吉爾在眾院報告英國被侵危機仍未過去下週對戰局將再作聲明
page 4	英機取道襲義瑞士提出抗議
page 4	近衛謁日皇報告最近政情
page 4	美參議員提出售盤援英案參院表示熱烈擁護傳英允割讓屬土為報酬
page 4	日輪在巴西運咖啡赴德共五百噸
page 4	英財政預算案三讀通過徵稅增加勢所不免
page 4	日與荷印成立協定規定運原料赴日辦法
page 4	希臘內閣召開會議討論應付對義關係
page 4	東非義軍陸續有發展地中海西部義船艦絕蹟義方宣稱已控制埃海面
page 4	北平圖書館袁同禮代理館長
page 4	政務巡視團蔣作賓等一行將赴滇東視察
page 4	日泰關係 
page 4	英德空戰益猛烈
page 4	蘇聯人士注意委座八一三演詞 
page 4	南海大風暴前暹羅的命運
page 5	川發行建設公債第一期四千萬元興辦川省各項經濟建設 農貸一萬萬元已開始放款
page 5	斗門附近各鄉老弱婦孺疏散青年紛起參加抗戰大軍開到防務鞏固
page 5	桂林中國銀行大放農貸七個月內貸款二百萬
page 5	農林部注重管理天然森林陝甘川設五管理所
page 5	別動總隊開入南澳
page 5	開放交通原來如此
page 5	粵財廳舞弊科長三人在渝韶被捕 
page 5	大涌口日艦退三灶
page 5	西康夷族同胞歃血誓師參加抗日前線
page 5	西康日記一四七第七編由梭坡到九龍
page 6	教育當局施行新則例義學請免執行未准布政司函覆羅旭龢解釋提議不致減少學額辦法
page 6	羅爵士覆陳蘭芳函
page 6	布政司覆羅爵士函
page 6	東華義學大加擴充 
page 6	桂當局將派員來港招待僑胞返國羅旭龢等曾致函桂當局張兆棠經得桂當局覆電
page 6	八一三獻金運動華商總會仍繼續收捐款四大公司各台今日結束
page 6	各校紛紛增加學費
page 6	五大獻金台
page 6	小販工商會
page 6	超立研究社
page 6	鯊魚涌一帶掘防空洞千餘嘉屬振濟會經派員視察修築被炸石橋兩週竣工 
page 6	華南基督教人士籌組兒童教養會設二十所收難童一萬名擬發動籌款港幣四十萬
page 6	集木行商會
page 6	本港代督頒布燈火管制演習令廿七日日落至廿八日晨二時上列時間實施管制條例
page 6	廣州大學遷台山交通困難決定分期進行港校暫時仍將繼續開辦
page 6	八月講座中新同學戰研會主辦聘請新聞界各先進講授
page 7	岷甸奴對港啤今日作最後決戰全部門票收入撥作援英戰費英葡國際比賽改期明晨舉行
page 7	南華游泳會今日戰港大
page 7	中華體育協會糾紛或可解決代表晉謁王正廷結果王氏將出而從事調解
page 7	青年會籃球隊今日出征澳門
page 7	夏令籃球今日晨鍾戰僑星初級南商對洪流
page 7	外匯牌價仍無變動美匯續淡申匯穩定 
page 7	八九金市續趨下游
page 7	國幣市況依然堅穩
page 7	歐洲戰局影響股票好淡不常昨日存戶拋出成交略增
page 7	德權鼎小球六路爭雄今日在海軍球場
page 7	本屆足球聯賽最初兩週秩序東方節目重頭連遭勁敵南華過關斬將可望如意
