page 2	泰日關係的現階段 
page 3	桂南空氣漸見緊張寧明以南連日激戰日機近不斷偵察防我反攻
page 3	滬特一法院否認刑庭遷徙傳說
page 3	紀念馬君武桂當局籌設學校
page 3	臨別紀念英日軍車互撞英方提出交涉
page 3	滬租界恐怖案件將有增無減界外匪徒勢力日漸擴大 
page 3	越南與泰國關係仍緊張雙方軍隊在邊境對峙中日閣對南進傳將有決定
page 3	粵財政廳長由鄒琳繼任鄭彥棻任粵省府秘書長雷法章代理魯民政廳長
page 3	慰勞團行蹤
page 3	豫慰分團
page 3	贛青慰團
page 3	桂婦慰團
page 3	抗建綱領譯成蒙藏文字寄蘭分發閱讀
page 3	蔣院長關懷渝被災難胞加撥一百萬元辦理急賑日機三批昨又飛渝肆虐
page 3	林語堂來港奉命出國從事研究
page 3	女倀就逮正在訊辦中
page 3	某戰區經委會將在桂開會顧翊群親往主持
page 3	外交部召回駐四國公使
page 3	英援華會代表分訪英當局要求期滿後開放緬甸路並允救護用之汽油通過
page 3	湯仲明新發明動力機用途頗為廣泛 
page 3	滬又一槍擊案
page 3	陳嘉庚抵貴陽暢談南洋僑胞愛國熱誠桂林各界開會準備歡迎
page 3	論工業標準制一
page 3	美國政府同意滬防區過渡辦法日軍昨已接防公共租界西區中區今日起由萬國商團維持
page 3	晉南我積極出擊同蒲路交通中斷
page 4	邱吉爾昨發表演詞對歐洲大陸維持嚴格封鎖並準備於明後年採取攻勢
page 4	日輪停駛英國
page 4	英機襲擊德義 
page 4	羅匈談判暫告一階段軸心國家表示樂觀保國接受羅方會議計劃
page 4	美國輿論一斑
page 4	溫莎夫婦將赴美游歷並赴加拿大一行
page 4	美國記者預測美澳成立聯防
page 4	義國在阿爾巴尼亞加緊鼓動反希情緒 
page 4	何來神風
page 4	馬來聯邦發行公債以供作戰之用
page 4	印度軍隊迅速擴充汽車廠加緊工作
page 4	國際勞工局將遷往加拿大
page 4	法國規定駐外使領名額計大使十六人
page 4	應該如此
page 4	東非戰事
page 4	德國製就高性能轟炸機
page 4	英首相向美呼籲出售戰艦援英英國已同意轉讓屬土美加聯防工作加緊邁進中 
page 4	德將加緊濫炸
page 4	英軍棄守東非
page 4	邱吉爾
page 5	韶關預防空襲強迫疏散人口物資上午七時至下午三時停業
page 5	泰國軍人訪問越南拜謁越南新總督
page 5	十五日起實行疏散
page 5	取締囤積危險物品
page 5	防空時間秩序寧謐
page 5	中山團隊克復大小托日犯古井又起激戰
page 5	我國文化界籌組蘇聯訪問團擬定計劃說明任務預期明年一月赴蘇
page 5	高考及格學員留渝參加工作
page 5	外商小輪行駛浙海
page 5	桂林七團體時事座談報告憲政及中日戰事
page 5	渝參議會研討平價 
page 5	蟻光炎夫人上訴大理院不滿高庭判兇手刑期請依刑法定被告之罪
page 5	滬日軍又宣佈封鎖閩浙沿海中外商業大受損失日輪乘機兜攬生意
page 5	駛閩船隻無法卸貨
page 5	設空襲聯合辦事處
page 5	西康日記一五○第七編由梭坡到九龍
page 6	胡木蘭由渝返港呼籲各界競捐棉衣中振會聘胡女士為委員港各團體進行募衣運動
page 6	胡西園平安抵港上海　要求合辦銀行臨行未通知家人故傳失蹤
page 6	人口過擠當局力求解決辦法
page 6	愛爾維拉確被日方扣留 
page 6	各大學學生聯誼會本月廿八日舉辦音樂會月杪開會決定下月工作
page 6	衛生局批准搭架難民草屋僅為九所可容難民百人葉蘭泉將請求當局增加
page 6	麗池一瞥傳於本星期內開幕餐廳泳池設備就緒
page 6	振聯會
page 6	沙宣爵士
page 6	華商總會
page 6	華靈敦
page 6	汎美機
page 6	象棋比賽
page 6	衛生局昨日例會羅氏提改善傾棄垃圾案原則通過交小組會審查
page 6	堅民公司科學化賽皮鞋上市
page 6	柴薪回跌每元可購得五十斤由新加坡大批運港
page 6	紅十字會總辦事處昨舉行常務會議
page 6	亂世佳人最長的影片將在本港開演三十大本共需三小時餘英美兩國均係一次演完
page 6	過去的經驗
page 6	為雙方著想
page 6	有力的號召
page 6	票價之高低
page 6	登記教師七十二人昨赴韶
page 7	東方場地問題決與南華合作雙方今日簽訂場約門票收入三七分拆 
page 7	滬高級單打賽許承位鋒芒畢露直落三擊退名手唐寶嘉
page 7	上海國際網球羅泊盃賽中華輕取法國
page 7	夏令籃球漢華隊大勝知行高級賽因雨改期
page 7	記者水運會極積進行同樂會遊藝秩序業已決定三大項
page 7	星島足球隊移師仰光首戰勝文員結果二比零
page 7	外匯牌價昨日回縮英匯沉寂美匯仍緊
page 7	八九金市價格起落甚平 
page 7	市場人心安定股票漸趨活躍低價股票成為眾矢之的全日成交總值逾十萬元
page 7	國幣市況依然堅穩
page 7	今夕中西游泳對抗勵進團再戰域多利
page 7	隨征一得各地球藝水準續
page 7	孤島人物誌 
