page 2	從倫敦想到重慶
page 3	我軍準備發動反攻陳誠將軍即赴前線昨發表談話表示必勝決心
page 3	不堪經濟壓迫東北農民罷工
page 3	日方迭造謠言圖藉口侵越我外交界特揭破其陰謀日對法覆牒已送達維希
page 3	泰國將派遣三代表團赴歐亞各地訪問
page 3	某戰區經委會已在桂林閉幕通過提案二十餘件
page 3	拘獲匪首有功上林縣長獲獎
page 3	黔省吳主席歡宴蔣作賓
page 3	滬西睹窟依然存在
page 3	滬又一槍殺案杭州人周金印被人擊斃流彈傷過路女學生二人 
page 3	海外各地華僑踴躍捐款購機
page 3	南京亡華談判日人絕對控制汪兆銘唯唯諾諾無置啄餘地汪報無話可說祗有保持緘默
page 3	駐滬英軍二批撤退
page 3	蔣夫人視察渝市災區
page 3	滇省各界發動徵募寒衣空軍將士捐贈慰金曾漁生獨捐一萬元
page 3	松岡的新姿態欲在外交上造成一點朝氣企圖給予日人以深刻印象
page 3	專科以上學校失學學生教部繼續舉辦登記分發相當學校借讀
page 3	戰鬥中的山東軍事政治經濟教育日有進步
page 3	英使卡爾定期由滬來港
page 3	懷疑勝利的人們安心罷我們自己所產軍火數量相當可觀今後更加倍努力自可打破一切難關由軍火問題談抗戰必勝
page 3	行都百三十五團體通電全國同胞日機濫炸不能動搖抗戰意志擁護國策到底爭取自由獨立
page 3	國府明令褒揚錢鴻業
page 4	英倫海峽砲戰德遠射砲竟夜逞威英岸防砲隊亦還擊倫敦昨晨又有空襲 
page 4	英國議會休會兩週倘環境必要可提前集會內閣人員更動臆說又熾
page 4	阿根廷總統辭職職務委副總統代理
page 4	英政府對希堅決履行保證倘希抵抗侵略將即予援助希政府舉行特別會議
page 4	澳洲供給英印軍火
page 4	日將舉行防空演習下月一連五天
page 4	美國發現頭等錳礦含百分之三十錳質
page 4	羅閣召開御前會議宣傳部長辭職
page 4	蘇名飛行家研究宇宙光
page 4	巴庫發現巨大油池
page 4	德外交部派專使赴蘇討論擴大德蘇商約範圍克里浦斯晤米高陽
page 4	一群新配角近衛新體制運動準備會人選決定
page 4	高爾廣播指責貝當謂以飛機轉奉敵人
page 4	巴杜恩廣播反駁英相宣言勸英停止對歐封鎖 
page 4	英加緊封鎖德義對美貿易美飛剪機重受檢查
page 4	陳誠將軍之壯語
page 4	義希關係險惡
page 4	美眾院批准授權法案美軍力將增強
page 4	埃及戰雲瀰漫雙方空襲加緊
page 4	英德之鋼鐵供給一
page 4	西不管部長已被解職為著名法西斯黨員
page 4	美國製造巨型轟炸機馬力四萬二千匹造費一百萬美元
page 4	美總統接見海陸長討論借英屬地問題美加聯防部雙方代表已委出
page 4	英國新式戰鬥機
page 5	中山我軍出擊又克復要地多處岐關車路游擊隊活躍廿八通車勢難實現
page 5	百花頭我收穫戰果
page 5	斗門古井在戒備中
page 5	李宗黃談全國新縣制十五省已分別實施三年以後憲政可成
page 5	粵省籌募寒衣金三十萬各界開會商募集辦法上年度成績分予獎懲
page 5	桂南三縣探採金鑛探鑛隊本月初成立省府飭縣保護工作
page 5	重慶點滴
page 5	西康日記一五三第八編九龍見聞
page 5	川康鹽務局籌設戰時食鹽購銷處辦理食鹽統購統運統銷財部批准已定期商進行
page 5	瓊崖孤軍奮鬥一度攻入瓊東城文昌激戰日慘敗
page 6	本港各僑團組織聯合徵募寒衣委會以超逾一百萬元為目的全國徵募會函本港呼籲
page 6	全國總會向港呼籲
page 6	并募舊衣
page 6	輔助女看護
page 6	砲兵演習
page 6	東江水災
page 6	昨日中外人士追悼澳督巴波沙港代督等均派代表參加主教華打鐸主持追悼禮
page 6	廣州灣日艦
page 6	颶風餘聞
page 6	認識閃電戰本月二十七日舉行大規模之燈火管制
page 6	肺癆病統計
page 6	檀香山飛剪
page 6	代督諾爾頓中將昨視察廣華醫院對該院之設施垂詢備至日內發表視察醫院意見 
page 6	林康侯晤談紀
page 6	廣州灣失事法航機係被日艦繫落機內五人罹難
page 6	馮強膠廠和康元製罐廠參觀記
page 6	港英航線輪船仍將照常行駛不因德國宣布封鎖變更航業界認德封鎖難收效
page 6	郵件往來郵局暫不公布日期請不必用電話詢問
page 6	海外部通令寄付公文郵件手續
page 6	義勇消防隊開始招收隊員 
page 7	國際棒球比賽今日中美會師雙方勝負得失有關本屆錦標明天棒球義賽美艦出戰聯隊
page 7	隨征一得
page 7	各地足球的組織
page 7	南華會舉辦女子投籃賽
page 7	星島歸鴻
page 7	德權鼎賽今日六路出動 
page 7	外匯牌價昨無變更英匯黯淡美匯亦靜
page 7	八九金市依然不振
page 7	國幣市況尚稱平穩
page 7	股票市況堅穩昨日成交總值四萬餘元笠金鑛股息宣佈四便士
page 7	域多利鐘聲勵進西青四角游泳競技今晚九時在西青會舉行
page 7	銀幕上的拳王喬路易
