page 2	王外長為越事再宣言
page 3	王部長對越南局勢二次發表鄭重聲明如日本武裝隊伍侵入越南中國將派軍入越執行自衛
page 3	金沙江通航正積極籌備中經濟部特與有關各方合組整理工程處治水
page 3	表彰師資專科以上學校教員服務十年以上獲獎
page 3	粵當局登記農業人才
page 3	中大學生一部經桂來粵浙大校址遷移
page 3	滬恐怖案件昨復趨活躍殺綁搶竟不繼發生
page 3	川善後公債定期抽籤還本
page 3	振委會撥款救濟越境我義民
page 3	粵戲劇界響應獻機運動定下月一日開會商討
page 3	天津大火中原公司焚毀
page 3	湖北省府局部改組雷沛鴻長廣西大學
page 3	晉東頻傳捷報正太同蒲兩路遭破壞犯上思日軍被我擊潰
page 3	朝鮮亡國日今日在渝舉行紀念
page 3	中央在桂籌設大規模製茶廠潘宜之抵桂考察之談話
page 3	桂當局嚴令加緊緝私
page 3	在華日軍官又一批戰死
page 3	東南歐各國經濟現勢二
page 3	忠烈可風曾詠被日迫供至死絕不屈服
page 3	川省新縣制成績優良將派員赴各縣督導
page 3	日汪亡華談判告一結束
page 3	助民割稻運動青年團總部大規模發動滇黨部奉令即飭屬推行
page 3	日機三架被我擊落
page 3	應日方要求滬工部局組委員會研究選舉手續細則
page 4	巴爾幹緊張中德義召集會議今日在維也納舉行將阻止新戰事爆發
page 4	日新體制運動演出第一幕近衛解釋新政治體制內容噯昧不明一塌糊塗
page 4	埃及總理否認辭職
page 4	德變本加厲對英施濫炸倫敦四周皆遭蹂躪德國否認在愛投彈
page 4	英外相傳將更調艾登有繼任說
page 4	白鳥敏天任日外務省顧問
page 4	托洛斯基遺體火葬
page 4	德國三種顧慮英國繼續作戰美國加緊援英日本獨霸遠東
page 4	美加聯防會談已暫告一段落下月初在華盛頓重開美海陸空軍數目激增
page 4	議員指摘英美合作
page 4	日本遣出侵荷印先鋒隨員竟多至二十人組織儼如一小政府 
page 4	毫無根據
page 4	打不起來
page 4	美國遠東政策不容妥協屈服
page 4	拉丁美洲的隱憂四
page 4	義希稍見緩和
page 4	蘇羅傳有衝突
page 5	中山我軍出擊石岐市大起恐慌日軍由江會方面馳援岐關車昨日果然不通
page 5	岐關車路此路不通
page 5	浮墟橫徑又起激戰
page 5	白蕉方面日　火併
page 5	黃麟書視察粵東教育觀感小學教師生活清苦
page 5	重慶大轟炸後市容恢復極迅速老百姓充滿奮發精神各機關協助難民疏散
page 5	贛建廳組商車隊供應緊急軍運
page 5	日軍封鎖影響洋商輪被迫停航七十二艘滯泊浦江航業衰落前途黯淡
page 5	西康日記一五八第八編九龍見聞
page 5	賓陽商民保衛西南獻金輸將備極踴躍
page 5	陸軍軍官佐任官條例施行細則附錄國民政府公佈全文
page 6	啟德機場堆砌沙包灣仔將建大防空壕　
page 6	比較上次略見進步
page 6	試驗警報機今日下午二時舉行
page 6	持煙火者拘署儆誡
page 6	立法局今日例會普樂爵士將提出三問題修正戰稅法一二兩則例
page 6	回教博愛社擴充義學維持失學子弟
page 6	財委會討論追加預算$969412
page 6	我空軍轟炸廣州該處來客談傳我即反攻市面空氣緊張居民逃澳
page 6	霍亂症日增兩日發生十宗
page 6	基督教大學學生統計六千六百八十八人 
page 6	教師聯合會祝孔並改選職員
page 6	女教員生育應予優待僑委會擬定辦法
page 6	香港舊書店書籍廉售
page 6	蔣夫人擬南渡慰問僑胞渝團體組僑胞訪問團事因南洋形勢緊暫行擱置
page 6	記者紀念記者節各廠商餽贈禮物將用抽彩方法分贈會員影星紫羅蘭屆時表演歌舞
page 6	粵救委會香港分會昨日召開特別常會
page 6	啤酒稅之增減 
page 6	十王殿設公廁
page 6	修正戰稅則例
page 6	史塔士道交通
page 6	港越交通尚無恢復消息裕生輪昨日已折返本港越南局勢日內當可明朗
page 6	越南保險現已恢復
page 7	東方勵進游泳對抗高妙玲大顯身手五十米自由式平等全國紀錄勵進人材平均獲得最後勝利
page 7	馬來亞埠際足球星洲獲錦標最後決戰二比零勝吉打 
page 7	住聯小球隊訪澳歸來成績一和二負
page 7	上海游泳成績
page 7	夏令籃球初級組東方隊冠軍希望濃厚
page 7	外匯牌價俱無變動美匯靜穩申匯仍淡
page 7	傳越南形勢又緊股票轉趨靜寂買賣範圍狹窄成交僅二萬餘元 
page 7	國幣穩靜
page 7	滬外匯市況趨勢不定
page 7	八九金市尚屬靜穩
page 7	今晚水上運動南華鐘聲分別舉行
page 7	光華足球隊整頓陣容昨開首次大會規定練習時間
page 7	球藝簡評
page 7	歷屆戰績
page 7	體育的哲學二
