page 2	英美協定的重要性
page 3	英美密切合作海軍協定簽字公布美艦英土同時成交美在太平洋實力將愈增強
page 3	倫敦正式公布締立協定經過
page 3	英感極大滿意德國不予重視
page 3	哈特抵滬與貝克商討防區問題
page 3	日機襲筑
page 3	上海日兵搜查輪船
page 3	美將集中實力應付遠東危機
page 3	美報一般評論大體皆甚良好
page 3	美貸款說紐約銀行界認為不確
page 3	統一錄取新生名單在渝發榜共計六千九百二十四人
page 3	陳嘉庚抵曲江各界今日舉行歡迎大會
page 3	被日強徵壯丁反正待命報國
page 3	晉東續克要點進迫遼縣昔陽
page 3	上海兩租界形勢日緊張當局竭力加強防務
page 3	荷日開始煤油談判
page 3	荷印當局作充分準備陸軍司令坦白表示必要時將破壞物資
page 3	美艦準備交付
page 3	美在大西洋的海空新根據地 
page 4	山雨欲來風滿樓越南情勢愈見緊張戴古向我擔保不許日假道我軍集越邊準備隨時出動
page 4	羅鐵衛軍發動變亂未逞在王宮前鳴槍要求羅王遜位軍警出動包圍羅京極力彈壓
page 4	英德爭霸戰英國空軍實力增進中德軍在英登陸極困難
page 4	蘇匈簽訂商業航運條款蘇方以礦植物換取交通工具
page 4	羅匈如有戰事德將武力制止
page 4	日新體制準委會討論組織大綱明日將再開會通過草案
page 4	貝當向法屬地廣播呼籲團結一致要求破除成見效忠法國太平洋法屬擁護高爾
page 4	蘇芬劃界大致已完成議定青年底可簽署
page 4	艾登演講德未放棄攻英
page 4	一個對照
page 4	歡送霍華德先生
page 4	巡視太平洋防務途中的美國海長諾克斯三
page 4	日本海相辭職傳日軍將於六日登陸
page 5	閩侯公民請願嚴禁農村高利貸並告發保甲長舞弊情形省府已取締及推行農貸
page 5	桂林國民月會黃主席報告時事日犯越南須待德國失敗攻滇攻桂得此均無所用
page 5	泰英不侵條約上月底正式換文全文六款有效五年玫瑰宮內行換文式
page 5	南僑籌賑會難童捐本月匯回四十九萬
page 5	岐關車又在行駛既遭襲擊客輪極為寥寥承辦人老本恐保不住 
page 5	西康日記一六三第八編九龍見聞
page 5	泰越鐵路接軌工程泰境十月內完成越南詳情尚未知
page 6	美記者視察團霍華德等昨日先後抵港霍氏在渝曾謁見蔣委長今晨偕同團員乘機返美
page 6	團員七人由菲抵港 
page 6	美無參加歐戰之意
page 6	美同情我惜難全助 
page 6	對新嘉坡美人隔膜
page 6	回教團體推行慎終追遠運動
page 6	澳運來瓜菜共千餘籮廣州鄉民多經澳來港 
page 6	九龍霍亂症發現日多醫務當局密切注意
page 6	新界農業會請商會協助發展以求本港蔬菜自給自足商振會各委員紛紛捐助
page 6	閩府籲請港僑投資開發礦產特將各縣礦產情形開列並准予得享受獎勵辦法
page 6	佛山輪昨又停航廣州日軍禁港澳輪入口白銀丸抵粵後昨亦折回
page 6	中央振委會第九救濟區派員赴東江視察
page 6	中國化學會近訊
page 6	史美更正牟根談話疏散婦孺係屬強制
page 6	英美關係空前密切
page 6	澳洲荷印觀感良佳
page 6	過新嘉坡暢談觀感
page 7	足球大戰前夕各球會勾心鬥角幕後拉伕活躍名將聲價百倍星島究竟如何目前尚是一謎
page 7	夏令籃球南商力挫洪流
page 7	南華檢討實力週末約隊比賽聖約瑟昨亦開始操練
page 7	青支會主辦學界水運定雙十節舉行
page 7	中英網球名將馬來亞巡迴表演許承基與休氏雙方互有勝負門券收入一半賑災一半援英
page 7	外匯牌價昨無變更美匯市況先緊後淡
page 7	國幣略降最低為二二一五
page 7	八九金市仍穩但靜
page 7	英美成立海軍協定股票續趨好轉買戶踴躍股價亦多回漲
page 7	足球總會十一日開月會討論聯賽秩序
page 7	星島足球隊七日凱旋
page 7	港澳埠際小球定雙十節舉行港聯陣容堅強名將如雲本星期日約戰陸軍聯隊
page 7	游泳冠軍賽本月十四日截止報名預賽日期將提前舉行
page 7	週末友誼賽東方戰光華
page 7	特別銀牌籃球今日開始報名
