page 2	一張一弛的越南局勢
page 3	越南局勢突轉和緩美國對日提出警告昆明河內無線電話今日通話
page 3	我方發言人談越局真相
page 3	慰勞總會發動全國秋節勞軍湊足慰勞金一百萬元規定分八區分別舉行
page 3	王正廷滬寓被日人搜查攜走文件並拘去兩管家
page 3	前北大教授林公鐸逝世
page 3	滬工部局捐款四千元賻贈張案波僑家屬
page 3	滇新聞界寒衣募款總數超過八萬元
page 3	陳肇基氏談西北考察印象軍民奮發朝氣蓬勃前途無量
page 3	李濟深抵桂將赴各戰區視察
page 3	中美借款各方均予否認
page 3	對滬租界防區問題赫爾發表聲明堅決反對日本全部獨佔企圖哈特等在滬開會商討
page 3	抗戰來貴州工業鳥瞰二續二日本版
page 3	及川古志郎繼任日海相 
page 3	法日談判未停
page 4	上思發生劇戰晉東攻勢收穫重大我空軍飛運城投彈
page 4	德機襲倫敦議會被迫宣告暫停英機連日轟炸柏林
page 4	日扶輪會退出國際扶輪總會
page 4	共和黨領袖表絕對贊助威爾基作墾切表示議會孤立派仍叫囂
page 4	美政府專家論海軍協定美國防務更臻鞏固力足應付任何局勢
page 4	紅軍召集服役人員參加正規軍兵役
page 4	希特勒發表演說謂準備與英再戰四年聲言將衝破大陸封鎖
page 4	法荷斷絕外交關係駐法荷使館將無法活動
page 4	美米西根勞工界擁護威爾基反對新政之統制
page 4	加拿大充實紐芬蘭防務興築空軍根據地 
page 4	美國注視越南
page 4	日海軍的裂痕
page 4	雅納爾主張英美艦聯防合作範圍擴至遠東戰勝日本游刃有餘
page 4	邱吉爾報告時局海軍協定為互助辦法英空軍力足應付突擊
page 4	羅成立獨裁內閣匈軍接收割讓區
page 5	韶關鞏固空防人口物資完成疏散省府撥款建築防空壕洞
page 5	澳門新總督爹斯喇即將赴澳覆新
page 5	四邑各地我游擊隊活躍一度進出容奇墟內澳門對海婆蘿島日軍大增
page 5	澳省輪船昨又宣佈停航
page 5	澳果菜行決定對付苦力會同警察監視起卸
page 5	贛省推行國民教育訓練鄉鎮小學校長規劃改辦中心學校
page 5	法機越境
page 5	堯族避難
page 5	召後備兵
page 5	擴充車站
page 5	潛艇演習
page 5	派警駐邊 
page 5	增加預算
page 5	泰國近事
page 5	科長張傑久於其職成績卓著桂省特給一等獎章
page 5	東江各地便利歸僑東江護僑事務所發起沿途組設華僑合作社
page 5	西康日記一六四第八編九龍見聞
page 6	日本郵機失事被焚盤旋一小時忽顛簸而降三人受傷其一打斷頸骨
page 6	機件失靈墜地焚燬
page 6	三人受傷一人留醫 
page 6	兩微傷者由警保護
page 6	華民署大廈闢作避難室指定人員負責 
page 6	港越港灣班輪昨奉准復航海軍當局通知各船公司各公司日內將有船開出
page 6	霍亂症前日增加七宗
page 6	美記者視察團昨晨離港返美前日曾訪問賈乃錫少將港星防衛力強出乎所料
page 6	賈乃錫談保衛香港
page 6	中國化學會香港分會十日召開理事會
page 6	港九織造廠停閉二百餘家戰事影響業務大不如前大小廠家紛紛力謀補救 
page 6	漫協港分會素描習作展覽會今日起在該會畫室舉行九十餘幀均係最近傑作
page 6	新年將至，願你在一生中有，有用不完的，以後的日子風和麗，風調順，偶爾有人，平時經常有人給你送，有人逗你，生氣時想誰就誰，你永遠有個最(，你最需要的時候有，沒事時聽聽，寂寞時和朋友，有時間時和朋友一起..... 還要記得常常，有個的身體，遇事別，這樣你就會永遠！ 昨晨日輪白銀丸空船駛回廣州前日被阻原船折回本港由澳門開廣州輪亦停航
page 6	售價過昂銷路遞減
page 6	大小工廠陸續停閉
page 6	獻劍代表曾蒙總裁召見勉繼續努力爭最後勝利該代表團日內分批返回
page 6	港振濟會中山登記公務員定十日出發赴韶
page 6	亂世佳人 
page 7	球城秋風送爽足球賽應時上場光華會明日對抗警察南華會改期約戰士葛
page 7	棒球聯賽錦標展期下週決戰明日岷甸奴約戰葡萄牙國際賽後再來掂掂斤兩
page 7	林山大賽蔡惠全敗北
page 7	星島歸鴻
page 7	南華週年水運全部項目昨正式公佈渡海泳定廿二日舉行
page 7	夏令籃球印警戰勝晨鐘鷺星敗於鮀青
page 7	港圓外匯牌價回漲美匯穩定申匯好轉
page 7	八九金市略形鬆弛
page 7	時局形勢銷弛股票扶搖直上買戶活躍成交十四萬元
page 7	國幣昨日回漲
page 7	泰國家運動場建築大部完成全部看台可容納觀眾九千人游泳池體育館亦在計劃之中
page 7	匈牙利體育概況上
page 7	球國球人球事緊張刺激興奮
