page 2	評近衛的新組織大綱
page 3	法日果已成立妥協允許日軍假道登陸我方已作一切必要的準備
page 3	荷屬東印度作戰時準備日代表團後日到達
page 3	粵省當局推進國民教育文化事業開展亦極速
page 3	某戰區經委會中心工作業經委員會通過
page 3	埃及婦協會長同情我國抗戰胡達夫人函蔣夫人致敬並捐一百鎊救濟我難童
page 3	教育部獎勵成績優良學校
page 3	滬劫案迭出大新公司被搶去十萬元法租界在西區加緊檢查
page 3	陳嘉庚抵泰和熊主席設宴招待
page 3	國府明令褒揚柏惠民
page 3	桂南上思激戰晉境我軍活躍
page 3	寒衣運動鄂浙分別進行中
page 3	上海法租界糞夫罷工
page 3	桂林大火焚屋六十餘間
page 3	渝市下月起禁售奢侈品共包括七十七種
page 3	遠東德記者齊集北平
page 3	渝新運模範區業已動工興建黃仁霖報告內部情形
page 3	東北四省旅桂同鄉定期成立同鄉會
page 3	黔省甕安縣志願兵入營各界舉行歡送大會社會部並頒給獎狀
page 3	周恩來新職戰地黨政會副主委
page 3	日人反戰同盟將組西北支部鹿地亘日內由渝赴天水林蔚嘉勉西南支部盟員 
page 3	一向過著寂寞日子的老街也受到侵略者的撫摩滇越路禁運後的老街
page 3	美半禁絕原料運日東京方面表示憂慮
page 4	倫敦遭遇空前猛烈轟炸泰晤士河畔火燄連綿十里英人態度鎮靜不屈戈林親自指揮攻襲
page 4	德投特大重彈爆炸威力猛烈
page 4	倫敦市民鎮靜力謀保持常態
page 4	美國徵兵案兩院意見分歧點可消弭本星期末可制定為法律
page 4	英增調軍隊充實近東防務澳空軍及印軍隊已到達埃及義空軍加強轟襲紅海
page 4	羅保糾紛解決保人狂熱慶祝
page 4	巴拉圭推定臨時總統
page 4	留英日輪德國不予安全保證迫不及待定期駛回
page 4	瑞士又傳芬總統逝世
page 4	南斯拉夫工人示威巡行原因在物價高漲
page 4	日將開始戶口調查
page 4	羅總理武力彈壓鐵衛軍活動調集軍警駐守通衢曼紐反對獨裁政治
page 4	新體制準備會四次會議審查組織大綱
page 4	日外交人員又有一批調動建川美次任駐蘇大使並派西春彥從事協助
page 4	羅國遜王行抵瑞士
page 4	辦理要澈底 
page 4	懷念倫敦
page 4	全國舉行祈禱英王巡視災區
page 4	世界大戰與回教前途二
page 4	議會附近中彈兩防空室被炸遭難者眾
page 4	空襲觸目驚心合眾社記者之生動素描
page 5	候用公務員粵省府錄用一批分發任用外多送驛運所學習
page 5	復興重慶市災區免照建屋渝市府公布辦法十一條便利市民暫建棚廠平房
page 5	西昌煤鐵省府委任人員分區從事開發
page 5	中山日軍侵擾花地
page 5	廣東省新縣制實施近況管教養衛同時實施縣等劃分分為五等
page 5	縣長書記長互相調任粵省黨部得中央復電謂切時要計劃審查中紫金書記長等被扣
page 5	西康日記一六七第八編九龍見聞 
page 5	桂融縣縣長貪污被控省令拘縣訊辦
page 5	亞洲評論載蕭乾暢談滇緬路該路為新中國之長城公路完成鐵路已在趕築
page 5	桂政工組十二區主任派定
page 5	澳門附近客艇被截日艇盡迫搭客上岸難民百餘下落未明
page 5	岐關車停止開放僑務處辦事處一齊拆台某公司三十萬元將化為烏有歐大慶被我游擊隊擊傷 
page 5	力謀糧食之開源節流
page 5	管理經費
page 5	管理機構
page 5	管理糧食市場
page 5	全國糧食管理局公布管理川省糧食辦法
page 6	警署通告保衛團組織綱要華商會昨開會物色團員先由中區著手按序進行
page 6	登記義民尚未成行原因省振會港辦事處昨發表今日首途者係公務員
page 6	公務人員
page 6	工合艾黎由菲返港在菲會公開演講
page 6	孔院長嘉獎羅伯生在華救難有功 
page 6	桂省振會招致港僑投資訂定墾殖計劃予以便利墾區地點暫擇柳江流域
page 6	重砲操演本週三四五日舉行
page 6	嶺大明日開學同時舉行新生入學訓練學生激增約超過六百人
page 6	廣九路英段今日通車每日上下車開八班 
page 6	記者圖書館雙十節開幕組織管理委員會
page 6	軍事紀錄片百粵風雲行將與僑胞相見
page 6	小販超立社定期選舉新職員
page 6	中大服務團開展三項工作大批藥物內運
page 6	李右泉昨晨逝世團防局紳兩月連弱三位香江九老會員已去其八
page 6	商標訴訟案利豐公司得直由冼秉熹律師出庭辯護
page 6	學振會發起籌募救濟金運動由教育部舉辦學生貸金發動全港學校努力進行
page 6	本年戰稅標準按去年營業溢利盛衰不同商人咸以為苦擬向當局請求予以改善 
page 6	遲緩原因
page 6	霍亂兩日發生五十宗
page 6	復奉電令
page 6	辦理經過
page 6	新靚就新都歸來談
page 7	足球聯賽將開始南華會演習頻繁今後十天之內排定比賽五場明日第一戰混合隊對抗工程
page 7	華會球員活躍跳槽風氣大開
page 7	林山大賽力格斯與傑可勃同獲男女決賽權
page 7	甲組聯賽秩序
page 7	本月十五日澳門秋季賽馬董事杯大彩票同時搖彩首獎可得二萬三千餘元
page 7	港圓外匯牌價不動美匯趨淡申匯好轉
page 7	股票市況堅穩九龍電燈香港電車買戶躍躍各股成交總值共達十萬餘元
page 7	國幣價格昨日略漲
page 7	四四金市復趨下游
page 7	匈牙利體育概況中
page 7	公開排球今日截止報名
page 7	孤島足球麗都情景凄凉東華力謀復興
page 7	鐘聲水藝
page 7	中華體協 
page 7	特別銀牌
page 7	夏令籃球
