page 2	南進中的日本對蘇陰謀
page 3	法日協定即將簽字傳日對越提新要求日本商工人等湧入越境
page 3	蔣委長注視滬孤軍事件外交部已向法提出交涉我孤軍竟又被擊斃一人
page 3	粵北亢旱動員助民灌溉
page 3	行政院決定組織陪都建設委會詳細計劃重慶建設事宜
page 3	國府明令褒揚周渤
page 3	九一八九週年蔣委員長告同胞書
page 3	九一八紀念日滬戒備極嚴租界當局厲行無理檢查連九一八三字均被扣
page 3	亡國三十所韓光復軍成立中韓兩民族將並肩奮鬥
page 3	嶺南農學院決定內遷院長古桂芬逝世後李主席特撥治喪費
page 3	晉南激戰未已我軍進迫高平
page 3	本港防空總監施柏堅抵渝考察我防空洞建設
page 3	李濟深勉國人合力禦侮公忠為國爭取勝利
page 3	南洋戰工團第一隊由湘抵桂
page 3	淪陷九年的東北二
page 3	國府關懷旅歐僑胞訓令設法救濟
page 3	滬日人對法院頗感興趣又一批前往參觀
page 3	南京組織傳將改組與王揖唐南來有關
page 3	法拒絕泰要求
page 3	日人伎倆已窮我軍民愈振奮
page 4	義軍犯埃及德機猛襲倫敦德用大砲隔海轟擊 
page 4	里賓特羅甫離德赴羅馬桑納訪德有政治作用
page 4	多瑙河委會全被德人把持
page 4	英相警告國人賡續準備勿懈
page 4	美對遠東貿易汽油廢鐵廢鋼對日輸出減少
page 4	加羅爾將留居西班牙
page 4	適得其反
page 4	生產計劃
page 4	勇於盡職
page 4	昕夕不懈
page 4	確切範圍
page 4	法屬摩洛哥內部發生衝突分擁護高爾與貝當兩派西班牙派軍在邊境集中
page 4	聖馬連諾向英宣戰
page 4	英擬對墨恢復邦交墨總統表贊同
page 4	堀內將返日 
page 4	日閥的對越要求
page 4	不自私不貪污
page 4	西班牙如何
page 4	林語堂抵檀島援華為美安全最佳保證我愈戰愈強日已瀕破產
page 4	長期空戰
page 4	繼續挺進
page 4	死二千人
page 4	警報齊嗚
page 4	歡聲如雷
page 4	滿洲是誰的天下二
page 4	蘇羅邊境不斷發生磨擦布庫文那衝突事件雙方仍有交換意見
page 4	彈聲震撼倫敦
page 4	德在挪北增兵
page 5	日艦駛入廣州灣法當局限制停留日圖在廣州灣傾銷日貨
page 5	粵省府派員考察湘贛浙閩政治黃玉明詳談觀察所得粵感困難者各省亦然
page 5	贛政幹團辦理甚善
page 5	廣東政治有八特色
page 5	各省黨務注重督導
page 5	共同困難更有三點
page 5	中山四邑紀念九一八發動節建儲蓄
page 5	澳門防務稅被估價目不宣佈
page 5	粵四六兩區招待歸僑管理交通維護治安
page 5	桂教育研究所組織大綱省府委員會通過分設教學等四組
page 5	九一八九週年蔣委長告同胞書
page 5	希望全國同胞認清三點意義
page 5	四邑各縣籌備公耕
page 5	寧波被炸俞縣長召商善後
page 5	滇開各縣積穀十萬擔運抵昆明平價銷售食米無虞
page 5	浙鄉保長均經民選 
page 5	閩省土地編查成功
page 5	湘省政令已軍令化
page 6	九一八九周年昨在沉默中渡過僑團下半旗未舉行儀式學校照常上課　
page 6	兩大戲院義映籌款
page 6	節建儲運四期開始
page 6	規定範圍之外不得攜帶攝影機代警司曾致函周爵紳囑轉告華人一體遵守
page 6	代督岳桐中將巡視各難民營先赴孤軍營後至京士柏殷殷垂問難民表示敬謝
page 6	慰問留港孤軍
page 6	堅民公司在澳門設分銷處
page 6	僑港留日同學組織歸國服務團粵主席李漢魂電發旅費第一批限本月底前出發
page 6	余賀增明日招待各界
page 6	監獄司演講港監獄之弊端犯人過擠難使改過自新對無牌小販判罰屬過重
page 6	關德興昨招待余賀增
page 6	新界大澳漁村驟成走私市鎮運輸組織雲集生意旺盛有大號貨船數十艘來往
page 6	越南代表
page 6	義勇軍發獎
page 6	零亂症略減
page 6	太平洋輪抵港運到大幫糧食港越糧運恢復常態日泰間諜在越活躍
page 6	粵省救會
page 6	三星棉鐵廠今日開始營業
page 6	經亨利周末離港警察體育會昨開會歡送女童軍會亦歡送經夫人
page 6	女童軍會
page 6	開會歡送
page 6	難營人數略增
page 6	時代書店義賣成績優良
page 6	紫羅蘭的粵劇
page 7	東方力謀整頓之際忽遭遇意外打擊金海澄滔終為星島所羅致足球界黑市場呈空前活躍
page 7	鍛鍊身體的科學二
page 7	全港公開游泳昨晚二次預賽女子胸泳寶聯妙齡包辦第一
page 7	特別銀牌籃球昨日開賽驚濤駭浪中住聯克精武
page 7	外匯牌價俱無變更美匯申匯市況穩靜
page 7	股票市況靜穩各低價股票買戶略增半日成交共六萬餘元
page 7	國幣穩定
page 7	四四金市穩靜金條昨無成交
page 7	公開籃球賽功德圓滿昨晚舉行頒將禮表演賽冠軍告捷
page 7	夏令籃球賽今日高級兩場
page 7	足球友誼比賽南華小勝砲兵
page 7	星島操演今日出戰海軍
