page 2	非洲戰爭與民族的教訓
page 3	對德義日同盟
page 3	王外長表明我態度決堅強反對新秩序美國亞洲艦隊集中馬尼拉 
page 3	蘇報紙評論德義日同盟蘇仍決心保持其中立
page 3	中央籌辦機械專校造就機械師人才
page 3	周恩來演說美日衝突不可避免我應爭取美蘇援助
page 3	滬美水兵被毆案美向日抗議滬美海軍加緊巡邏
page 3	淪陷區煤油業被日人獨占英美已提出抗議
page 3	滬被刺日軍官傷重不治身死傳又一日海軍軍官被刺
page 3	今日渝市各界慶祝建立陪都
page 3	滬米價續漲形勢嚴重
page 3	上海日商拋出美匯
page 3	平日人竟限制智識分子離平燕京輔仁學生一批南下首批昨抵渝二批尚在途
page 3	威海衛專約中英同意延期十年汪組織竟圖乘機置啄
page 3	雙十國慶日陪都三運動
page 3	滬法租界工潮日內可望解決公共租界工程處工人罷工肇事
page 3	余中英今日就蓉市長職
page 3	滬又一綁架案
page 3	日機襲昆明竟盲目濫炸平民死傷四百餘人外僑財產損失亦重
page 3	美國禁運的檢討歷樵譯自九月三十日本港英文南華早報社評
page 3	鈴木與西原已返抵河內西原被撤職由住田接替越日軍竟強卸美國國旗 
page 3	在英日僑準備撤退
page 4	柏林談判完畢齊亞諾已離德返義德軍企圖假道入西
page 4	英向法屬馬達加斯加提最後通牒要求脫離維希政府否則斷絕一切交通
page 4	末次信正任中央協力會議長
page 4	全國慰勞總會發表告將士書述採購及獻贈藥品經過
page 4	義對聚利亞野心愈顯露傳曾提出要求四項英國增強埃及兵力
page 4	平郊我軍活躍晉南繼克要點
page 4	殷夸特演說空言聯絡荷人
page 4	日擬合併小規模銀行規定最低資　額
page 4	日赴荷印團員病死一個
page 4	日駐義新使昨舉行親任式三閣員亦就職
page 4	滬孤軍領袖招待記者報告衝突經過
page 4	中英文協王世杰等電謝英援華各團體
page 4	桂省擬定儲蓄辦法將以非常姿態展開
page 4	朱家驊談中研推進方針成立以來成績卓著提出兩點願以共勉 
page 4	紅十字會桂分會成立黃主席致訓辭
page 4	日機炸昆明
page 4	須磨的話
page 4	西康臨參會首次大會閉幕
page 4	川鄉紳慨捐軍糧省府復電嘉獎
page 4	三浦義洲被委駐墨公使
page 4	美僑失蹤
page 4	瑞典人民關切歐戰繼續作戰時準備
page 4	英難童抵美
page 4	日物資奇缺又一明證不得造雙襟西服 
page 4	德義日盟約之意義
page 4	德義討論組織巴爾幹集團內包羅保南等三國傳德義等有意瓜分瑞士
page 4	挪威人民反對德統治不承認偽政權
page 4	美議會準備通過擴軍三要案開徵溢利稅草案已擬就國防軍將改為正規軍隊
page 4	英大砲飛機轟毀德根據地攻英計劃受重大打擊倫敦金融區發生大火
page 5	廣東省禁絕煙毒不惜犧牲依限完成民廳頒善後辦法以期得臻澈底
page 5	調整禁煙機構
page 5	檢查登記烟民
page 5	執行憑照購吸
page 5	規復戒煙院所
page 5	嚴究私種私運
page 5	方興未艾華北遊擊隊活躍津魯青島日軍受製遊擊鬥士湧入冀東
page 5	李漢魂訓勉軍管區隊員
page 5	羅隆基吃耳光雲大教授謂羅調戲其妻調解無效法院已經開審
page 5	西康日記一八三第九編九龍木裏途中
page 5	白蕉貨艇又被日軍追擊中澳河道封鎖仍嚴廣州澳門路不通行
page 6	我海外黨部領館策動僑團募款捐衣目標四百萬元期間本年底止本港方面由婦女界領導
page 6	徵募方式
page 6	收轉機關獎勵辦法
page 6	兒童劇場指導委員昨會議先由各校劇團報效上演組審查會審查介紹劇本
page 6	手車工人請求取銷包車制
page 6	移民法例週末可公布李樹芬談初行從寬辦理當局接納華人代表意見
page 6	論壇報記者
page 6	美使館參贊
page 6	救護演習
page 6	時症報告
page 6	振聯會召開紀念大會 
page 6	本港各僑團雙十節聯合慶祝振聯會昨舉行籌備會議華商總會今日分發國旗
page 6	華商會發動獻旗募款
page 6	僑胞出洋務須辦妥手續每因抵觸條例被拒登岸外部簽證處可指導一切
page 6	葉恭綽六十大慶北大同學公宴祝嘏
page 6	中國文化協進會第二屆理事會議選出常委及各部主任下年度工作積極進行
page 6	基督教團體節建儲運成績超過目標林子豐今晚歡宴各隊長本月十日內仍努力勸儲
page 6	由曼寄港空郵尚無到港確期郵政司談未得任何報告果有空郵則將付輪運港
page 6	港澳振濟會免費半費學額取錄學生揭曉高中初中共三百零一名證明文件定於今日發回
page 6	業聯劇團今明兩晚公演 
page 7	雙十節足球義賽總會定期開會遴選出席代表東方定後日再戰海軍
page 7	今晚秩序 
page 7	德國名拳手希滿林練習降落傘受重傷
page 7	上海籃球挑戰賽百樂門無敵手滬星仗義出師苦戰而退
page 7	女子學界籃球報名展期青支週年水運會本月十一日開始
page 7	銀牌籃球同義勝華僑獲得決賽權
page 7	兩陣重圓 
page 7	芬蘭瑞士田徑對抗三千米創新紀錄保持人業已陣亡 
page 7	美加強遠東防衛力港圓昨一漲再漲申匯市況昨亦告好轉
page 7	國幣價格昨又趨漲
page 7	股票市況鬆弛買賣依然寥落
page 7	四四金市再趨下游
page 7	滬星百樂
page 7	女子表演
page 7	華人週年水運各項競爭劇烈何惠瓊成績突飛猛晉五十米捷泳平等全國
