page 2	日本南進與南洋華僑
page 3	長江中部戰局開展我軍克復馬當要塞
page 3	中英文化協會發起捐款救濟倫敦災民
page 3	泰國學生工人舉行大示威要求收回越境失地泰國有與軸心國合作說
page 3	滬行小記二
page 3	粵政彙聞
page 3	滇緬路開放日英使將招待我各界
page 3	日機又襲川滇蔣委員長軫念蓉市民眾特派員攜款慰問受傷者
page 3	粵桂前線日軍今冬不致蠢動林廷華將軍對戰局樂觀
page 3	滬日人藉口傳案又將大做文章憲兵當局開會討論辦法並派員在法租界內搜查
page 3	滬巨竊案因有人在幕後支持瑞總領向日方抗議
page 3	國民體育會議舉行三次大會蔣委長召集各代表訓話
page 3	滇省當局歡迎僑胞返國投資劃定三大區分類進行開發
page 3	中等學校訓導會議今日在渝舉行 
page 3	仲夏夜的噩夢倫敦血紅的九月倫敦九月二十三日航信二
page 3	被扣英輪兩艘獲釋
page 3	美輿論態度堅決決不畏日本恫嚇日本人氣燄一落千丈
page 4	巴爾幹彤雲密佈中土國態度堅定發表聲明決遵守對英條約蘇大使與土總理長談
page 4	英國擴軍進行極順利各工廠趕製軍需品生產速率創新紀錄
page 4	美大選展望紐約等四州態度堪注意勝利誰屬迄今尚未判明
page 4	英空軍學校將遷加訓練人員
page 4	美機器汽油大批運蘇聯
page 4	羅斯福總統表示繼續援英歐亞獨裁國家行動未能阻止對英援助
page 4	美積極充實東西岸空防擬設流動高射砲位撥款增建軍事據點
page 4	日廣知報宣佈停刊距五十週年僅十七日
page 4	日百貨商店將被迫停業
page 4	美將重新考慮出售飛行堡壘英方對此期待甚殷
page 4	江天鐸逝世國府將予褒揚
page 4	威爾基演說主建立強大海陸空軍保衛商務及一切權益
page 4	我駐土公使張彭春履任土對我極表好感
page 4	菲中國婦女會成績優異三年來募集款項達菲幣八十九萬
page 4	反共與救共
page 4	杏黃旂怎么辦
page 4	日反英運動黑幕納粹黨羽報知新聞妓院三位一體萬揚譯自十月五日密勒氏評論報
page 4	法人心未死每睹德國被襲情景影院觀眾拍手歡呼
page 4	多佛海峽英德發生砲戰邱堡被砲轟損失甚重德機又出動空襲英倫
page 5	粵建廳省行訂約貸款辦冬耕購種總數一百萬元分交各區專員轉貸各縣農民購種從事冬耕
page 5	省行增潮梅辦事處
page 5	河源改良稻種一穗三百餘粒省府傳令嘉獎
page 5	泰學生醞釀示威要對越南收復失地校長訓話遊行取消
page 5	中順游擊隊礮毀容桂橋日軍十餘被我擊斃中山團隊夜襲九洲
page 5	粵游擊區舉辦戰時民校達三百五十班
page 5	東江冬防當局派隊加緊綏靖沙淡路上屢破積案
page 5	廣東見聞錄一
page 5	軍事方面 
page 5	贛南行一
page 6	移民計劃擬訂就緒華人離港須先領證明書當局選聘人才以備推行
page 6	四邑同胞辦貨切勿冒險歸僑亦須探得安全路線去週貨船一隊遇盜被劫
page 6	孫家哲太夫人昨午出殮儀式隆重近年僅見
page 6	越米出口解禁運米出口須先討取人情米行中人昨已去電詳詢
page 6	港韶貨運蓬勃本港將與滇緬同時開放商人積極準備恢復運輸
page 6	節建儲券旅港各同鄉會提倡贈送儲券代替禮儀
page 6	港灣間貨運
page 6	私梟日益猖獗偷運鎢沙及銅鐵等來港再購糖鹽米麵運入內地
page 6	灣仔譚臣道鄰居持械行兇理髮店司理莫權被刺傷兇手劉容逃逸原因不詳
page 6	一毫輔幣 
page 6	防癆協會
page 6	文化服務社舉辦青年論文比賽函請本港僑校同學參加
page 6	青年會圖書館
page 6	公共圖書館
page 6	學海書樓
page 6	經港省行僑匯今年增加倍蓰九個月達六千三百餘萬去年全年只有三千萬元
page 6	奢侈品入口
page 6	本港圖書館巡禮
page 6	柴薪統制下柴價回跌統制專員談話
page 6	英籍婦孺繼續疏散徵用某輪運往澳洲
page 6	華商總會圖書館
page 7	警察兩度佔先東方會險遭不測最後一刻鐘內金海平反敗局星島苦戰聖約瑟結果二比零
page 7	東警大戰
page 7	渡海泳名次
page 7	今年一月至七月份國產外銷有增無減
page 7	華人游泳會二十週年特刊徵文
page 7	東方週年水運昨日閉幕下午舉行渡海泳陳震南又獲冠軍
page 7	德權鼎賽記者敗于魚業
page 7	看台公論
page 7	星聖之役
