page 2	太平洋之安定力
page 3	浙贛加緊掃蕩殘日粵東日軍蠢動不逞桂南邕寧日軍大部似已他調
page 3	勇敢與怯弱滬大陸報著論對照英法
page 3	行政院會議綏遠省府委員局部更動通過糖類統稅徵收條約
page 3	議決事項
page 3	法大使抵渝
page 3	任免事項
page 3	紐約僑胞匯款效濟陪都難民蔣委員長手諭嘉獎
page 3	傅主席發起志願戰士運動綏西壯丁熱烈應徵
page 3	黔紳易曉嵐捐糧獻金
page 3	滬英商電車機工又罷工法租界交通今日恢復
page 3	各大學院校將再補招新生落第僑生可再參加考試
page 3	滬又一綁案徐佐良被劫復被架
page 3	胡大使在美舉行演講旅行須至下月底始能竣事
page 3	阿部返寧收拾行李准備回日
page 3	臘戍首批貨車昨全部抵昆明日機濫炸我有備無患
page 3	某戰區慰勞隊抵扎薩克慰勞伊盟軍民
page 3	林語堂在美呼籲援華制日最有效制裁日本辦法為援助中國抗戰到底
page 3	維希八月二十日航信由巴黎到維希一
page 3	國大籌備委會組織條例公布
page 3	泰國報紙竟為日本張目妄想美國勿過問遠東事
page 3	日本力謀打開僵局內閣傳又將改組荷日煤油談判尚無具體結果松宮已抵河內開始經濟談判
page 4	巴爾幹動盪不寧羅國空前地震德蘇間傳有牒文來往對侵羅問題發生磨擦
page 4	美國棉花恢復運蘇停頓期間幾及十年
page 4	英首相邱吉爾向法人廣播英國致力消滅納粹希望法人勿予阻撓
page 4	美造艦計劃可提早完成時間將縮短百分之十二最新航空母艦年底下水
page 4	妄存狂念
page 4	飼其小犬
page 4	矢志不渝
page 4	率制阻撓
page 4	所致力者
page 4	念及前途
page 4	蒙卡杜主美菲聯合唯與美國共存亡能抗野蠻侵略國
page 4	納粹煽動美工人罷工戴斯調查經過
page 4	巴西陸軍舉行大演習坦克飛機皆出動
page 4	布列特演講斥侵略國家美國必須加緊擴軍對付德義日之侵略
page 4	德義日委會日報謂已籌備就緒
page 4	多佛海峽續有砲戰海岸火光連綿數哩
page 4	菲間諜案繼續審訊中
page 4	烏露圭向美購械並擬購超齡驅逐艦
page 4	日陸軍省人事調動任木材兵太郎為關東軍參長
page 4	澳洲試驗製機木材 政府已撥的款
page 4	日煤斤奇缺減少電力供給長春計口授煤
page 4	義機炸阿拉伯美油公司被毀美政府或將提抗議
page 4	日閣將改組
page 4	邱吉爾之言
page 4	美當局公布徵兵拈閹辦法美總統將作簡單演說
page 4	美海空軍太平洋作戰方略
page 4	美國對日決不再存姑息亞洲美海軍眷屬決全體撤退華北日本英僑亦作必要準備
page 5	維護東江交通惠陽分段負責治安訂定水陸交通維護辦法
page 5	川邊教育省府積極改進
page 5	日增兵新會睦洲砲戰中日機窺伺厓門一帶
page 5	促進地方自治桂修正兩種規程改善鄉鎮村街組織
page 5	粵省銀行劃六區專司稽核每區設稽核一員
page 5	澳門當局委派地些拿續任海島市長
page 5	西康日記一九三第九編九龍木裏途中
page 5	粵政務團劉志陸巡抵惠陽高信由高要赴肇
page 5	粵臨參會駐委會鄒琳報告粵財政調整機構整理緝私催收地稅改善專稅
page 5	日機轟炸死傷多人
page 5	通緝僑領發順民證
page 5	陳春圃抵海防活動
page 5	強人行禮使軍用票
page 5	請看今日之海防竟是誰家之天下日軍在越南登陸後的第一封信
page 5	徐景唐巡視東江防務
page 6	港越互商恢復交通談判正進行尚未得結果擬利用廣州灣作轉口埠
page 6	時局動盪投機者多小攝影店多如雨後春筍山谷曠地小型廟宇林立
page 6	英籍婦孺疏散委會昨日舉行會議
page 6	崇正總會本屆董事選出
page 6	衛生局決議嚴飭酒樓設水廁因糞溺為傳染疾病媒介如不遵辦則拒絕換新照
page 6	燕大校友定期旅行沙田
page 6	鴻翔女服店選定好萊塢款式
page 6	香港大學入學試及格生准正式投考我國各大學教部港大溝通中英文化
page 6	後備警察仍將繼續招募增加數目約為三百人弱須由現任後備警察介紹
page 6	建國畫史展今日在孔聖堂開幕
page 6	港歐航運暢通郵運路線目前仍有六條郵政司公布路線及價目
page 6	省行選用計政人員廣大學生三人前往
page 6	七批義民今晨啟程返國
page 6	港防空洞完成後舉行空襲走避演習下月六日起連環式防空演習屆時本港海陸空軍均將參加
page 6	婦女慰勞會首彩限期到領
page 6	嶺南大學敦請陳翰笙演講
page 6	經緬甸返國的手續和路線
page 7	波城空前緊張南星準備大戰雙方各下軍令實行集體操演東方約戰工程改期下週舉行
page 7	籃球義賽各隊實力檢討
page 7	香港籃球聯會今日召開會議商討舉辦學界籃球比賽
page 7	今天籃球表演夏令賽會舉行頒獎
page 7	團體乒乓賽今晚美星美戰同義
page 7	外匯牌價仍無變更美匯申匯市況穩靜
page 7	國幣市況仍屬靜穩
page 7	四四金市依然冷落
page 7	股票市況續有進展賣戶堅持成交不多
page 7	滬慈善籃球情況熱烈主力戰滬青對百樂門門券競賣創空前紀錄
page 7	中青勵進團六屆週年水運定本月底起比賽三天
page 7	各會操練繁忙許文奎定週末返港
