page 2	希特勒的又一外交攻勢 
page 3	浙東殘日退集蕭山諸暨附近完全肅清鄂中我軍向潛江近郊襲擊
page 3	泰越邊境形勢愈緊張法軍趕築防禦工事土人紛紛逃入山中
page 3	日報對荷印主武力威迫企圖使不依賴英美 
page 3	王揖唐抵日定明日朝見　
page 3	華南日海軍指揮官易人高須已乘輪返日
page 3	某戰區經委會設找換店便利前線軍民
page 3	雅納爾上將呼籲援助中國以經濟補助中國工合對美國人有直接關係
page 3	方液仙被綁後仍在匪窟重傷身死說不確
page 3	西康雅寧兩處將劃為國營屯墾區安置將士家屬榮譽軍人
page 3	法使館參贊彭古抵滬駐滬總領亦同來海通社代表抵渝
page 3	海上謀殺案華僑一名被勒斃所攜現款亦失蹤
page 3	我對滇緬交通籌劃武裝護運滇緬鐵路決加緊趕築我對外貿易亦轉樂觀
page 3	美菲當局舉行會商
page 3	英美撤僑積極進行
page 3	孤島百態
page 3	顧翊群談戰時農業金融顧氏新任中農代總經理
page 3	恫嚇政策無效日本進退維谷美對太平洋艦隊將有新佈置墨西哥拒售廢鐵與日
page 3	晉南豫北激戰方酣
page 4	德國誘脅法國參加對英作戰聞貝當等已加拒絕
page 4	傳弗朗哥桑納離西赴法邊境
page 4	美報記者談遊英德觀感英人鎮定不畏空襲美大選時德有攻英可能
page 4	羅馬尼亞動員安東尼斯科將赴羅馬土保南英使會談完畢
page 4	日宣布廢棄保護海狗協定並提議另訂新協定
page 4	澳洲各政黨一致團結聯合組軍事委員會推進重要作戰措施
page 4	法萊主張推選羅斯福希望其他黨人亦採同樣步驟
page 4	近衛等會商修改選舉法剝奪議會一切機能
page 4	甘納第離英赴葡返美臨別祝英佳運臨頭
page 4	美海軍部購買商輪加強運輸能力
page 4	美國防用品須儘先交貨須美總統頒布命令著私家工廠遵辦
page 4	日政府調查美洲日僑定十一月底以前辦竣
page 4	美飛行堡壘將作結隊飛行
page 4	仰光釋放被捕日人皆曾犯有間諜嫌疑
page 4	威爾基作競選演說主張對英加緊援助
page 4	加拿大總督由美返加
page 4	絕不可信
page 4	墨將禁售廢鐵
page 4	維希八月二十日航 信由巴黎到維希二
page 4	義外相齊亞諾盛傳將赴伯林
page 5	粵水旱風災後糧食問題亟待解決省府督種雜糧墾荒造產農林局職掌經省務會議修正
page 5	王俊韓定遠遊覽丹霞
page 5	桂解決文化食糧恐慌訂流動圖書計劃分組巡迴戰區邊區中學桂南劃五區為流通範圍
page 5	五邑舉行糧食會議
page 5	睦洲附近激戰我軍肅清龍泉鄉龔楚部已開入駐防
page 5	桂林文化界紀念魯訊
page 5	民族團結的影片民族萬歲中國電影製片廠年內完成開放滇緬路片攝峻
page 5	救濟欽防難童第五保育院由茂名遷合浦
page 5	西康日記一九四第九編九龍木裏途中
page 5	澳門柴荒每元僅得四十斤
page 5	中大校舍加緊修建員生陸續回粵北
page 5	桂林小簡
page 5	內政部派員視察禁政甘偉方已抵粵將赴各縣抽查
page 5	廣東怎樣禁絕了煙毒
page 6	防空處昨日公佈月底舉行燈火管制一連兩晚由日落至日出務須遵守燈火管制則例
page 6	雙十贈旗籌款共得九千餘元冠軍光華光中男女中學希望未交款者從速結束
page 6	紅磡擬建貧民義學手續完竣即行籌款
page 6	海澄首先由港開出
page 6	英法輪船復航港灣線港越復航尚待繼續談判大批暹羅米石源源運港
page 6	碧嘉醫生等昨始離港飛渝
page 6	牲口來源將復暢通
page 6	模型飛機比賽改下月十日舉行參加者極為踴躍要求延期模型飛機協會昨召開會議
page 6	港越復航在商談中
page 6	暹米湧至可望跌價
page 6	歸僑來信驚詫國內建設家家戶戶均從事手工業從軍者多自動報名投效
page 6	遞解出境犯上週四百餘人
page 6	建國畫展每日延長開放時間利便各界前往參觀
page 6	聯美機脫班
page 6	今日試警報
page 6	防癆協會
page 6	時症報告
page 6	深圳日軍特別戒嚴交通線上遍設機槍陣地我軍迫近寶太路各鄉村
page 6	在德空軍閃電轟襲下的英國婦女英國遠東情報局二十三日廣播
page 7	罌花節足球義賽港聯陣容已排出下月十一日在香港會舉行軍聯人馬將另行開會選拔
page 7	法庭判決文
page 7	傅利沙毆打裁判永遠革除
page 7	本屆學界籃球分高中初三組定下月一日開始報名女子籃球亦在籌備中
page 7	緬甸足球隊決定來港
page 7	黔運動會前日舉行閉幕
page 7	馬會二次開投澳洲新馬各方競買熱烈名駒價值八千
page 7	外匯牌價仍無變更美匯沉寂申匯靜穩
page 7	國幣市況依然堅穩
page 7	股票市況堅穩買戶增加賣家仍多堅持半日成交總值一萬餘元
page 7	本港對外貿易一月至九月增加二萬萬元
page 7	四四金市仍屬不振
page 7	足球友誼比賽傑志力克海軍北華兆榮客串包辦四球
page 7	籃球表演賽東方輕取僑星夏令賽會昨圓滿結束
page 7	小黑炭雄風猶昔暇時玩球消遣
page 7	南星散記
page 7	陳光裕犯規六次停賽一月
