page 2	再論日本南進
page 3	美國密切注視遠東空軍兩隊移駐菲島
page 3	傳日四相會議決定四原則建川抵蘇定今日遞國書蘇在滿邊傳集中大軍
page 3	白日做夢日本又妄想向我誘和
page 3	湘省財政面目一新省庫尚有餘裕
page 3	上海烏煙瘴氣居民備受壓迫
page 3	吳部長抵巴城僑胞極為興奮電蔣總裁謝宣慰德意
page 3	昆明市增設公共汽車下月一日開始西嚼大火損失甚重
page 3	上海市長將由陳公博繼任
page 3	美紅十字會援華醫藥品值美金三十餘萬元將由滇緬公路運華
page 3	粵當局注意民食竭力推進墾殖檀香山華僑允籌款資助對港澳歸任令妥為照料
page 3	在華英僑民無撤退必要淪陷區不在此例由各人自動決定 
page 3	粵閩浙等六省產鹽可以自給陳中嶽返抵桂林之談話
page 3	文藝獎助金管委會徵求抗戰文藝作品
page 3	東戰場日軍攻勢已被我完全粉碎日軍傷亡一萬人左右豫北沁陽溫縣激戰中
page 3	鄭彥棻提倡機關學校化
page 3	日本南進的造因談談所謂大東亞經濟集團的內容一
page 3	阿部由滬悄然返日汪兆銘坐守空城
page 3	泰國報紙傳戴古險被刺
page 3	越南軍隊一部開往泰國邊境法日經濟談判繼續舉行
page 4	希特勒弗朗哥會晤歐局醞釀變化西班牙受寵若驚
page 4	軸心擴大宣傳英方警告法西
page 4	羅斯福演說駁斥威爾基維護和平決心事實俱在美國決不捲入國外戰爭
page 4	巴爾幹局勢表面趨緩和歐局焦點現已西移或可獲得喘息機會
page 4	英眾院討論荷日煤油談判群主對荷印之英國公司應禁止其再售油與日本
page 4	日公布米穀專賣下月起實施
page 4	英國購買美軍用品數字一年內幾達八萬萬元
page 4	德積極進行侵英準備法比沿岸輪船群集海峽風浪月內將仍平靜
page 4	比在倫敦將設立政府比埃洛已抵英
page 4	孟買日僑將撤退返日
page 4	美飛航軍團員額增加航空工業發展極速
page 4	又一謠言攻勢
page 4	美向義大利提正式抗議
page 4	英東方集團會議荷印派員列席會議定今日開幕
page 4	日報攻擊政府統制辦法
page 4	瑞士民言報載法德談判經過
page 4	空襲在倫敦三倫敦十月一日航訊
page 4	拉佛爾返維希
page 5	粵促進生產事業振濟會擬設四縣製紙示範場農林局成立各縣農業工作站省銀行信用抵押農貸額增加
page 5	睦洲砲戰中墟內情形狼狽日軍工事擊燬甚多我軍調整前線防務
page 5	日機四架濫炸台山西榮街被投彈八枚
page 5	港米運澳港方特予通融澳門不虞缺貨
page 5	韶關物價高漲評價會改組就緒縝密評定日用品等價格普遍通告市民並禁操縱
page 5	茶業公司設浙皖贛辦事處主任改聘卓禧伯
page 5	張善子遺體照公教儀式浮厝雷鳴遠墓側
page 5	評價方法
page 5	東北協會招待韓國領袖加強中韓聯繫
page 5	西康日記一九五第九編九龍木裏途中
page 5	李彥良談粵積極整頓緝私督察注重積極工作
page 5	復興軍副司令葉南山抵韶報告反正經過
page 5	化學工業展覽渝市籌備舉辦
page 5	渝疏建區興辦小學四所流通日用物品
page 5	評價種類
page 5	設評價會
page 5	蔣經國擬訂新贛南計劃
page 6	移民局下月成立十二月起執行限制則例將約各大輪船公司合作
page 6	本港銀莊事業蓬勃時期已過交通多阻匯兌大受影響提款多存款少周轉困難
page 6	保衛團官紳推動趕速成立
page 6	港童軍定期露營參加之童軍領袖共五十人代督岳桐將親到該營檢閱
page 6	聯業公會昨招待新聞界
page 6	深圳農民福利會定期跳舞籌款利用難民以生產求救濟請梅蘭芳任籌募會主席
page 6	香港音樂會督轅內舉行音樂會參加者須繳費五元
page 6	邊界日軍又增四百餘人星夜登陸由南頭抵深圳有大批軍用品同時運到
page 6	中國紅十字會定製新式救護車全用輕鋼裝置堅牢耐用希望海外僑胞照樣捐造
page 6	鄉民逃澳來港被扣缺乏二十元保證金今晨被扣者數十人
page 6	燈火管制演習為應付空中閃電戰代督岳桐將親自出發巡視違犯條例者可罰款一千元
page 6	廠商聯會昨開會第三屆國貨展寄存餘款港幣千餘元購買建儲券
page 7	緬甸華僑足球隊決改期明春來港週末南星大戰雙方準備積極文治足傷德輝勢將逼上梁山
page 7	聖約瑟調整陣容應付對米大戰
page 7	澳洲新馬昨日三次開投總值約三萬元
page 7	週末戰大檯客東方排出新陣士鑫腳痛步雲重作馮婦國祺不出光華守力削弱
page 7	美菲荷匯牌價略漲英匯傾淡申匯靜穩
page 7	四四金市昨略傾淡
page 7	股票市況堅穩日成交七萬餘元
page 7	國幣市況依然堅穩
page 7	論中衛線的重要性一
page 7	籃球界動態
page 7	第一要點
