page 2	欽縣收復
page 3	南路我軍收復欽縣殘日向金雞塘潰退東江增城石龍一帶傳無日蹤
page 3	蔣委長電各省當局勿懈禁煙工作滇省府奉令後即飭所屬遵行
page 3	英加強遠東防務委任軍區總司令統一海陸空指揮普法姆已飛抵新加坡美國防計劃提早一年完成
page 3	滬日公共汽車擴充路線將自動行駛租界
page 3	滬法租界法院情景淒涼祗有推事一人
page 3	美著名銀行家主張援華中國有偉大前途日本絕不能征服
page 3	滬日海軍人員公然承認南進
page 3	戴古發表談話傳法艦隊東開
page 3	荷印加強防務擬向英購飛機
page 3	張群現在蓉即將履新黔吳主席留蓉協助擘劃川政
page 3	上海日軍當局故意留難美商美輪被扣事已向日抗議
page 3	又一打擊在華日本軍人及商人反對汪設中央銀行
page 3	桂省下年度植桐縣份省府指定三十二縣
page 3	我軍撤退三週年滬人沉痛紀念
page 3	湘主席呼籲捐獻軍糧並頒布兩項辦法
page 3	上海日軍官又一人被擊傷葉揆初被綁竟意外脫險
page 3	歐戰特約通訊大時代的巴黎五
page 4	莫洛托夫離德蘇德談話告一結束德方公報已獲諒解
page 4	美國飛機大批經加運英美舊式轟炸瞄準器已允讓予英國試用
page 4	英機又飛炸義達蘭多灣義主力艦被炸毀事英國各報一致讚揚
page 4	澳海空軍搜索水雷
page 4	G西接管坦吉爾英強硬抗議英政府將採取行動維持該區原來地位
page 4	美議會行將休會眾議院各領袖擬十九日開始
page 4	美菲當局加緊聯防軍政首腦迭次會議擴大菲島兵源訓練
page 4	埃及議會開會埃王致開會辭採取一種持重態度順觀事變履行義務
page 4	埃總理逝世
page 4	西班牙向美請求貸款韋爾斯談正予考慮關健繫於西國態度
page 4	國立各校膳食費用教部規定補助辦法
page 4	吳部長由荷印赴星僑胞準備歡迎
page 4	羅總理抵義墨索里尼親自歡迎
page 4	張伯倫遺體下葬倫敦西寺在解除警報聲中行葬禮波那羅氏墓傍長埋棺置
page 4	美墨聯防問題現正在討論中
page 4	在華美教士多不願撤退
page 4	羅又地震全國遇難者達三百餘人
page 4	盧森堡在加設臨時政府
page 4	香霍斯特傳已駛離神戶
page 4	莫洛托夫返蘇
page 4	英國地位益增進
page 4	日本與軸心二
page 4	義軍不斷增援機械化部隊開阿南部希軍勇戰屢挫義陣地
page 5	廣東驛運管理處曲岐線正式營運十二日開始運穀米鹽斤職員九十九人派出服務
page 5	湘贛桂助粵糧食數量均經商定即由驛運輸入
page 5	石延漢談閩實施三平政策教育醫療職業機會平等津貼醫農等科學生並免學費
page 5	煙賭桂省府從嚴查禁下月總查肅清煙患厲行禁令戢弭賭風
page 5	桂林短訊
page 5	粵省推行冬耕墾荒工作曲江荒山荒地多經開墾省府舉辦改良稻種貸款
page 5	湖南青年遊歷三省偏僻縣分二十三人步行抵渝
page 5	西康日記二○七第十編神秘的木裏
page 5	川省計劃桐油增產
page 5	監察工作在桂臨參會第四次大會報告詞下
page 6	英輪禁航廣州灣何時恢復現尚未能臆斷中立國輪船仍照常開行
page 6	本港各防空洞工程進行近況第一所昨晚已全部竣工八所興築中限年底完成
page 6	重慶號機師康特屍灰昨由聯美機運美
page 6	印度有盲童百八十萬青年印人旅行過港考察各地盲人教育
page 6	四華人代表勸僑胞登記疏散定十八日開始宜從速登記登記後不願離港亦不勉強
page 6	跑輪鞋運動已成一種風尚青年男女莫不趨之若驚九龍有三所刻正建築中
page 6	大霧山猛虎出現農民牲畜被噬甚多獵者入山搜捕不獲
page 6	幽靜之半山區歹徒開設私寨魚目混珠影響居民安寧警探對此事已嚴予查緝
page 6	崇正總會定期宴胡文虎
page 6	難民減少
page 6	時症報告 
page 6	反蓄婢會
page 6	當局迭邀僑紳研商統制移民事李樹芬談將為商民謀便利華商會意見書昨已呈當局
page 6	愛倫牙膏新貨已運抵港
page 6	中青救護團組隊赴東江服務
page 6	桂省招致港僑不日即可啟程連日聲請登記者甚踴躍中振會杜委員極力贊助
page 6	僑務委員會考選清貧僑生揭曉
page 6	大批越米抵澳五分四為本港米商定購尚有法輪多艘繼續運米
page 6	我當局特設立鯊淡惠運輸管理站加強港韶間運輸能力服務來往旅客及貨商
page 7	乙組足球主力戰工程隊畢竟不凡前鋒敏捷三比零輕取軍糧
page 7	勝敗癥結
page 7	振濟慈善賽光華定期戰香港
page 7	足球友誼賽東方混合勝海軍
page 7	青支會舉辦校際乒乓今日開始報名
page 7	星島足球隊定期赴澳參加棉衣義賽
page 7	中西籃球會戰中青壓倒美兵
page 7	美菲荷匯牌價略漲申匯市況稍見好轉
page 7	滬匯市回穩國幣略漲
page 7	股票市況堅挺買戶活躍股票微漲
page 7	四四金市仍屬平淡
page 7	督憲杯華聯代表定期十九日遴選
page 7	戰事縮影
