page 2	英德空中霸權的爭取
page 3	我空軍飛鄂西揚威荊門日司令部炸毀寧杭一帶日軍傳在抽調中
page 3	張群宣誓就職昨由賀國光李伯申陪伴分赴行轅及川省府視事
page 3	美遠東問題專家　佛爾認為遠東永久和平必須日本失敗西方國家亦應放棄在華野心
page 3	上海日人又圖借故生非日軍官被暗殺均在虹口滬西憑何理由向租界採直接措置
page 3	中央社會部長谷正綱就職
page 3	日本癡人說夢以承認汪組織向我迫和對中國認識未免愈來愈糊塗
page 3	湘人張定甲捐獻軍糧省府物頒匾額
page 3	粵李主席報告省政並以忠勤慎廉勉僚屬
page 3	外部闢謠我軍越境等說全係日人捏造
page 3	湘閩兩省當局嚴厲平抑物價商人多識大體遵令行事物價漸落人民咸有喜色
page 3	建立中國新空軍海內外各地紛紛響應獻機認購數目已達一二七○架
page 3	中央儲蓄會有獎儲蓄券明年一月開始發行
page 3	周佛海抵日阿部明日返寧
page 3	黔桂鐵路柳宜段已通客車
page 3	庸人自擾英東方集團會議日報高呼密切注視
page 3	美空軍一批赴菲過滬
page 3	滬法捕房律師拒絕出庭
page 3	全國驛運網本年內完成
page 3	中樞紀念週孔副院長出席報告
page 3	歐戰特約通訊大時代的巴黎九
page 3	東京報紙宣傳英美泰成立盟約泰國當局與英美均予以否認大批日艦麕集西貢灣
page 4	義西外長抵德傳西將積極追隨軸心土外長將赴蘇訪問 
page 4	近東各國態度多親英地中海中東戰事發展中此等國家動態至堪重視
page 4	墨索里尼撒謊圖掩飾達蘭多之慘敗竟謂有餘力助德作戰
page 4	法德兩國訂經濟協定規定佛郎馬克比率推廣兩國各地貿易
page 4	羅王米嘉爾視察地震災區美總統致電慰問
page 4	倫敦空戰一週德義損失重大
page 4	大暴風襲法南部尚岸交通線被毀
page 4	英將在美訂購萬噸貨船合約下週內可簽署美續運新式轟炸機赴英
page 4	韓光復軍成立旅美韓僑慶祝對蔣委長革命精神全體韓僑極為感戴
page 4	法屬赤道非洲高爾運動成功各地先後自動投誠
page 4	台灣米穀收成銳減
page 4	松岡的狡計
page 4	日對泰試探
page 4	日駐美大使傳由野村繼任
page 4	英空軍部成立新指揮機關保持陸空有效合作基礎
page 4	東地中海之戰
page 4	日預算激增因政府推行新體制政費較以前益增加
page 4	希軍繼續推進掃蕩義軍敗退南國邊境義傾調飛機赴希阿前線希艦隊巡弋亞得里亞海
page 5	泰越情勢日緊僑胞紛紛返祖國由越返滇尚無大困難赴港滬船票漲十餘倍
page 5	中山日軍禁柴出境
page 5	潮梅游擊指揮所奉命裁撤華振中辭職將照准
page 5	桂林啟明戲院塌樓慘劇壓斃三人傷數十人市政當局趕辦善後
page 5	日軍濫炸下粵南積極疏散欽縣日軍潰退時輕便鐵路亦拆毀
page 5	韶關倡行一仙運動
page 5	西康日記二○八第十編神秘的木裏
page 5	委座決肅清全川煙毒設禁煙巡迴審判組軍民煙犯就地審判
page 5	贛糧食解禁東江將有大幫運到
page 5	中山進出記續完
page 5	余漢謀創辦團長訓練班第二期十六開課
page 5	舊輪胎華僑投資百萬在滇設廠翻新
page 6	移民局昨開始辦公赴該局領證者極為擁擠籌設分處以便居民領證
page 6	新客須領進口特許
page 6	香港居民之證明書
page 6	特殊人物劃分清楚 
page 6	現金抵押數額不一
page 6	進口輪船須受檢查
page 6	阮君慈定期飛韶募集藥品頗有成績
page 6	國貨展覽會會場積極佈置中參加各廠家較上屆踴躍為慎重選擇特組審查會
page 6	桂省義民週內遣送返國
page 6	九龍後備消防總部昨午舉行開幕禮
page 6	愛沙尼亞撤退英僑昨抵港轉往澳洲
page 6	閩省銀行設華僑招待所
page 6	歸僑注意嚴防綹竊本港竊手極為猖獗
page 6	禁狗渡海九龍發現現狂犬病
page 6	皮膚功美容珍品公開試用
page 6	華連利輪行走澳門西貢航線
page 6	緝捕賭棍
page 6	解出犯人
page 6	皮革漲價
page 6	華探調動
page 6	中國戰時畫展運蘇出品之規定與抗戰有關每人限三件本港漫協代收月底截止
page 6	中大服務團工作開展梁定慧將飛韶入桂
page 6	入境則例求領入境許可證請求書請求人係已到港者適用
page 7	督憲杯初賽西聯隊人選已定華聯今日遴選場地決在加山下月足球義賽排演連枱好戲
page 7	一週戰事評
page 7	籃球友誼比賽星島輕取美兵結果六十四比二十四
page 7	外匯牌價申匯略漲英匯美匯市況沉寂
page 7	國幣市況依然穩靜
page 7	股票市況穩靜買戶呆滯成交不多
page 7	四四金市仍屬平淡
page 7	南華今日征澳
page 7	小球友誼賽大公戰漢興
page 7	東華小勝北西童上海足球評述
