page 2	日本米的恐慌
page 3	蘇聯政府鄭重聲明對華政策決不改變傳英蘇對我貸款進行順利
page 3	日侮辱英軍官在滬西封鎖地貼怪標語英當局將提出強硬抗議
page 3	大場大火日損失慘重日機多架焚燬
page 3	納糧代稅定明年實行
page 3	空中閃電下的倫敦縮影倫敦一週間三倫敦十月二十九日航訊
page 3	中華日報之狼狽罵汪後手足無措大生賭場亦被搗毀
page 3	桂南趕辦急賑邕寧市容已復舊觀
page 3	吳起順家屬捐款十萬建立傷兵醫院
page 3	西園寺國葬東京全市停業誌哀
page 3	印光法師圓寂
page 3	皖贛邊境激戰至德附近日軍西犯彭澤我軍分路反攻斬獲頗多
page 3	撤兵即駐兵日汪協定之明文與密件第三論
page 3	湘省籌設中正大學明春先辦農學院
page 3	朱博泉出險
page 3	滬商籌辦公倉儲糧供應市場以安人心
page 3	平日當局威嚇平民
page 3	普法姆將軍將來港視察邱吉爾曾強調聲明英國決堅守新加坡
page 3	日各報之咆哮繼續抨擊美對華貸款謂美日關係瀕於絕望
page 4	英德鈎心鬥角展開經濟戰爭英土簽訂新商務協定德完全控制羅國經濟
page 4	英財次抵美國商討財政問題
page 4	美國輿論贊助進一步援英退伍海軍少將史德林氏主張以船隻及飛機助英
page 4	聖誕節休戰事英德雙方各有說法
page 4	新加坡當局禁止日週刊
page 4	柏林負責當局對歐局觀察德仍繼續外交攻勢
page 4	南線希軍挺進攻佔瓜蘭達港北線義軍向阿爾巴桑撤退中
page 4	維希傳出消息歐洲又有和平動議企圖挽救空前人類浩劫
page 4	羅馬尼亞排猶接收猶人所有輪船公司羅石油產額現逐漸低減
page 4	荷蘭女王傳將赴紐約
page 4	蘇聯的幽默
page 4	日泰航空線路程略有更改
page 4	羅鐵衛軍分子圖加害遜王
page 4	何勞道歉
page 4	軸心國家存油減少英方所傳如此
page 4	日本外交的歧途送日駐美大使野村赴華盛頓履新一
page 4	對解決邊境糾紛法泰賡續談判中荷籍記者在泰越邊境被擊斃日本大批運輸艦集中海南島
page 4	美國當局考慮財政援英可能
page 5	廣東各縣施政綱要三十年度工作確定英德等二十縣明年分兩期行新縣制
page 5	日人壟斷廣州灣商務監視團員增三十餘人總公使署竟有日顧問
page 5	龍門新縣長朱曼死於非命被殺抑自殺未判明省府委鄭澤光繼任
page 5	重慶點滴
page 5	李漢魂將接粵青年團主任
page 5	澳門槍殺案蔡志卓重傷警察廳懸紅緝兇
page 5	興華道上騾車運客興寕五華間已實行
page 5	伍觀淇縱談下粵中游擊戰
page 5	海南島日增兵忙趕鋪鐵軌加築砲壘潿洲島日傷兵甚多
page 5	中新邊樟我軍加緊動員民眾挺進隊展開政治工作
page 5	鄒琳赴南雄視察財政
page 5	當歸大黃棉花准國內運銷財部令毋須領證
page 5	欽防劫後行
page 6	港府頒令平抑米價規定零售米價制止飛漲保存足額米糧禁止出口
page 6	中華書局棧房昨晨發生謀殺案會計被慘殺雜役受重傷兇手逃去謀殺原因未明
page 6	死傷兩人均宿倉內
page 6	傷者慘呼救命數聲
page 6	死者被斬書箱堆中
page 6	謀殺動機似在劫財
page 6	警探蒞場調查案情
page 6	長沙灣區未有設立
page 6	陳述興築理由有三
page 6	長沙灣街坊聯請設兒童遊樂場具文陳述興築三大理由昨日已呈遞本港教育司
page 6	東華三院改選期即將屆臨下週先行選出預選總理本年收入足資彌補開銷
page 6	昆明建醫院募捐運動港方僑團踴躍認捐
page 6	陳慶雲歸國抵港此行極得各地僑胞歡迎共募得美金六百餘萬元
page 6	金陵女大旅港校友明日開會紀念母校
page 6	中國文協舉行座談會以推進粵劇為對象
page 6	聯青社昨日聚餐駱愛華講韶關近況人口增加現正日就繁榮青年會工作可分四部門
page 6	娛樂戲院裝置譯意風運到一千餘具
page 6	少青團昨招待新聞界
page 6	龍蝦灣骷髏蛋民遺骸警署研究結果
page 6	牛王仔的教養
page 6	兇手謀殺動機未明
page 7	後日東星之戰星島擬請求改期如總會不批准將以乙組上陣屆東南乙組加插友賽一場 
page 7	女子籃球嶺南力克港大
page 7	學界籃球比賽培英大勝香江初級組賽仿林克西南
page 7	足球友誼比賽南華克軍醫國威仲雲先後反串翼鋒結果五比零勢成一面倒
page 7	外匯牌價泰匯略縮美匯略淡申匯仍穩
page 7	國幣市況尚稱堅穩
page 7	股票漲風盛熾昨日成交十八萬元
page 7	四四金市仍甚沉寂
page 7	華隊三強前途的蠡測
page 7	週六戰香港光華陣容卓石金改串右翼
