page 2	軸心的小伙伴
page 3	包頭日軍又圖西犯我軍迎擊正血戰中晉南我軍不斷出擊迭有收穫
page 3	松岡又發表談話矛盾百出不知所雲
page 3	桂越邊境已無日蹤
page 3	某高級長官談桂南視察印象日軍工事均係永久性質足證其撤退實出不得已
page 3	青海參政員改選結果李洽連任趙定鈺進駐涅源
page 3	阿部回日本多代替澤田任華中日軍指揮
page 3	滇礦藏豐富發現水銀雲母石礦建廳正籌劃開採中
page 3	川大校長程天放建議恢複祿米制蔣委員長復電採納研究
page 3	鼓勵僑商推銷國茶政府特准結匯出口
page 3	上海嚴寒貧民無以為生每日凍死百餘
page 3	蘇州一新貴彭穀蓀被殺主使者為其親子
page 3	英美對華政策保持密切平行中英同盟說絕對無稽英大使館亦堅決否認
page 3	山地植棉湘省積極提倡
page 3	中越文化會在桂林成立
page 3	滬西日憲兵毆辱租界巡捕經工部局抗議後始釋放
page 3	皖綏靖隊反正
page 3	滬兩租界擬穩定米市與虞洽卿等會商決定洋米新限價
page 3	空中閃電下的倫敦縮影倫敦一週間五
page 3	華北日兵車五列被我軍炸毀北平城內仍草木皆兵日按戶搜查拘捕平民
page 3	鄂北大捷經過何部長昨在中樞報告
page 4	南線希臘軍隊又一重大勝利佔領阿吉羅卡斯特龍城希臘全國歡欣若狂
page 4	不堪回首話當年羅馬尼亞人民生活日趨悲慘
page 4	英德空戰轉烈互相盡量報復
page 4	希特勒對法海軍圖攫為已有竭力向拉伐爾實施誘惑
page 4	泰越又起衝突空軍互炸極烈
page 4	菲總統奎松抨擊賽雅
page 4	德國商輪被擊沉沒
page 4	日本政府計劃闢東京為商港橫濱市民一致猛烈反對
page 4	德義簽訂貿易協定羅供給義汽油
page 4	美駐蘇大使匆匆由瑞典赴蘇
page 4	義飛機失事兩高級軍官均遇難
page 4	在越日軍蠻橫異常法軍備受壓迫
page 4	松岡不知所云
page 4	蘇聯報紙論義軍之敗愛瑟海在英控制下義軍絕難在希得逞
page 4	賠款文化教育及其他
page 4	義海軍高級人員又有重要更動
page 5	桂南追擊戰中所有立功將領統帥頒給獎章四等寶鼎章十二枚分給鄧總司令杜軍長等 
page 5	渝實業家座談會討論物價貸款等事組研究會商擬方法
page 5	四邑日軍蠢動砲轟中山八區擊毀民屋數百間
page 5	曲江發放平鹽救荒市內各保仍未領得
page 5	澳門當局禁米出口大批越米將運港
page 5	粵通令縣府各科工作範圍略有變更
page 5	粵民廳擬定警政計劃省務會議決交審查
page 5	新嘉坡日間諜案續審記二
page 5	篠崎書面供詞
page 5	桂林報人獻機各報紛紛舉行義賣
page 6	婦女兵災會賣物會今日閉幕孫蔣孔三夫人昨二次蒞臨何香凝女士今日揮毫振難
page 6	代領移民證分處港九已有廿五所移民局認可收取手續費經已領證者有二千餘人
page 6	被扣之永樂輪迄昨仍未放行巴拿馬領事向日領抗議損失須由日本政府負責
page 6	港回教團體發起儉婚運動進行調查未婚青年男女準備作集團介紹暨婚禮
page 6	惟他可新亞藥廠補劑
page 6	李宗仁夫人昨參觀工藝學校
page 6	革命老人團昨日返國宣慰各團員均在五十歲以上將予我國青年不少鼓勱
page 6	拉達姆
page 6	傳染埠
page 6	疏委會
page 6	聯美機
page 6	麗池溜冰場舉辦公開溜冰比賽
page 6	大學聯誼會將舉行聯歡會二屆首次理事會昨決定十五日在馮平山圖書館
page 6	防空救護隊二十二日會操柬請官紳屆時蒞臨觀禮市民往觀須取入場券
page 6	彭黃聯婚
page 7	南華週年陸運會今日截止報名全港華人陸運會如期舉辦修章案協會昨再函六團體
page 7	一週足球評
page 7	男女籃球義賽明晚在中青會舉行 
page 7	學界籃球比賽西南敗於平正初級組仿林輕取英皇
page 7	乒乓聯合會耀駢杯決賽定期十三日舉行
page 7	外匯牌價暹匯續縮美匯沉寂申匯穩定
page 7	四四金市仍屬沉寂
page 7	股票市況蓬勃買戶踴躍股價勢將續漲昨日成交總值十六萬元
page 7	國幣市況依然穩定
page 7	港九校際乒乒比賽十二日開始角逐
page 7	記者籃球隊今日戰平正
