page 2	再論日本預算
page 3	鄂南我軍月夜出擊通城近郊重創日軍贛北彭澤一帶日軍蠢動不逞
page 3	美日關係絕難改善滬日方加緊排外
page 3	中國工程師學會年會開幕盛況出席會員達三百餘人陳立夫朗讀領袖訓詞
page 3	大北公司停發中日各地電報惟港澳電則仍照發
page 3	陳立夫致開會詞
page 3	又一批美僑准備撤退乘柯立芝號返國
page 3	日禁越米出口企圖全部攫為已用
page 3	蘇聯出版中國指南
page 3	賀國光由蓉飛渝將就憲兵司令職
page 3	滇續遭空襲日機圖炸滇緬公路不逞
page 3	今日之虹口堀內也想清潔
page 3	蘇聯紅星報撰文論日本之危機侵華三年半經濟陷奇窘狀況近衛圖緩和政潮但決難妥協
page 3	東江糧食妥加調整大體不成問題
page 3	國府明令褒揚胡元倓湘各界領袖發起追悼會
page 3	近衛傳將起用大島阿部乘輪返日
page 3	長谷川赴台灣
page 3	美國統制鋼鐵出口與日本
page 3	英報論本多
page 3	美權威政論家痛斥松岡全國各報均登載
page 3	宋子文傳將赴英商貸款技術協定日方又以開放長江餌美
page 4	東地中海兩岸義軍繼續潰退英希呼應作戰續克要地
page 4	希臘軍又傳捷報南線方面佔領波多巴里莫北線義軍反攻結果仍未逞
page 4	法泰均宣傳願和平談判日本代表團紛赴泰國
page 4	墨索里尼興致不淺紛與各國訂商約
page 4	南匈兩國簽訂友好條約協力維護東南歐和平
page 4	伯明罕被炸甚重伊頓學院損失頗大
page 4	美紅會捐款援助希臘
page 4	蘇德劃界問題成立混合委會進行
page 4	羅齊安逝世後英國朝野哀悼羅斯福總統電英王致唁
page 4	美國十大時事名著關於蘇聯問題首次被選
page 4	何必再提
page 4	自讚自罵
page 4	德土簽訂漁業協定
page 4	傳溫莎公爵會晤羅斯福
page 4	德國在歐洲的統治第一
page 4	美朝野均贊成予英財政援助
page 4	義內部將起裂痕法西斯黨與軍部衝突難免蓋達紙上瞎吹仍大做美夢
page 5	中央撥五萬元辦理欽防兩縣振務振委會派梁扶初等三人赴粵南與鄧專員商辦法
page 5	海面民船
page 5	中央辦理欽防振務
page 5	洋米入口免稅驗放
page 5	遂溪明年改二等縣
page 5	韶關新住宅區建築辦法公布如建臨時住宅商店免租借用土地十年
page 5	歹徒圖入澳門槍傷印警
page 5	湘省來客談湖南鹽價高漲每擔竟達百元以上積極調整運輸補救
page 5	桂南百戰歸來的夏威將軍會見記
page 5	桂林短簡
page 5	桂省農業施肥貸款四行已撥二百萬元
page 5	禺南一帶農民自衛拒繳倀軍禾票
page 5	韶農民分行即將改組成立
page 5	鄧朱告別游擊將士
page 6	東華三院新總理大致均已默認祇待覆函院方表示允諾首席總理多屬意廖恩德
page 6	各新總理及其事業
page 6	華南難民工業社展賣會昨日開幕來賓採購出品者極踴躍蔣孔二夫人曾聯袂往觀
page 6	防空員會操
page 6	強制服役會
page 6	聯美飛剪機
page 6	新軍需主任
page 6	英帝航公司
page 6	九龍城浸信會新建禮拜堂落成今日開幕由港督岳桐啟錀舉行興奮佈道一連九日夜
page 6	留港孤軍近況
page 6	營中巡禮
page 6	自治組織
page 6	日常生活
page 6	李鉅祥振濟災黎捐公子彌月賀儀
page 6	省救委會港分會昨舉行第九次常務會議總會主任黃雯提供意見
page 6	百行孝為先母患瘧疾兒買舊衣拆開棉襖發現銀紙
page 6	農植訓練所
page 6	本港防空壕可與英媲美防空處主任對記者稱並出示所擬圖樣為證
page 7	今日甲組兩場南華出戰大枱客光華新軍再逢米杜息九龍對海軍因故改期
page 7	校際乒乓中南擊退華德南商輕取南大
page 7	威杜力申斥警告總會審訊結果
page 7	學界籃球皇仁敗于西南
page 7	足球健將參加消防訓練
page 7	各大學籃球擬舉行聯賽
page 7	美匯沉寂英匯黯淡申匯牌價略漲市況微淡
page 7	國幣市況復略傾淡
page 7	股票市況堅穩昨日成效十萬餘元
page 7	四四金市仍屬不振
page 7	中華業餘體育會籌備組織準備參加下屆足球賽
page 7	國際杯初賽中華隊陣容決定後日開會遴選
page 7	光華戰米軍
page 7	南華對香港
