page 2	抗戰的三大目的
page 3	鄂南崇陽附近激戰我軍反攻克紗帽山晉南臨汾以南日軍又受重創
page 3	南洋僑胞踴躍獻金蔣委員長特電嘉獎
page 3	工程師年會閉幕淩鴻勛被選為會長
page 3	行政院會議通過農業推廣所等章程任譚克敏為黔民政廳長
page 3	我茶葉暢銷對英進行以茶易貨對美輸出亦有增加
page 3	北庫頁島積雪山崩
page 3	日機又窺滇
page 3	邕外籍教士努力救濟難民政府將予嘉獎
page 3	滬法租界戒備加緊防華捕再度罷崗
page 3	格魯晤松岡野村將赴美
page 3	合川縣獻機積極進行中
page 3	蘇日漁約將滿期蘇無意商訂長期條約日甚震恐但不敢示威加拿大將加緊對日禁運
page 3	縣參議員等候選人國府公布考試條例
page 3	駭人聽聞上海路斃之貧民本年中幾達三萬
page 3	物資總監部即將成立蔣委長兼任總監副監二人亦內定
page 3	沈西苓病逝
page 3	津法幣匯價日見上漲日方破壞險謀失敗
page 3	滬米價續漲市場僅有碎米場外暗盤甚熾
page 3	抗戰必達成三大目的王外長在中樞紀念週報告續完
page 3	旅美華僑努力捐輸
page 3	滬華美電台日又擾亂其音波該台已報告領館
page 3	向戰士賀年慰勞總會發起
page 3	鄂北會戰經過日效顰閃電戰遭慘重失敗我沉著應戰殲滅日軍數萬
page 4	希軍又獲大勝攻陷德比連希馬拉瓦隆那義軍亦撤退
page 4	維希政府發表聲明決維持越南完整柬埔寨王談話表示對法效忠法越經濟代表團一行抵神戶
page 4	越獨立運動領袖抵桂林招待報界
page 4	英美間新使節勞易喬治與麥克納特俱為談論之中心人物
page 4	瑞士巴列城被未明國籍飛機轟炸
page 4	貝當改組內閣後將影響德法關係德外長代表抵達維希
page 4	美一部艦隊將留夏威夷準備隨時採取行動
page 4	荷蘭公主定今日由加抵美京
page 4	日本對蘇持重
page 4	英海軍參謀長傳將易人
page 4	英國官方表示英在財政上需美援助羅斯福夫人頃倡議美朝野以現款贈英
page 4	日本人自己承認對越南荷印野心
page 4	英美與荷印三
page 4	德義報紙論調顯然已有轉變
page 4	倫敦軍界人士觀察最近戰局
page 4	北非英軍續有進展
page 5	廣東省建設廳建立後方工廠多所機器廠等四所出品頗多農具製紙等廠亦已開工
page 5	中山八區邊境被擾斗門等處仍安定三四九區均有騷動
page 5	三九兩區情形混亂
page 5	真如鎮附近公墓被掘回教徒怨聲載道
page 5	鹽田㘭匪劫客商失贓約十餘萬
page 5	西南國境線上二
page 5	南寧關恢復
page 5	由港過龍學生聚賭被捕七名均送法院
page 5	桂林籌備慶祝元旦
page 5	五百日軍開赴坦洲
page 5	四區各沙慘遭砲擊
page 6	華商總會決請政府延期執行移民新例便利舊曆年關商民往來函各行商會勸銷建儲券
page 6	籲請政府平抑米價
page 6	領證注意八大要點
page 6	擴大發動勸銷儲券
page 6	放儲專銷難成事實
page 6	警方取締米價一日數變派出華探線人分別調查查獲後即訴請法庭重罰
page 6	各種牌照亦足作證
page 6	露宿會在灣仔建址收容難民當局擬用防空室收容
page 6	政府正式批准歲晚延長營業時間九龍商會所請尚未批覆
page 6	批准廷長營業時間
page 6	九龍方面尚未批覆
page 6	英航與帝航兩公司合併易名海外民航公司
page 6	服裝保護袋鴻翔公司免費奉贈
page 6	永樂輪
page 6	柳亞子
page 6	模型飛機
page 6	聯美機
page 6	名家字展
page 6	保衛團隊隊長團員僅得半數一部名單先送警方 
page 6	英倫學校多被炸毀港學生昨電英慰問該電由我駐英大使轉致並建議組中英美學聯會
page 6	利舞台放棄開演平劇計劃李萬春等中止來港
page 6	市政衛生局昨日例會請發牌照案均被找
page 6	歹徒搜購廢銅爛鐵
page 6	再請政府緩行新例
page 6	米場黑市別具原因
page 6	福州漆器從民生工業社出品展覽說起
page 7	港記者球隊征澳開始作種種準備籃球隊今日對抗香江中學排球隊明天出戰仿林女中
page 7	四大隊軍容茂盛
page 7	派代表赴澳接洽
page 7	星島足球隊明春出征菲島四月間再作澳洲之行一切手續刻正辦理中
page 7	籃排球加緊練兵
page 7	李劍琴教授健身
page 7	體協陸運會參加踴躍廿二日上午開始預賽
page 7	南華乙組足球隊今日約戰軍醫下午五時在加山舉行
page 7	學界籃球廣大輕取香江
page 7	白蘿仙杯賽參加十六隊
page 7	外匯牌價申匯略漲英匯淡靜美匯沉寂
page 7	國幣市況轉趨穩定
page 7	股票市況堅穩昨日成交十一萬元
page 7	四四金市先靜後穩
page 7	世界網球名手勃琪傳略一
