page 2	告越南兄弟
page 3	晉西南戰事轉猛烈我向絳縣一帶出擊彭澤日軍犯東山嶺旋經克復安慶附近江面擊沉日艦一艘
page 3	如此新秩序華麗賭場雨後春筍平民住宅夷為平地
page 3	越南民眾散發標語斥法國對日屈服並抨擊日本之新秩序日僑在泰禁區攝影一度被捕
page 3	滬米價又現高峰每石漲至百零八元
page 3	川涪陵民眾踴躍獻軍糧一月餘已獻萬八千石
page 3	契稅暫行條例國民政府昨明令公布
page 3	崐崙關將建紀念塔表彰烈士忠魂
page 3	谷正倫等舉行宣誓就職典禮
page 3	蒙藏學生助學金將增加
page 3	滇省計劃增加鹽產新鹽務局長就職
page 3	日本逮捕大批商人謂違犯外匯統制法
page 3	日本鋼鐵業重行改組平生再任主席
page 3	日本暗流左翼分子將受審
page 3	土法煉鐵爐李仲謀試驗成功
page 3	德參事抵渝後將謁王外長作首次照例拜會
page 3	蘇日漁約問題日方之急燥朝日新聞發表片面幻想促政府速商訂長期協定
page 3	黔農工學院開始籌備
page 3	日機又飛滇昆明兩度被空襲
page 3	華北新民會拒絕自動解散對汪兆銘不啻冷水一瓢
page 3	論田賦徵收實物
page 3	陝行政會議開幕蔣委員長特電致訓
page 3	振委會舉辦抗屬貸款曲江已訂特別優待辦法
page 4	美進一步援英羅斯福宣布濟英軍用品將採用租借或抵押方式
page 4	英機轟炸阿要港希軍進迫瓦隆那
page 4	英美通訊社揭發拉伐爾撤職內幕經德代表疏通業已恢復自由
page 4	德在來春前將進攻英國英美一般人士如此預料
page 4	紐約又傳德軍集義
page 4	芬蘭新總統今日開始選舉
page 4	保衛西半球美洲各國合作建根據地由美國主持已開始測量
page 4	英報紙揭發德圖義陰謀納粹間諜充斥義國義人不醒將遭覆滅
page 4	英力謀調整殖民地經濟與各國談判經濟協定
page 4	保政府將闡明對蘇南態度
page 4	英機襲德轟炸曼哈姆城
page 4	希臘新公使抵達葡京
page 4	聞勝勿驕邱吉爾勸勉英人
page 4	借款和借貨
page 4	犯罪之體驗
page 4	英國槍決間諜兩名
page 4	現在中國和希臘人民在抗戰中所遭遇的一切痛苦正是預告光明即將到來的徵兆文明的光輝
page 4	北非英軍續克要點前鋒直逼巴第亞港
page 5	游擊隊整理會議閉幕莫雄伍觀淇等均親出席決改進素質採精兵主義
page 5	邕寧市面煥然一新表現偉大人力
page 5	江門日軍犯天河中山日軍四出騷擾
page 5	越米千餘包運到澳門
page 5	愛國士兵出了力又出錢盡捐薪餉獻機
page 5	西康日記二一六第十一編木裏永寧途中
page 5	粵公務員明年加薪
page 5	梅縣壯丁獨子請纓陳達懷志切　黃司令嘉許入營
page 5	無微不至日軍開放滬西刮及人力車夫侵犯租界警權
page 6	　米約五萬包定今日放出應市官商昨日商定出售辦法當局規定價格不得抬高
page 6	官商會商放出存米
page 6	出售存米約五萬包
page 6	港府向泰大量訂購
page 6	手電筒業出品最近蒙受打擊英國當局宣布統制入口以前輸英貨品月百餘萬
page 6	兩間違例米店被罰
page 6	今日財委會討論追加預算代督特請追加三百萬元俾防空處得進行其計劃
page 6	模型飛機協會昨招待各校長組織徵求隊徵求會員請王正廷為名譽隊長
page 6	青年會韶址被炸駱愛華日前來港據稱將建新會址
page 6	譚雅士談領取移民證辦法各團體可代其會員服務無離港必要者可以從緩
page 6	民生工業社展賣會昨晨開幕女華民政務司蒞場剪綵會期一連三天明日閉幕
page 6	新運婦女會贈咭籌款學校社團踴躍認購
page 6	省救委會設茜坑葵涌救護站
page 6	張丹畫展
page 6	時症報告
page 6	中國飛剪
page 6	漫畫協會
page 6	規定價格不得抬高
page 7	國際杯足球初賽葡萄牙人選已定蘇格蘭陣容將以士葛為主力元旦義賽仍由華聯戰西聯
page 7	學界籃球比賽華大敗於西南初級組皇仁克服英皇
page 7	英台杯選手沙易斯駕機失事
page 7	德權鼎賽定廿九日頒獎
page 7	澳陶英乒乓隊明晨犯港預定比賽九場
page 7	外匯牌價俱無變更美匯黯淡申匯亦淡
page 7	股票市況靜穩昨日成交五萬餘元
page 7	國幣市況依然靜穩
page 7	記者排球隊今日戰仿林籃球友誼賽敗於香江
page 7	陸運預賽改期廿三日下午舉行
page 7	香港各大學籃球聯賽報名參加者已有六隊定期廿二日開始角逐
page 7	最近兩星期內重要足球節目
page 7	中西義賽前瞻華隊實力雄厚勝利可期昨天南軍之戰因事作罷
