page 2	新正的世界戰局
page 3	前線以勝利祝新年各路出擊均有捷報浙東進襲蕭山鄂南圍攻崇陽歲末年初戰士揭開反攻序幕
page 3	慶祝新年迎取勝利全國蓬勃鼓舞陪都盛況空前檢閱童軍舉行提燈遊行領袖慰問榮譽軍人抗屬
page 3	美艦集中夏威夷注視時局演變格魯將返國述職
page 3	林主席元旦獻辭
page 3	王外長對美廣播吾人現為正義而戰深信必將獲得勝利
page 3	上海汪報門前張貼汪標語
page 3	野村到滬虹口加嚴戒備
page 3	吳鼎昌綏靖地方有功政府特頒獎章
page 3	組織部籌開陸陳追悼會表揚民族氣節
page 3	西京市舉行黨員大檢閱
page 3	攝影演劇隊由蘭抵青將赴蒙藏工作
page 3	緬記者訪華團謁林主席致敬
page 3	日機連日襲昆明向慈善文化機關投彈
page 3	經濟部職員歡迎查賬被扣人員已獲釋
page 3	張群抵陪都謁蔣院長報告省政
page 3	要聞簡報
page 3	郭大使晤英外相廣泛討論太平洋局勢美借貸平準基金辦法將商定
page 3	倫敦各報論改善英蘇邦交英美在遠東協助中國為對蘇修好最善之道
page 4	義終難獨力支持德國實行援助飛機數百架加入作戰德軍續開羅馬尼亞
page 4	美七十七屆議會昨日正午開幕羅斯福總統定期致辭美將加緊援助民主國
page 4	松岡甘言巧語美反響惡劣認美日關係無改進可能白魯姆痛斥日本新秩序
page 4	東方文化協會宣言
page 4	英德之間空襲益激烈德伯里曼港落彈二萬枚英工業城遭德機火襲
page 4	北平美兵被捕美向日提抗議
page 4	澳洲研究德艦蹤跡對間諜採嚴厲措置
page 4	蔣光鼐抵桂
page 4	蘇國防副委長沙丹科被免職
page 4	法國艦隊開赴北非洲法內閣宣佈局部改組貝當不肯起用拉伐爾
page 4	美海軍實質突飛猛進每十二日增加新艦一艘擬新計劃充實海軍人員
page 4	泰國對越要求英報表示同情主張須和平解決
page 4	荷印加緊興築工事嚴密巡邏提防日諜
page 4	伯倫堡傳希特勒下令囚於蘭斯堡內
page 4	吳鐵城視察全馬來亞事畢返抵星洲
page 4	史達林之警告
page 4	德空軍援義
page 5	三十年來之我國財政
page 5	股票市況轉趨堅挺派息期買戶踴躍昨日成交十四萬元
page 6	四屆國展會閉幕會期觀眾達三十餘萬人售貨統計約四萬八千元
page 6	港薪俸稅超出預期數目溢利稅情形尚無法推測戰稅局工作進行頗順利
page 6	惠滇醫院本港募捐委員會將舉行樂舞籌款
page 6	防癆會籌設肺癆病院設小組會負責進行
page 6	英供應部派代表來港視察英政府將利用本港船塢進行大規模之造艦計劃
page 6	學振會舉行新年同樂會電最高領袖致敬
page 6	功勞簿英王元旦大封功臣本港獲獎名單發表
page 6	四華人代表勸告僑胞助英英國抗戰目的與中國同籲請僑胞援助英國購機
page 6	桂省義民首批已由韶轉桂
page 6	中振會副委長屈映光在港視察振務
page 6	九龍居民協會舉行值理大會協助擴大九龍醫院設備九龍巴士擬購美國車輛
page 6	麗池主辦溜冰比賽今明兩日舉行
page 7	今天甲組足球好戲南華重遇米軍界限街頭警察會迎鬥聖約瑟東方隊跨海二戰九龍
page 7	元旦日足球義演華聯勝西聯追記
page 7	球圃菜根集十一
page 7	菲中西女籃球隊蟬聯三屆錦標成立四載戰績彪炳所向無敵去年港星征菲連遭該隊殺退
