page 2	社評三百二十二對一從美日海軍預算看日本之命運
page 3	贛北日軍甫告潰敗鄂南殘眾又圖蠢動三路侵擾經我軍分別擊退
page 3	軍委會發表一週戰况自一月五日至十一日
page 3	緬政府訪華團今日可抵陪都
page 3	漢口糧食飛漲暴動事件不斷發生日倀肆意槍決無辜饑民
page 3	川公路局增收養路費定今日起實行
page 3	歐戰通訊之十八巴黎學生大示威以後一一九四０年十二月五日巴黎航信
page 3	王建玉女士熱心可嘉獻軍糧代金萬元
page 3	滑翔總會將在陪都成立積極推廣滑翔運動
page 3	川省行政會議討論賤政問題鄭獻徵報告省縣財政
page 3	筑新聞界獻機運動義賣成績良好
page 3	最高當局電唁朱子橋振濟會定期公祭
page 3	中英談判易貨協定種類較中蘇協定更廣泛下月可望部分簽字
page 3	李煦寰在韶招待報界提出五點意見
page 3	滬西歹土盜風益熾汪煽動理髮匠罷工
page 3	寧劇小節目使節承認
page 3	盧作孚談話我糧食充足軍糧足敷一年之需民食問題已見改進
page 3	社會部擬定工作計劃注重民眾組織舉辦社會福利
page 3	贛米閩監互相調劑
page 3	日內外情勢惡劣近衛到處乞援頻開會東條昨忽邀集在野宿將會議
page 3	機構破壞思想迷亂日當局感社會危機召各團體商討對策
page 3	日本間諜南洋積極活動國內加緊防範
page 3	荷外交官演講日如進侵荷印必遭空前失敗聲言英荷已共同作戰
page 3	日本有此預言侵華戰事難持久國內政潮將激化
page 3	大島赴任松岡寄以渺茫希望
page 4	英義繼續海戰巴爾幹謠言層出不窮傳德義法首領將會晤
page 4	英土軍事會議
page 4	甘雅英軍出擊佔領阿邊據點
page 4	英機炸瓦隆那希義戰事沉寂
page 4	墨西哥表示與美衷誠合作不容外國侵略美洲美增購墨西哥水銀
page 4	英美經濟制日的實效一
page 4	德圖鎮壓反德民眾
page 4	紐約大火燃燒數小時
page 4	眾院委會將作詢問
page 4	倚仗美國援助日殷英組美英供應委會負責處理一切供應問題
page 4	惠勒強辯喋喋不休
page 4	日報指摘美國干預泰越紛爭日艦隊司令澤本昨抵河內湄公河前線槍聲猛烈
page 4	秘魯撤銷德機航空權因不遵守約定
page 4	美總統選定駐英大使名字暫不披露
page 4	德施小惠圖爭取法人將撥蕃薯及糖接濟
page 4	教皇將發表嚴正文告指斥轟炸平民行為
page 4	德西簽訂商約
page 4	美國民軍抽調一部人員加入軍隊見習
page 4	近衛命運如何
page 4	南京與長春
page 4	德國拆毀馬奇諾線
page 4	德經濟代表團離蘇返國蘇外長延見希努爾
page 5	中山九區又起激戰新開線我襲小梅四邑防務鞏固日軍無能深入
page 5	日機轟炸新台各地
page 5	湘省開發金礦全省計分五大產金區每月產量可達七千
page 5	四邑糧荒積極救濟
page 5	西康日記二一九會昭偷第十一編木裹永寧途中
page 5	曲江儲糧限定數額共存穀米五十五萬斤
page 5	韶警備司令部積極整飭秩序實行肅清奸宄調整防護力量務使地方安寧後方鞏固
page 5	日機四出肆虐南路迭遭轟炸黨屋高德等地死傷多人
page 5	鄭豐視導南路觀感
page 5	合浦娼妓限期禁絕
page 5	華洋義賑會等籌賑江浙災區宜興災情慘重浙紹亦多餓殍極貧災民數達五六十萬
page 5	桂林簡訊小本經營貸款
page 6	移民局昨執行移民例澳門來港各輪乘客稀少未領證書者均准繳款登陸
page 6	追悼鮑維爾童軍十九日開會
page 6	移民檢證視察記
page 6	二批桂僑不日歸國農曆新年後可成行
page 6	持我外部護照即可自由來港過境加簽費只須三元外部令港簽證處發給
page 6	聯美公司負責坎吞島行政權
page 6	炒賣公烟者利用傭婦購烟事為某方所忌公開秘密文咸東街昨晨一場紛擾
page 6	本港移民局函復廠商聯會各團體代所屬會員領證須遵照規定之四項辦法
page 6	落魄劇人生活頗感困難
page 6	民昇民平兩小輪昨已施工打撈
page 6	崇正救委會組織葵涌醫藥處已籌備就緒十九日成立將視需要情形再行擴充
page 7	麗華杯足球初賽華聯戰陣產生農曆元旦日在海軍球場上演採九十分鍾淘汰制我要小心
page 7	公開女籃球賽南商再勝南華
page 7	上海足球義演華聯受挫詳記二比五慘遭西聯淘汰必力自滬寄
page 7	銀聯小球賽週末舉行參加者甚踴躍
page 7	正廷盃公一開女籃球全部細則修正
page 7	滬西聯足球賽公布各組形勢甲組戰績東華西捕並列預組東華奪標希望甚濃
page 7	世界拳壇
page 7	白蘿仙盃賽程昨公布
page 7	美菲荷匯牌價回縮英匯淡靜申匯仍穩
page 7	四四金市依然沉寂
page 7	股票略有起色昨成交總值七萬餘元匯豐股息仍為兩鎊半
