page 2	社評赫爾又一嚴正聲明
page 3	赫爾嚴厲警告日本美對遠東決不旁觀對任何侵略者美國已加戒備
page 3	三國朋比為奸破壞法律秩序
page 3	美國當頭一棒日報力竭聲嘶
page 3	諾克斯摩根韜出席陳述意見
page 3	美總統預算聲明全文一月八日向國會提出國際宣傳處譯
page 3	積極致力抗建滇省進步迅速
page 3	海軍再度擴充飛機出產銳增
page 3	邕寧市況恢復當局撥款舉辦農貸
page 3	平抑糧價當局決定辦法多項並將實施物價比數法
page 3	日人力枯竭向黃埔勒索壯丁
page 3	日本議會卽將重開近衛應付困難議員俱樂部推出質問代表
page 3	緬甸代表團抵渝中英談判積極建築滇緬鐵路
page 3	文化侵略日組國際學友會
page 3	德欲責明於垢鑑日本自身諸多顧忌如何能為盟主效命東京歡送大島卻存無限幻想
page 3	閩冬耕運動獲良好成績
page 3	氣候反常黃河解凍
page 4	鄂東日軍受創被我殲滅五百餘人廣三路日兵車觸雷
page 4	日圖操縱泰越糾紛反指摘英美干涉越興大獄民眾被捕千餘名
page 4	捷人繼續反德德官員謂捷人無一可靠將設軍事獨裁加緊壓迫
page 4	前德國首領論德新攻勢預料將在數星期內發動愛爾蘭聚利亞將為目的
page 4	伯里農抵達巴黎與法德談判有關
page 4	雅納爾上將被召回海軍服務
page 4	克銀漢晉陞海軍上將
page 4	汎美機增新航線保障橫渡大西洋安全
page 4	滬匯市波動因匯豐停售外匯
page 4	美總統預算聲明全文
page 4	威爾基定期赴歐工業出版家偕行
page 4	德神經戰下一個犧牲者著名語言學家神經失常殺妻
page 4	吳鐵城昨日抵達仰光備受各方歡迎
page 4	越扣我貨物已允放還詳細辦法商討中
page 4	東非南歐兩阿國反義情緒高張阿比西尼亞部落羣起抗義阿爾巴桑區阿軍兩營叛變
page 4	美大西洋艦隊將舉行演習新近租得之根據地一併列入學習範圍
page 4	滬聖約翰校長卜芳濟辭職同沈嗣良繼任
page 4	智利動章分贈段茂瀾翁和慶兩氏
page 4	滬一片罷工聲風潮有蔓延勢
page 4	勞動協會十五日舉行年會
page 4	粵省決分期禁絕娼妓民廳已飭各縣遵辦
page 4	河北民眾演講抗戰橫遭日軍逮捕
page 4	羅總理被召赴柏林匈鐵路客車暫停駛
page 4	日義會之前奏
page 4	樂觀厥成
page 5	粵北安定如恒日軍無力進犯月前揚言北犯純係故放烟幕我積極準備待機反攻
page 5	省府本年新政積極救濟漁民組織合作社舉辦貸款設工廠搶救失業漁民
page 5	西康日記二二○第十一編木裏永寧途中
page 5	桂省各縣試辦表證中心學校以實驗國民教育為宗旨
page 5	粵奉委座手令清查各縣人口限本月廿日前抽查完竣
page 5	桂南各縣成立小本貸款處省振會擬款二十餘萬元辦理桂林天花流行加緊防治
page 5	澳門賽馬定十九日舉行
page 5	粵省政工隊加強組織提高隊員生活費
page 5	日機炸淡鯊線石馬墟傷害最重大
page 5	桂林簡訊經部派員視察
page 5	柴油免稅進口
page 5	公共汽車停駛
page 5	國民大會華僑代表離桂赴柳觀光擬集資五十萬興辦墾區俟稍具成績再擴大經營
page 6	昨日立法局會議提出龐大政費預算收支不敷達七百餘萬元設法增加戰稅以為彌補
page 6	華北青年慰問團過港返國晉謁領袖慰問各地軍民與記者談華北青年近况
page 6	國幣轉疲係本港一時現象
page 6	酒稅及燃料油稅由昨日起增加已在憲報號外正式公布
page 6	移民例實施後邊境嚴密把守嚴防不良分子潛入港內羈留所內未有一人被押
page 6	第二步疏散現況已登記者已有一部離港中國族登記者並無一人
page 6	中國回教南洋訪問團週遊南洋後返港備受中馬印各地人士歡迎在新曾組織中馬文化協會
page 6	青年會徵求會友下月十四日開始
page 6	九龍居民協會請當局注意劫匪並擴大九龍之警察力量輔政司覆函將增設警局
page 7	明日東南大戰南華改用新陣德譜受傷國威將復出會員五角券今日發售
page 7	滬西青籃球賽華星力克上行五五比三六戰來頗精采
page 7	協會足球部招待小組委員會昨開會各項籌備待下週再討論
page 7	中華會昨開始徵求
page 7	學界籃球廣中克西南
page 7	光華戰海軍陣容昨排定
page 7	乒乓叢談地上乒乓與壁上乒乓
page 7	美菲荷匯牌價續縮申匯市況昨略趨淡
page 7	國幣市況先穩後疲
page 7	股票復見活躍香港電車匯豐銀行繼續上漲昨日成交總值十四萬元
page 7	四四金市仍甚沉寂
