page 2	社評羅斯福總統第三屆聯任
page 3	鄂西日軍又作蠢動宜昌東北展開激戰我沉着應戰擊斃日軍甚眾南昌附近我出擊斬獲頗多
page 3	新四軍解散後問題漸鬆弛十八集團軍態度極凝重各方重視軍令觀點
page 3	顧毓琇赴鄂視察教育
page 3	瑞典公使返國述職
page 3	泰國派員赴阿蘭那接管已佔越南區域雙方軍隊繼續作砲戰戴古赴西貢有所會商
page 3	桂陝間長途電話將開放商用
page 3	歐戰通訊之十八巴黎學生大示威以後三一九四○年十二月五日巴黎航信
page 3	川參議會臨時大會開幕
page 3	委任統治島日設防問題美海長極為注意
page 3	津美商公司買辦被綁架匪車來自日租界英方現進行調查
page 3	桂省禁酒訂定辦法施行
page 3	林主席電賀美總統
page 3	立法院組織法國府明令略加修正
page 3	厦門一倀被刺
page 3	本多到神戶
page 3	西藏代表離渝返藏
page 3	日議會明日重開近衛等準備報告內閣軍部舉行會議
page 3	美國權威學者論日經濟窘態現金已竭人民生活降低此種現象持續已極困難
page 4	希墨傳已會晤德援義將暫限於空軍經濟談判亦將開始
page 4	地中海德機飛襲英據點
page 4	英德之間小規模海空戰德國快艇襲擊英艦英機日夜悍衛領空
page 4	美機運英去年千八百八十五架
page 4	美海長再呼籲通過租借提案歐洲戰事為不可調解之糾紛甘納第主張授總統相當權力
page 4	法國經濟慘狀原文見經濟學人週刊
page 4	羅國組織經濟參謀本部由鐵衛軍首領主持
page 4	舊金山民眾撕毀納粹旗
page 4	威爾基在訪問英國前將與總統會晤
page 4	美總統代表由埃抵雅典
page 4	維希內閣會議傳達蘭又出遊
page 4	北歐奇寒丹麥瑞典間可徒步往來
page 4	巴拿馬運河不許商船航行說赫爾已正式否認
page 4	如何啟國
page 4	開埠百年
page 4	英美經濟制日的實效三
page 5	淪陷區盜賊如毛大良城秩序紊亂西江各線均平靜無事斗門形勢穩定商店紛紛復業
page 5	厦门民不聊生毒物日貨充斥日方經濟枯竭無法支持種種剝削伎倆層出不窮
page 5	桂南失地收復後恢復農業生產戰區全工團加緊工作並撥款百萬辦理農貨
page 5	桂林簡訊
page 5	零陵工業新姿態
page 5	增進農業生產湘省改良農具調查與製造分頭並進稻田棉田將獲益良多
page 6	昨日沙頭角邊境三英人被日軍扣留於無意中誤入日強佔區港方派員交涉始獲釋放
page 6	內地生活程度甚高救護隊請予津貼劉景清已轉呈救濟總會茜坑等救護隊成績頗佳
page 6	移民局當局禁止高索手續費新章規定不得超過一元各代領證社多準備結束
page 6	油蔴地小輪公司加緊裝配新輪一艘已啟航三艘待裝配均由協同和機器廠承造
page 6	去年國貨南銷達國幣二百萬元國貨聯營公司積極推銷但因時局關係頗受影響
page 6	本港置收音機者共達二萬餘戶去年耗於此者近百萬元違例不呈報者僅廿餘宗
page 6	長洲西人昨日來港待命疏散
page 6	保衛中國同盟舉行樂舞大會為國內兩醫院籌募款項戴愛蓮施義桂擔任演唱
page 6	昨男女童軍追悼鮑維爾代督岳桐等均參加本港男女童軍昨晨九時
page 6	防空展覽隊今日出發宣傳員在車上表演
page 6	興華女書院舉行舉行第三屆畢業禮
page 6	本港政府將向南洋購柴薪然後轉行批發本港柴商頒布標準柴價以防壟斷
page 7	士葛隊陣線零落星島輕易獲勝五比一兆榮連中三元乙組銀牌賽中業會淘汰蘇軍
page 7	戰後談兵
page 7	光華再接再厲大勝洋水兵四比一石金福全熾芬建奇動受傷離場達三人
page 7	滬中西籃球義演華星旗開得勝四四比三一壓倒麥令司李震中包松圓表演出色
page 7	白蘿仙盃賽燈甲勝仗補賽秩序公布
