page 2	社評日本公債的累增
page 3	武漢方面日軍結集襄河兩岸空氣轉緊偷渡湘江日軍被我全部肅清
page 3	泰越邊釁又轉鬆弛泰國不願第三者干涉法當局漸傾向協調
page 3	中緬迭次會談已獲圓滿結果英注意滇緬鐵路問題
page 3	松岡演講引起荷印反感
page 3	郭大使在英磋商支用貸款辦法美向遠東大批購錫
page 3	日本議會暗流洶湧內閣開緊急會議法案五十餘件決定不提出
page 3	赫爾對國防法案之聲明一月十五日向外委會發表
page 3	預算總會提前開始
page 3	美京人士觀察美蘇表示親善日報對蘇仍抱單相思
page 3	星洲當局觀察遠東形勢未弛益宜提高警覺
page 3	野村首途赴美英外次接見日使重光
page 3	林咸襄君論日野心
page 3	英使館武官但尼斯抵渝
page 3	滬跑馬廳一幕武劇工部局召集會議日僑當場行兇提案被否決即開槍工部局總董被擊傷
page 4	多布魯克攻陷後義軍一蹶不振被俘獲者逾十萬人英軍完全把握主動
page 4	英防衛力增強將注重生產調整勞力從事工業建設邱吉爾在眾院報告
page 4	羅國內變亂情形愈趨嚴重鐵衛軍極端派漸得勢反對派遣人赴德乞援
page 4	赫爾對國防法案之聲明
page 4	駐義美使訪齊亞諾詢問希墨談話情形義方態度力持緘默
page 4	日輪運貨接濟德國
page 4	美總統個人代表抵南斯拉夫
page 4	美眾院批准添造輔助艦四百艘參眾院外委會皆贊成租借案威爾基離美飛赴倫敦
page 4	社會主義派反對租借案
page 4	度支委員會動議建新船
page 4	伯茂達租約細則已規定
page 4	英存美黃金統計之修正
page 4	挪人對德消極抵制寧受失業壓迫不替德國工作
page 4	艾登報告英西談判情形坦吉爾權益問題已獲得充分進展
page 4	滬跑馬廳怪劇
page 5	加拿大華僑代表擇定柳州墾殖區全部面積約三萬餘畝開辦費用增至一百五十萬元
page 5	廣東各地糧價最近之調查平均每元一斤十五兩
page 5	廣州戒嚴景象冷淡日禁市民燃放爆竹
page 5	粵省驛運處調查新路線
page 5	日方高壓下孤島文化厄運全市刊特均充滿色毒職教專家何清儒過桂談片
page 5	樟木頭兩度被炸
page 5	廣州灣進出貨物暫准自由運輸限期廾日起至廾七日止華界方面仍加緊反封鎖
page 5	日航空母艦駛回大亞灣霞涌海面漁船慘遭集中轟擊
page 5	澳門取締無牌醫
page 5	湘省中等學校現有二百餘校學生五萬教職員三千人本年上學期起再行擴充
page 5	粵省各界發動勞軍决定籌欵獻金辦法
page 6	豬荒問題已解決廣州灣及新界均有接濟泰米源運港米價可跌
page 6	另設穀米出口統專員執行簽發穀米出口證書
page 6	雲地利士道山石傾塌四人慘遭活埋石塊共數千枚壓倒木屋歷時半日始將屍首掘出
page 6	漢文學校體育應加改善政府體育教員發表評議指出參加比賽各校缺點
page 6	九龍關公布關金國幣折合率
page 6	農曆新年機關銀行休假兩天夜市解禁年宵市場仍滯銀行除夕休業亟宜注意
page 6	吳詠春女士將舉行個人畫展
page 6	射盔
page 6	禁折杜鵑
page 6	黃襄望談返國考察觀感所過各地充滿熱烈情緒曾謁蔣委長及中樞政要
page 6	移民條例施行順利保證金十日可領回移民條例施行以來頗為
page 6	食水限制暫行撤銷明日起一連三天
page 6	澳洲僑團旅港澳洲僑團定本
page 7	英陸軍田徑隊向協會下戰書擬邀請舉辦田徑對抗收入款項作慈善用途
page 7	五屆德權鼎賽定期開戰
page 7	公開女籃結束下月舉行頒獎
page 7	桂任潮杯賽農曆元旦揭幕
page 7	學籃補賽廣大今晚出戰華大
