page 2	社評泰越休戰的檢討
page 3	豫南洪河兩岸激戰沙河店殘日已肅清竄至象河關一股亦在包圍中
page 3	日人已揭開面具伸手向泰越取償新加坡加緊準備肆應非常
page 3	日艦到曼谷
page 3	桂南民眾獻旗
page 3	龍主席語本報記者滇邊嚴密警戒日方企圖在全部控制越南如對滇窺伺我決全力周旋
page 3	留美學生動態抗戰中他們成長猛進了
page 3	上海公共租界董事又將改選日方正積極準備競選納稅人會議日方决不出席
page 3	湘合作事業
page 3	後方交通建設進步甚速隴海支線將完成聚昆路今年通車
page 3	日本眾議院通過龐大預算總數逾六十八萬萬圓
page 3	寧夏水利積極發展中
page 3	掃除文盲粵積推廣社教桂倡特族教育
page 3	粵中男兒從軍踴躍
page 3	廣州汪黨傾軋日甚
page 3	川湘贛驛運全部已告成
page 3	中英合作企業公司召開董事會議
page 4	美太平洋艦隊總司令金穆爾氏就職對部下宣稱今後將異常忙碌諾克斯促參院外委會注意日在太平洋野心
page 4	美青年共和黨大會擁護援助民主國除參戰外應作軍事經濟援助伯魯姆表示租借案將可通過
page 4	阿境希軍勇戰又告捷義軍遭遇極大損失被迫放棄重要據點
page 4	加總理勸銷戰時節約券預料大戰即將降臨
page 4	美國防衛兵二萬人編入陸軍
page 4	威爾基氏在英備受民眾歡迎
page 4	墨西哥政府撤銷日捕魚權與最近國際局勢有關
page 4	伊里特利亞義軍被包圍英軍迅速推進一百哩
page 4	德陸長巡視海峽陣地參謀人員與俱
page 4	美金融界組聯合公司推進國防事業
page 4	德法問題又緊希特勒加緊壓迫貝當傳拉伐爾佛蘭亭又將有升沉
page 4	美糧食藥品起運赴法賑濟戰時難民
page 4	魏剛呼籲信任貝當
page 4	羅馬尼亞模仿納粹政制組織新工團及青年團
page 4	美代表視察土軍事設備
page 4	麥克度患心臟病逝世上次歐戰時任美財長
page 4	美陸海軍部防衛森嚴提防陰謀破壞
page 4	美市長會議昨會電請羅斯福總統設全國人民防禦委會
page 4	美總統代表謁土總統將啟程赴敘利里
page 4	義國也高興了
page 4	滬租界之空氣
page 5	韶關青年會救濟貧苦學生津貼膳費每月不超過八元津貼旅費視路途遠近而定
page 5	國內民氣振奮充滿樂觀信念國大代表黃寄生離桂時談話深信海外僑胞必能追隨奮鬥
page 5	粵所得稅辦事處改組直接稅局本年稅收預算達三百萬元
page 5	粵保安司令部積極剿匪工作大龍山匪黨携械投誠清遠縣盜首請求自新
page 5	桂林市教育經費本年度預算總額增至三十四萬元
page 5	桂合作社上年度之統計
page 5	中山日軍互為水火岐澳交通昨突停頓
page 6	首批保衛團員今日起送警校受訓三星期後即可出而服務各街未選出團員者尚多
page 6	各校採用二部制圖減輕經濟困難學校巧立名目增加收入今春失學兒童大量增加
page 6	學生振濟會換物會昨日閉幕以皇仁港僑等收入最高擬刊行報告書以留紀念
page 6	蔣總裁面諭組織回教教師講習會預期本年秋委即可成立本港回教教師首期赴渝
page 6	中新同學會昨舉行全體大會選出四屆理監事
page 6	因受時局影響新界工商業衰落小食雜物店廿五家停業七家工廠停工失業者多
page 6	東華三院義學教員取廿七名昨舉行護 士考試
page 6	移民局將在大澳增設分局
page 6	本港監獄當局改善管理辦法積犯與童犯將分別監禁兒童感化院擬設林馬島
page 6	防空洞增置換氣機
page 7	砲兵聯苦戰不敵東方勇克三關三比零獲得特別銀牌複賽權阿鍾義臣澄滔建功勳
page 7	球圃菜根集二十四
page 7	今晚籃球慈善賽男女大會戰星島隊分戰東方平正下午七時在中青上演
page 7	滬孔聖杯乒乓賽友邦榮奪冠軍六比一大勝青雲隊陸漢俊獲個人錦標
page 7	白蘿仙杯賽記者棄權其餘照常開賽
page 7	喬路易打倒北文膺十三屆冠軍
page 7	上週本港金融行情
