page 2	社評民主國應把握時機
page 3	我國加緊政經建設外交形勢合理開展參政會及八中全會旣將舉行寇里在渝研究金融幣制問題
page 3	邁斯基訪伯特勒談日本式企圖松岡猶掩飾和平烟幕德義表示事前未預聞
page 3	澳總理晤英首相討論遠東情勢澳洲防守部隊實力空前雄厚大批驅逐艦現在計畫建造中
page 3	馬來亞華僑歡迎澳軍
page 3	土耳其公使謁王外長對我陪都建設工作及民眾精神表欽佩
page 3	日增兵南進侵略野心昭然若揭對日步驟我嚴予注視
page 3	泰首次代表抵達蘇聯擬談判商務及外交
page 3	美國轟炸機二百架將越太平洋飛星洲另有七十架即將運華英向美建議聯合經濟制日
page 3	大橋對澳使竟妄施警告
page 4	艾登飛抵埃及積極增強近東防務希臘力闢和平謠言
page 4	德派間諜潛入南美俟機侯命準備動員美已接獲可靠情報
page 4	德機對英又施普遍轟炸南威爾斯被炸最烈
page 4	舉世輿論斥責日人陰謀暴行
page 4	德救護隊開入西境助西救濟風災
page 4	我軍進抵坪地岡加緊反攻淡水晉綏戰事我續有進展
page 4	新運紀念會敬老祝壽壽星參加百人個個精神瞿鑠
page 4	日人在滬黑夜拉伕
page 4	馬爾泰開始徵兵及齡男子一律入伍
page 4	霍金斯被委為生產會委員
page 4	達蘭謁貝當並與財長晤談
page 4	德海軍學校遷往但澤或因英機威脅所致
page 4	比經濟情形陷於危境精華被剝削殆盡
page 4	華盛頓誕辰中美協會擴大紀念同時表示歡迎里寇
page 4	西國遜王病又轉劇
page 4	糧食會議孔副院長訓話提出三項意見
page 4	中山日機殘骸將運韶展覽
page 4	主計會議開幕紀盛到會百四十餘人
page 4	清華留美考試取錄名單共計十六人
page 4	爆竹放不響
page 4	艾登抵埃
page 4	粵農貸開展極速較去年同期增四倍
page 5	瓊崖日軍出擾遭我截擊潰退
page 5	劫後斗門荒涼滿目全墟精華已被焚掠一空袁屈兩司令暢談作戰經過
page 5	粵整理財政本年度計劃
page 5	影星童月娟否認尚有生父對徐筱蘭請求扶養力斥其妄二次開審庭諭再行調解
page 5	預防鼠疫桂林擴大捕鼠每隻獎洋兩角
page 5	現役軍人知法犯法受賄賂帶運烟土謝嗚崗執行槍決
page 6	港九人口調查下月七日起舉行一連三日下午六時至十時藉知各區應有之防空設備
page 6	華商總會定期招待吳部長
page 6	油蔴地砵崙街昨晨發生火災住戶舉火煮飯失慎肇禍燬樓六層焚斃大小兩命
page 6	港澳振濟會本年工作計劃每月遣送難民回國一次港九澳三處設立贈診所
page 6	美洲華僑參政員鄺炳舜今日抵港僑委會派周雍能代表歡迎嶺中中學籌備盛大歡迎會
page 6	歡迎愛國僑領鄺炳舜同志
page 6	全港舞星慈善茶舞明日舉行
page 6	移民局辦理不良案麥基利哥負責查究局長富勵士傳將他調遣缺由謙士和夫真除
page 6	粵省救委會港分會昨開常會補助第二聯救隊六個月第一隊已失散在調查中
page 6	電燈公司決定增加電費由下月二十一日起實行電燈每度一分機器半分
page 6	渣甸新輪
page 6	上水農戶賣豬得款招來橫禍被劫受傷強徒五人劫去五百元
page 6	昨夜警員搜查響導社拘去十餘人
page 6	遠東局勢不定港資金向內流今年匯返國內達七百萬或購美國股票及存澳洲銀行
page 6	追悼朱子橋改三月九日舉行
page 6	連日霪雨影響今日賽馬又展期改下星期一二兩日補行春季大彩票廿四日搖珠
page 6	補充護士隊繼續舉辦訓練班
page 7	特別銀牌第二週警察巧遇南華掃桿埔頭士葛隊對抗洋水兵聯賽香港會初逢九龍
page 7	掃桿埔蘇軍戰水兵
page 7	今日足球共有八場
page 7	中美籃球義演霍斯戰港聯下午七時起在中青球房戰前一幕女子分區表演
page 7	協會執委會議決定修改章則
page 7	東區小球隊今天戰渣甸
page 7	正廷杯明晚開會議
page 7	青支乒乓賽孔聖美星獲勝
page 7	銀聯小球週末節目公布
page 7	美匯略緊申匯穩定英匯市况仍乏生氣
page 7	四四金市轉趨沉寂
page 7	股票市況穩定香港電燈股票價格上漲昨日各股成交十二萬元
page 7	國幣市況依然穩定
