page 2	社評澳洲之強硬答覆
page 3	佛敦答覆松岡恫嚇澳洲已有充分準備如有人更南進澳軍必更北進泰越談判日又提出一折衷案
page 3	倫敦泰晤士報觀察英日關係難樂觀日調停泰越糾紛居心叵測英美不能弛懈其合法之戒備近衛竟謂英美不能瞭解日本意向
page 3	荷日談判繼續舉行尚無結果
page 3	澳紅十字會予我方接濟
page 3	我外交人士指出日無底野心侵略必不以大洋洲為止羅斯福對松岡狂言置之不理
page 3	荷政府設立購料委員會為荷印向美國購買國防原料
page 3	日報對英不斷抨擊
page 3	滬美僑一批昨乘輪歸國
page 3	日海軍代表團抵達柏林將作數月勾留
page 3	當局搶修西江防堤
page 3	美參院海事委會通過撥出關島設防費菲律濱海陸軍亦逐漸擴充中美再擴大輸出證制度
page 3	美遠東貨腳將增百分之二十五
page 3	全國糧食會議結束擬定方案即將實施
page 3	新運七週年慶祝會閉幕
page 3	日機肆虐濫炸昆明
page 3	芝加哥僑胞努力輸共募捐二百餘萬元
page 3	豫南我軍掃蕩中長台關北殘日反撲又受創
page 3	陪都各界歡迎胡文虎鄺炳舜胡氏獻金國幣二百萬元
page 3	兇犯林雄吉明日離滬返國受訊
page 3	皖政治學院秋季開始招生
page 3	遊擊隊炸毀滬杭甬鐵路交通會一度中斷
page 3	高普檢定考試考試院已通令各省市於三月至五月間舉行
page 4	艾登抵土耳其將與土當局開始談商德軍在北非參加戰事
page 4	匯豐銀行股東大會彼得遜作總括報告
page 4	英當局厲行節制糧食每頓如魚肉兼食者得被判處監禁兩年
page 4	美當局拒絕考慮修正租借案敦促參院即行通過該案威爾基痛斥孤立派
page 4	英工會領袖盛讚美國飛機工業膨脹之速令人難以置信英美出產將可超過德國
page 4	美駐英大使定期赴任傳攜有和平建設方案
page 4	義大利禁止栽花盡量利用土地種菜
page 4	阿爾方索危在旦夕
page 4	傳德製造大批降落傘另英軍制服七十萬套
page 4	維希內閣名單公布拉伐爾仍被擯閣外
page 4	話說當今英格蘭肆前往基督雄師三戰時英國教會動態倫敦航信
page 4	教皇呼籲堅持信仰
page 4	巴黎巨刼案損失三百餘萬法郎行刼者為有車階級
page 4	馬爾泰島發生空戰
page 4	蘇與瑞士貿易協定簽字以原料易取機械
page 4	美當局確定西半球界說巴西非洲間之中間點起汔太平洋上之予午線止
page 4	美內政部長揭露德國陰謀在美廣植恐怖分子林白等已為其羅致
page 4	德方發表擊沉英輪數字兩日間共十九萬噸
page 4	最高蘇維埃通過龐大預算案本年度國防經費較去年增三分一
page 4	泰越應自謀妥洽
page 4	精神的啟示
page 5	戰區經濟委會提倡藍靛增產獎勵盡量購儲及設廠製造樹立國防化學工業之基礎
page 5	救濟粵省民食黃元彬向經委會提議設立東江第二麵粉廠
page 5	經濟委會倡導辦理桂南耕牛農具貸款
page 5	桂嚴厲取締宴會飲酒
page 5	黃旭初談桂南觀感所經十餘縣情形良好
page 5	上海虹口拉伕風熾三日內被拉千人分批驅往各戰場
page 5	國府明令公布禁烟禁毒治罪條例
page 5	商震抵仰留緬二三星期即將前往印度
page 6	燈火管制演習昨晚開始舉行成績似較以往歷次為佳明晚演習秩序或可取消
page 6	首批官辦柴薪昨日開始發售政府大量購買源源運港本港各區居民爭相購買
page 6	後備警察增募隊員曹善允向各界廣播講演敦請各界青年人士參加
page 6	往昆明旅客須種牛痘外部駐港簽證處昨為此發出通告
page 6	華人文員協會函請僱主增薪生活程度日高維持不易仰望俯恤下情酌予補助
page 6	商家辦運仍可圖利
page 6	紀念郵票昨晨發售
page 6	救濟希臘兵災捐款代督奉令籌募
page 6	海港專家屋雲昨離港返英對於中國工人之工作認為可媲美英國工人
page 6	本港護照處遷往天星碼頭對面
page 6	保護兒童會昨舉行執委月會
page 6	鄭麗馨女士遺體昨葬於華人墳場生前拯危扶傷厥功至偉黨國要人紛紛函電致唁
page 6	印航公司監督阿蘭德即將返印考察中航公司業務管理該公司購民航機十五架
page 7	聯賽人最後階段南華枕戈待旦下令全體球員回營合宿訓練週末甲組聯賽有變更
page 7	星島足球遠征隊昨午動程赴菲胡好領隊一行十七人葉北華因事中止出發
page 7	校際乒乓決賽嶺東出兵對抗喇沙隊
page 7	桂宣訪團排球犯粵粵軍官團迎頭痛擊淨勝三比零吳相柏大顯身手籃球友誼賽桂隊殺退軍官團
page 7	滬西聯甲組形勢聖芳濟居首席西捕有取而代之野心東華會亦具奪標可能
page 7	居民聯合會籌建泳場徵求隊出發
