page 2	社評松岡由義返德
page 3	郭大使將返國任職英國朝野表示惜別美國將聲明短期內切實援華
page 3	八中全會通過之戰時三年建設大綱一切以充實國防為中心
page 3	滇緬路上三
page 3	合作會議開幕蔣委員長致訓詞
page 3	普法姆來港在菲會談內容未予披露美報闡述英美遠東合作
page 3	克萊琪晤大橋討論英日問題
page 3	海明威參觀粵北戰地印象極為良好
page 3	荷蘭外長將訪澳洲
page 3	滑翔總會昨在渝成立滑翔機表演成績極佳
page 3	蔣委員長電勉推行滑翔運動
page 3	興築滇緬鐵路緬甸極表贊成
page 3	英大使抵港
page 3	美擬禁止汽油輸日
page 3	粵東我猛烈反攻潮陽城郊繼續激戰中何總長電薛司令官等祝捷
page 3	俞鴻鈞有任外次呼聲
page 3	日閣又更動豐田代小林任商工相鈴木繼任企劃院總裁
page 3	滬工董問題須徵我政府同意
page 3	南僑總會閉幕電中央決繼續籌賑向抗戰各將領致敬
page 4	英軍繼續開希登陸部隊傳達卅五萬德軍亦集結羅南邊境
page 4	北非戰事有變化英軍退出班加濟英軍迫近東非馬薩華
page 4	德里基之死傳因不堪德國壓迫引槍自殺一死了之
page 4	開倒車的日本
page 4	美當局將採取行動解決罷工風潮陸長曾警告有關方面議會將制定禁止法律
page 4	美參院批准美墨協定墨議會亦將予以通過
page 4	美五次國防撥欵案已送交白宮聽候總統簽署
page 5	南華十傑
page 5	旭和杯最後決賽南華出擊陸軍聯下午四時三刻在銅鑼灣上演南華戰勝或和便可蟬聯錦標
page 5	星洲足球實力談範子英
page 5	甲組聯賽香港迎抗九龍
page 5	銀聯小球賽匯豐對中國明日比賽六場
page 5	恩德杯排球賽英皇出戰南乙
page 5	光華足球隊定期征澳小型球隊同行
page 5	球圃菜根集四十六
page 5	澳學生籃球隊抵港今日首戰南華下午三時半在青支球場子上演雙方勢均力敵預料必有劇爭
page 5	港澳埠際賽澳戰陣擬定
page 5	大陸足球隊再戰米軍
page 5	澳門女籃球隊
page 6	港九人口最近統計共達一百四十四萬餘人十年間人口幾增一倍
page 6	全港小朋友慶祝兒童節開會詞中不忘國內同胞行動目標國家人類並重
page 6	閒話國民參政會上
page 6	港澳藝術界通電募款獻機為藝林樹勵志風聲
page 6	燈火管制十七日舉行
page 6	北角各泳棚定期開放
page 6	港九教聯會籌設義學十二所本月內開始招生
page 6	中英文協港分會昨午歡宴港督港督致詞推宗該會工作希望中英關係更臻密切
page 7	桂省家業貸款合約已正式簽訂總額為三千四百萬元貸款區域亦分別劃定
page 7	陳生出巡欽廉視察各地役政
page 7	八中全會決議案摘要二
page 7	江會日軍又圖蠢動我夜襲獅山得手
page 7	粵省政府公布各縣等次一覽
page 7	軍官私運煙土判處死刑
page 7	股票扶搖直上各種低價股票買戶踴躍昨日成交總值七萬餘元
page 7	外匯牌價不動申匯市況穩定
page 7	國幣市況依然穩定
