page 2	社評巴爾幹大戰與遠東
page 3	德軍攻勢極為兇猛南希前線一部衝破英精銳部隊源源開到增援土京英方觀察土國不久將參戰
page 3	東線戰事吃緊西歐仍有空襲德海軍根據地被炸全英港口亦遭投彈
page 3	英國對匈斷絕邦交派機猛炸保京交通
page 3	美國軍火首批運南南國京城屢遭空襲
page 3	班加濟以東有戰事義國宣傳克復竇那
page 3	貝當廣播呼籲全國團結一致勿與前同盟國為難
page 3	墨外長責德侵南德義所提抗議已遭墨國拒絕
page 3	英方公布英輪損失去月最末一週達七萬七千噸
page 3	伊拉克局勢未澄清前攝政抵巴士拉
page 3	高爾談話論巴爾幹之戰
page 3	法外交人員一批調動羅比安全駐華大使
page 3	加拿大巡艦截獲雨德輪德輪曾圖自沉
page 3	羅馬貼出反美標語
page 3	美國工潮局部解決議會進行立法禁止罷工風潮
page 3	美總統簽署國防撥款案
page 3	泰國擬購買德義船隻國內汽油感覺缺乏
page 3	中英庚款會成立十週年在渝開會紀念
page 3	英應付戰時支出徵空前重稅強迫節約加重富人負擔各報一致讚許伍德計劃
page 3	函館英領館即將封閉設立已閱九十年
page 4	我軍克復汕尾余長官報告北江戰況謂我軍進擊廣州外圍
page 4	整理田賦內政部將設籌委會貨物統稅改行從價徵收
page 4	傳松岡三項要求被蘇聯拒絕日報對蘇美關係極疑慮
page 4	黔夷民代表抵渝獻金渝各界各界籌備歡迎
page 4	近衛演講承認日局勢惡劣要求改變國內全部機構
page 4	滬日汪暴徒索款贖票中行行員數人已釋出又一倀被狙受傷
page 4	美國海軍論二
page 4	日本職業青年患肺病者日眾
page 4	日侵略目光竟遠射南美
page 4	日寇與歐局軸心盟約援用問題石射謂尚未有考慮
page 4	日本黑幕一宗大兇案揭露
page 4	津英租界華捕加薪交涉決裂
page 4	日機肆虐狂炸昆明
page 4	英美荷三國會議將討論高度聯防美報正注意遠東發展對我軍捷報尤為重視
page 4	勞軍兩慰勞團出發贛北
page 4	閩平抑工價辦法為已頒布
page 4	日再壓迫滬法租界要求更換華警
page 4	英美輪船行駛閩浙海面將採武裝自衛
page 4	陣亡將士老河開會追悼
page 4	湘糧食生產今年可增四百餘萬石
page 4	寧兩戲院被炸寇倀驚惶閉城大施搜查
page 4	戰利品展覽在肇慶舉行
page 4	厦門大火日方損失逾千萬
page 4	土耳其如何
page 4	松岡之言
page 5	粵北發展農田水利灌溉區測勘完竣預期開闢後可望增產六萬擔各縣冬耕成績甚良好
page 5	增加糧產兩大目標
page 5	大角遺物發現毒化陰謀
page 5	西康日記第十四編麗江雜記
page 5	上海浦江奇觀群鼠競渡為數不下萬餘頭
page 5	 吃角子老虎大王在滬就擒經過潛居密室卒在床底發現夢中驚醒逃已不及
page 5	粵省營各工廠業已大量出品增設新廠積極進行中
page 5	捕後續聞
page 5	粵戰時貿易處最近工作概況積極購運雜糧鹽斤救濟民食加闢交通線增設浙贛轉運站
page 5	劫後荻海物資損失巨重
page 5	霧重慶準備在韶演出
page 5	赫明威盛讚粵軍民英勇
page 5	曲江發起捐獻中學生號戰機
page 6	普法姆上將昨檢閱華籍工兵並致詞對操演表示嘉許
page 6	華商總會請求當局改善商品檢查手續商振會發動出錢勞軍組勸捐隊案昨被否決
page 6	米糧黑市狂漲米價創新紀錄上米恐將突破二十元關食鹽來源短絀空前昂貴
page 6	滬商會常委徐寄廎昨抵港
page 6	巴拿馬排華僑胞多人來港據稱苛例重重備受虐待電請蔣院長向該國交涉
page 6	九龍溜冰場溜冰義賽入場券即開始勸銷
page 6	本港義勇軍華人會所成立擴大組織公開徵求會員聘請名流任董事及顧問
page 6	象棋名手亦將發起籌款
page 6	復活節郵局辦公時間
page 6	中國婦女會昨日改選周日光夫人任主席
page 6	昨晨威靈頓街發生謀財血案包租婦被同居刺傷喉部驚及家人兇手當場就捕
page 6	港大教授傅士德演講戰爭對　育之影響
page 6	市政衛生局昨日例會請發牌照案均不准
page 7	今午甲組足球賽香港會戰光華乙組南華對工程在加山上演友誼賽星島混合隊出戰海軍
page 7	嶺南校運今晨舉行
page 7	南華征菲不成決組隊南遊各事籌備就緒人選早已內定下週表演賽後即可出發
page 7	中學籃球賽二十揭幕明日開代表會
page 7	裁判糊塗出事東依糾紛記莫領事夫人被擊受傷動公憤比賽中止進行大家不歡而散
page 7	恩德杯排球賽週末好戲南華戰培英
page 7	正廷杯賽南華冠軍
page 7	青支籃球義演澳聯女勝男輸防空甲低頭培英欣得利今午班帥返澳門
page 7	光華征澳人選公布
page 7	東方籃球隊一勝一負
page 7	季末足球比賽秩序今日節目星期三
page 7	國幣市況尚稱穩定
page 7	外匯牌價俱無變更美匯微淡申匯仍穩
page 7	四四金市稍露生氣
page 7	股票市況靜寂巴爾幹戰事影響股價趨跌昨日成交僅二萬餘元
