page 3	社評軍事戰與經濟戰
page 4	浙東日軍三路進犯海門一股被我擊退滬日軍司令部又稱昨晨侵佔寧波閩江口連江長樂亦發生激戰
page 4	陳誠將軍報告軍事絕對有把握湖北省政積極改進中
page 4	後方增產運動一
page 4	我外交陣容決再調整加強顧維釣大使即將經葡赴英美援華日趨積極具體
page 4	日機橫行越空無端投下炸彈法方士兵極為憤慨
page 4	松岡過大連蘇報謂與日簽約目的並非對德國
page 4	抗戰將入第五年我愈戰愈強泰晤士報暢論中日戰局
page 4	孟祿博士將赴渝觀光司徒雷登已抵渝
page 4	我方願促進中泰關係所傳我政府歧視泰國顯屬第三者蓄意中傷
page 4	南庫頁島發生風暴淹死漁人多名
page 4	滬工董問題仍在僵持中納稅華人會秘書之家屬竟被日方歹徒架往虹口
page 4	滬西賭窟被人投彈
page 4	中比文化團體招待比使比使闡述本國抗戰
page 5	希軍反攻獲勝德兵俘虜運到後方雅典人心異常振奮阿境義軍進攻亦擊退
page 5	希總理係自殺新內閣已成立
page 5	南總理在希發沉痛聲明因實力懸殊抵抗難持久盟國又未能作迅速援助
page 5	北非英軍仍保持主動陸空軍不斷採取攻勢克銀漢勉勵東非英軍
page 5	土耳其四巨頭
page 5	匈羅不睦報紙互相攻訐羅國嚴密警戒
page 5	希特勒向德人呼籲要求自動捐助德國紅十字會
page 5	英首相檢閱捷克軍美方代表多人偕行
page 5	英大軍增防伊拉克防德東進確保近東巴本返德意義重大
page 5	加拿大德俘盧私逃現正在緝捕中
page 5	英海軍準備應付全面戰大西洋中東為主要戰場英艦隊司令賈德菲演說
page 5	加總理金氏定期訪美總統羅其餘福總統抵海德公園
page 5	德國誇大擊沉英輪數字一週間四十萬噸
page 5	貝拉炸案餘聞英政府捐款五千鎊撫恤被難人員家屬
page 5	倫敦又遭德機猛襲貴眾兩院局部被毀
page 5	希特勒生辰戈培爾廣播自稱已把握勝利
page 5	聯軍第一勝
page 5	泰國的決擇
page 5	英國婦女戰事服務昨開始登記
page 6	馬超俊抵韶關商振濟粵省災民中央撥款二百萬將全數散振南路四邑東江著手辦理急振
page 6	劫後陽江損失慘重商店物資損失四百八十餘萬當局加緊善後辦理聯防
page 6	西康日記二七０第十五編由麗江返昆明
page 6	粵南各縣清欠兵額廉江遂溪兩縣業已加緊辦理
page 6	文昌縣長抵韶談瓊崖抗戰形勢我堅苦奮鬥仍處主動地位
page 6	犯橫琴島日軍竄擾石山各地民間財物被　　一空
page 6	粵省營電池廠準備大量製造短期內即將遷韶開工
page 6	大肆囗囗
page 7	國實社座談會討論解決工建困難辦法擬合組大規模企業公司曾謁翁部長允竭力協助
page 7	官糧理事會通告官糧售賣規則規定四點著各米店遵守穀米統制專員禁止取巧
page 7	後備消防隊增至六百餘人二週年紀念舉行聚餐會總監布力致詞勉勵隊員
page 7	香港寧波電報仍通電報局照常收發
page 7	天台馬騮由天台吊下小童行竊昨有一人失手被捉獲
page 7	美駐港總領事日內返國述職將晉謁美總統有所報告羅斯福公予已啟程來華
page 7	國製影片五月起恢復檢查本港中國教育電影協會
page 7	小販超立社昨歡迎黃漢武
page 7	士大加大同學昨歡宴鄺炳舜兩校出席校友共數十人鄺氏報告兩校同學近況
page 7	象棋義賽定期舉行地點尚未決定本港象棋界名手義賽
page 7	王曉籟前晚由渝返港
page 7	廿世紀書店將增設圖書借閱部九龍彌敦道六三七號二
page 7	青年會籌備慶祝五四青年節聯合教會學校討論辦法將假培英中學舉行大會
page 7	五洲影業公司拍製古屋情魔滬商黃龍所集資創辦之
page 7	港當局進行考慮統制奢侈品入口汽車收音機在限制之列港汽車已乘機漲價一半
page 7	模型飛機協會推動航空教育
page 7	檸檬精加價
page 8	督憲杯二次決戰華聯定期選人將於明晚假溫莎開遴選會議總會加製獎品致贈亞軍隊員
page 8	陳鎮和紀念足球賽將展期舉行擬改作華南華東對抗協會定明晚開會討論
page 8	球圃菜根集五十下
page 8	星友籃球隊打勝友聯卅四比卅二
page 8	足球縱橫談十四
page 8	棒球場址將改在九龍
page 8	康元乒乓隊不敵防空一比四敗走
page 8	水花四濺泳場處處開
page 8	東方籃球征菲隊今晨可抵港明日起在中青會作義賽數場第一戰對星島隊
page 8	健康運動在中青舉行
page 8	棟動杯賽今日開始報名
page 8	學籃揭幕高初級各一場
page 8	德權鼎賽東山崐甲獲勝
page 8	耀光小球隊約戰星友
page 8	過去三個月內股票價格慘跌因戰局影響人心不安致造成供過於求之勢
